prompt_family,answer_f1,target_selectivity,same_subject_control_f1,same_relation_control_f1,lexical_distractor_f1,max_control_f1,model_name,model_family,model_variant
chat_template,0.1279251700680272,0.1012007833436405,0.0023809523809523,0.0243434343434343,0.0146031746031746,0.0267243867243867,gemma_270m_base,gemma,base
declarative,0.145621521335807,0.1139620696763553,0.0049783549783549,0.0135064935064935,0.0209668109668109,0.0316594516594516,gemma_270m_base,gemma,base
qa,0.1063955885384456,0.0691733663162234,0.0,0.0276984126984126,0.0336507936507936,0.0372222222222222,gemma_270m_base,gemma,base
raw_question,0.1189177489177489,0.0873809523809523,0.0028571428571428,0.0251082251082251,0.0191558441558441,0.0315367965367965,gemma_270m_base,gemma,base
chat_template,0.2423809523809523,0.1752380952380952,0.0057142857142857,0.0214285714285714,0.0614285714285714,0.0671428571428571,gemma_270m_it,gemma,instruct
declarative,0.1727602556173984,0.1612162440733869,0.0,0.0115440115440115,0.0115440115440115,0.0115440115440115,gemma_270m_it,gemma,instruct
qa,0.1883261183261183,0.165988455988456,0.0,0.0194805194805194,0.0223376623376623,0.0223376623376623,gemma_270m_it,gemma,instruct
raw_question,0.276031746031746,0.2557142857142856,0.0,0.006031746031746,0.0203174603174603,0.0203174603174603,gemma_270m_it,gemma,instruct
chat_template,0.2381488352916924,0.2030839002267573,0.0025974025974025,0.0324675324675324,0.0227272727272727,0.035064935064935,qwen2_5_0_5b_base,qwen,base
declarative,0.2329334157905586,0.173301381158524,0.0,0.0443939393939393,0.0513203463203463,0.0596320346320346,qwen2_5_0_5b_base,qwen,base
qa,0.533051948051948,0.4476839826839827,0.0,0.0353679653679653,0.0756277056277056,0.0853679653679653,qwen2_5_0_5b_base,qwen,base
raw_question,0.1916450216450216,0.1358585858585858,0.0,0.0422943722943722,0.046046176046176,0.0557864357864357,qwen2_5_0_5b_base,qwen,base
chat_template,0.4048299319727891,0.3024489795918367,0.0,0.0595238095238095,0.0952380952380952,0.1023809523809523,qwen2_5_0_5b_instruct,qwen,instruct
declarative,0.1896062667491239,0.1527540713254999,0.0,0.027056277056277,0.0368521954236239,0.0368521954236239,qwen2_5_0_5b_instruct,qwen,instruct
qa,0.2095001030715316,0.1882735518449804,0.0,0.0116233766233766,0.0176551226551226,0.0212265512265512,qwen2_5_0_5b_instruct,qwen,instruct
raw_question,0.2134900020614306,0.1986487322201608,0.0,0.0091269841269841,0.0116666666666666,0.0148412698412698,qwen2_5_0_5b_instruct,qwen,instruct
chat_template,0.2642517006802721,0.2305668934240362,0.0,0.0129705215419501,0.0336848072562358,0.0336848072562358,smollm2_360m_base,smollm2,base
declarative,0.2960430839002267,0.2308616780045351,0.0,0.0539569160997732,0.0562925170068027,0.0651814058956916,smollm2_360m_base,smollm2,base
qa,0.3401360544217687,0.2793424036281179,0.0028571428571428,0.0384126984126984,0.0484126984126984,0.0607936507936507,smollm2_360m_base,smollm2,base
raw_question,0.2800680272108843,0.2391156462585034,0.0031746031746031,0.0274603174603174,0.0206349206349206,0.0409523809523809,smollm2_360m_base,smollm2,base
chat_template,0.3444032158317873,0.2910915275200989,0.0,0.0378354978354978,0.0437878787878787,0.0533116883116883,smollm2_360m_instruct,smollm2,instruct
declarative,0.2553061224489796,0.2001927437641723,0.0,0.0415419501133786,0.0493990929705215,0.0551133786848072,smollm2_360m_instruct,smollm2,instruct
qa,0.0,0.0,0.0,0.0,0.0,0.0,smollm2_360m_instruct,smollm2,instruct
raw_question,0.0031746031746031,0.0,0.0,0.0,0.0031746031746031,0.0031746031746031,smollm2_360m_instruct,smollm2,instruct
