model_name,model_family,model_variant,fact_id,relation,subject,expected_answer,prompt_family,split,generated_text,normalized_generated_text,top_prediction,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity,same_subject_control_fact_id,same_subject_control_answer,same_subject_control_f1,same_subject_control_contains,same_relation_control_answer,same_relation_control_fact_id,same_relation_control_f1,same_relation_control_contains,lexical_distractor,lexical_distractor_f1,lexical_distractor_contains,max_control_f1,max_control_contains,target_selectivity,target_contains_selectivity,dominant_control
gemma_270m_base,gemma,base,capital:0,capital,Afghanistan,Kabul,raw_question,analysis,What is the capital of Afghanistan?,what is the capital of afghanistan?,"

",9,-3.6875,0.0,0.0,0.0,0.1,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_base,gemma,base,capital:0,capital,Afghanistan,Kabul,declarative,analysis,"Kabul, the capital of the country.",kabul the capital of the country,Kabul,1,1.25,0.0,1.0,0.2857142857142857,0.2702702702702703,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,none
gemma_270m_base,gemma,base,capital:0,capital,Afghanistan,Kabul,qa,analysis,Afghanistan is a country in Central Asia.,fghanistan is a country in central asia,Afghanistan,3,-1.375,0.0,0.0,0.0,0.13636363636363635,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_base,gemma,base,capital:0,capital,Afghanistan,Kabul,chat_template,analysis,The capital of Afghanistan is Kabul.,kabul,The,3,-0.5625,1.0,1.0,1.0,1.0,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,1.0,1.0,none
gemma_270m_base,gemma,base,capital:1,capital,Albania,Tirana,raw_question,holdout,Albania is a country in the,lbania is a country in the,"

",51,-6.4375,0.0,0.0,0.0,0.1875,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_base,gemma,base,capital:1,capital,Albania,Tirana,declarative,holdout,"Tirana, which is located in the",tirana which is located in the,Tir,1,0.25,0.0,1.0,0.2857142857142857,0.3333333333333333,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.2857142857142857,1.0,none
gemma_270m_base,gemma,base,capital:1,capital,Albania,Tirana,qa,holdout,Albania is a country in the Balkans.,lbania is a country in the balkans,Albania,8,-3.75,0.0,0.0,0.0,0.15,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_base,gemma,base,capital:1,capital,Albania,Tirana,chat_template,holdout,Albania is the capital of Albania.,lbania is the capital of albania,Albania,64,-4.25,0.0,0.0,0.0,0.15789473684210525,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_base,gemma,base,official_language:0,official_language,Afghanistan,Dari,raw_question,analysis,What is the official language of Afghanistan,what is the official language of afghanistan,"

",436,-9.9375,0.0,0.0,0.0,0.12,capital:0,Kabul,0.0,0.0,Albanian,official_language:1,0.0,0.0,Albanian,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_base,gemma,base,official_language:0,official_language,Afghanistan,Dari,declarative,analysis,the Afghan language. The Afghan language is,the afghan language the afghan language is,the,2,-0.9375,0.0,0.0,0.0,0.12244897959183673,capital:0,Kabul,0.0,0.0,Albanian,official_language:1,0.0,0.0,Albanian,0.0,0.0,0.0,0.0,0.0,0.0,none
