model_name,model_variant,relation,fact_id,best_family,worst_family,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta
smollm2_360m_instruct,instruct,capital,capital:0,chat_template,qa,0,27,0.0,1.0,1.0,0.0,1.0,1.0,0.11102813482284546,0.09160536527633667,-0.01942276954650879,0.0,0.0,0.0,0.0,0.0,0.0,-0.020210742950439453,-0.017207205295562744,0.003003537654876709
smollm2_360m_instruct,instruct,capital,capital:1,chat_template,qa,0,27,1.0,1.0,0.0,1.0,1.0,0.0,0.13711178302764893,0.12728667259216309,-0.00982511043548584,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999065399169922,-0.04782217741012573,0.0021684765815734863
smollm2_360m_instruct,instruct,capital,capital:2,chat_template,qa,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.12780314683914185,0.13552719354629517,0.00772404670715332,0.0,0.0,0.0,0.0,0.0,0.0,-0.0205114483833313,-0.016463279724121094,0.004048168659210205
smollm2_360m_instruct,instruct,capital,capital:3,chat_template,qa,0,27,0.6666666666666666,0.0,-0.6666666666666666,0.6666666666666666,0.0,-0.6666666666666666,0.07646632194519043,-0.010441303253173828,-0.08690762519836426,0.0,0.0,0.0,0.0,0.0,0.0,-0.011338472366333008,-0.012175917625427246,-0.0008374452590942383
smollm2_360m_instruct,instruct,capital,capital:4,chat_template,qa,0,27,1.0,1.0,0.0,1.0,1.0,0.0,0.12356561422348022,0.1296062469482422,0.006040632724761963,0.0,0.0,0.0,0.0,0.0,0.0,-0.02688652276992798,-0.02121955156326294,0.005666971206665039
smollm2_360m_instruct,instruct,capital,capital:5,chat_template,qa,0,27,1.0,0.6666666666666666,-0.33333333333333337,1.0,0.6666666666666666,-0.33333333333333337,0.13753992319107056,0.08391696214675903,-0.05362296104431152,0.0,0.0,0.0,0.0,0.0,0.0,-0.01813983917236328,-0.032078683376312256,-0.013938844203948975
smollm2_360m_instruct,instruct,capital,capital:6,chat_template,qa,0,27,1.0,1.0,0.0,1.0,1.0,0.0,0.11002320051193237,0.11871480941772461,0.008691608905792236,0.0,0.0,0.0,0.0,0.0,0.0,-0.007737517356872559,-0.005221545696258545,0.0025159716606140137
smollm2_360m_instruct,instruct,capital,capital:7,chat_template,qa,0,27,0.4,1.0,0.6,0.4,1.0,0.6,0.10004550218582153,0.1119803786277771,0.011934876441955566,0.0,0.0,0.0,0.0,0.0,0.0,-0.02986818552017212,-0.028537452220916748,0.001330733299255371
smollm2_360m_instruct,instruct,capital,capital:8,chat_template,qa,0,27,1.0,1.0,0.0,1.0,1.0,0.0,0.060781121253967285,0.054464638233184814,-0.006316483020782471,0.0,0.0,0.0,0.0,0.0,0.0,0.03987318277359009,0.04101830720901489,0.0011451244354248047
smollm2_360m_instruct,instruct,capital,capital:9,chat_template,qa,0,27,1.0,1.0,0.0,1.0,1.0,0.0,0.12058395147323608,0.14074432849884033,0.020160377025604248,0.0,0.0,0.0,0.0,0.0,0.0,-0.012609124183654785,-0.011110424995422363,0.0014986991882324219
