relation,prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity
birth_place,chat_template,5605.25,-15.84375,0.25,0.25,0.25,0.5181852461264226
birth_place,declarative,13.0,-3.2265625,0.0,0.375,0.16309523809523813,0.3110401072357594
birth_place,qa,62.0,-6.7109375,0.125,0.375,0.2708333333333333,0.38367107608593676
birth_place,raw_question,595.625,-15.0,0.0,0.5,0.3402777777777778,0.42510460404257394
capital,chat_template,1647.375,-9.7890625,0.375,0.375,0.375,0.6387917637917637
capital,declarative,12.875,2.453125,0.0,0.625,0.2152777777777778,0.3167338571968081
capital,qa,5.5,0.484375,0.0,0.5,0.2097222222222222,0.42792033018741094
capital,raw_question,33.0,-10.390625,0.125,0.5,0.3416666666666667,0.5930577710819647
currency,chat_template,5856.5,-12.46533203125,0.0,0.0,0.1,0.464986727346441
currency,declarative,210.25,-7.984375,0.0,0.25,0.27976190476190477,0.41029564848028033
currency,qa,253.375,-3.7265625,0.0,0.25,0.19375,0.3655546488017128
currency,raw_question,1849.75,-12.171875,0.0,0.125,0.2,0.4022820888284383
headquarters,chat_template,9385.875,-16.5390625,0.125,0.125,0.2708333333333333,0.5137987012987013
headquarters,declarative,172.0,-1.984375,0.0,0.5,0.30568181818181817,0.45943555122145624
headquarters,qa,207.375,-6.81640625,0.0,0.5,0.3325757575757576,0.4657138314007076
headquarters,raw_question,1932.875,-14.58984375,0.0,0.25,0.175,0.33702782262602804
official_language,chat_template,566.5,-11.53515625,0.25,0.25,0.25,0.7160669191919192
official_language,declarative,3073.0,-10.41015625,0.0,0.125,0.024999999999999998,0.14213277527009582
official_language,qa,35.0,-3.6484375,0.0,0.375,0.075,0.18810760232083584
official_language,raw_question,216.25,-11.21484375,0.0,0.75,0.3833333333333333,0.5524597474106591
