relation,prompt_family,answer_f1,target_selectivity,same_subject_control_f1,same_relation_control_f1,lexical_distractor_f1,max_control_f1
birth_place,chat_template,0.14285714285714285,0.08571428571428572,0.0,0.0,0.05714285714285715,0.05714285714285715
birth_place,declarative,0.11700680272108845,0.11700680272108845,0.0,0.0,0.0,0.0
birth_place,qa,0.20238095238095236,0.20238095238095236,0.0,0.0,0.0,0.0
birth_place,raw_question,0.24206349206349206,0.24206349206349206,0.0,0.0,0.0,0.0
capital,chat_template,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.0
capital,declarative,0.21031746031746032,0.21031746031746032,0.0,0.0,0.0,0.0
capital,qa,0.23095238095238096,0.23095238095238096,0.0,0.0,0.0,0.0
capital,raw_question,0.33690476190476193,0.33690476190476193,0.0,0.0,0.0,0.0
currency,chat_template,0.09285714285714286,0.09285714285714286,0.0,0.0,0.0,0.0
currency,declarative,0.24376417233560094,0.24376417233560094,0.0,0.0,0.0,0.0
currency,qa,0.17023809523809524,0.17023809523809524,0.0,0.0,0.0,0.0
currency,raw_question,0.31428571428571433,0.31428571428571433,0.0,0.0,0.0,0.0
headquarters,chat_template,0.2619047619047619,0.15476190476190474,0.0,0.10714285714285714,0.10714285714285714,0.10714285714285714
headquarters,declarative,0.2641414141414141,0.20642135642135642,0.0,0.05772005772005772,0.05772005772005772,0.05772005772005772
headquarters,qa,0.2793290043290043,0.1819264069264069,0.0,0.09740259740259741,0.09740259740259741,0.09740259740259741
headquarters,raw_question,0.16071428571428573,0.13055555555555556,0.0,0.03015873015873016,0.03015873015873016,0.03015873015873016
official_language,chat_template,0.2857142857142857,0.1142857142857143,0.028571428571428574,0.0,0.14285714285714285,0.17142857142857143
official_language,declarative,0.02857142857142857,0.02857142857142857,0.0,0.0,0.0,0.0
official_language,qa,0.05873015873015873,0.044444444444444446,0.0,0.0,0.014285714285714285,0.014285714285714285
official_language,raw_question,0.3261904761904762,0.25476190476190474,0.0,0.0,0.07142857142857142,0.07142857142857142
