model_name,model_variant,relation,fact_id,best_family,worst_family,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta
qwen2_5_0_5b_base,base,capital,capital:0,qa,raw_question,0,21,1.0,0.19999999999999998,-0.8,1.0,0.19999999999999998,-0.8,0.18890821933746338,0.1927974820137024,0.0038892626762390137,1.0,1.0,0.0,1.0,1.0,0.0,0.035026609897613525,0.04645371437072754,0.011427104473114014
qwen2_5_0_5b_base,base,capital,capital:1,qa,raw_question,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.1691938042640686,0.17252129316329956,0.003327488899230957,0.0,0.0,0.0,0.0,0.0,0.0,0.017568886280059814,0.02607119083404541,0.008502304553985596
qwen2_5_0_5b_base,base,capital,capital:2,qa,raw_question,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.154360830783844,0.1581987738609314,0.0038379430770874023,0.0,0.0,0.0,0.0,0.0,0.0,0.026459157466888428,0.026441216468811035,-1.7940998077392578e-05
qwen2_5_0_5b_base,base,capital,capital:3,qa,raw_question,0,21,0.6666666666666666,0.0,-0.6666666666666666,0.6666666666666666,0.0,-0.6666666666666666,0.22464030981063843,-0.055355608463287354,-0.2799959182739258,0.36363636363636365,0.0,-0.36363636363636365,0.36363636363636365,0.0,-0.36363636363636365,0.03637653589248657,0.0071065425872802734,-0.0292699933052063
qwen2_5_0_5b_base,base,official_language,official_language:0,qa,raw_question,0,21,0.25,1.0,0.75,0.25,1.0,0.75,0.06417685747146606,0.07210415601730347,0.007927298545837402,0.0,0.0,0.0,0.0,0.0,0.0,0.03215682506561279,0.032155513763427734,-1.3113021850585938e-06
qwen2_5_0_5b_base,base,official_language,official_language:1,qa,raw_question,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.04361146688461304,0.0495530366897583,0.005941569805145264,0.0,0.0,0.0,0.0,0.0,0.0,0.017443835735321045,0.018027186393737793,0.000583350658416748
qwen2_5_0_5b_base,base,official_language,official_language:2,qa,raw_question,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.05422717332839966,0.057781219482421875,0.003554046154022217,0.0,0.0,0.0,0.0,0.0,0.0,0.02304130792617798,0.0245172381401062,0.0014759302139282227
qwen2_5_0_5b_base,base,official_language,official_language:3,qa,raw_question,0,21,1.0,0.0,-1.0,1.0,0.0,-1.0,0.05328822135925293,-0.01395958662033081,-0.06724780797958374,0.0,0.0,0.0,0.0,0.0,0.0,0.03088480234146118,0.01877903938293457,-0.012105762958526611
qwen2_5_0_5b_base,base,currency,currency:0,qa,raw_question,0,21,0.4,0.4,0.0,0.4,0.4,0.0,0.07268542051315308,0.07751047611236572,0.0048250555992126465,0.4,0.4,0.0,0.4,0.4,0.0,0.04129987955093384,0.040241122245788574,-0.0010587573051452637
qwen2_5_0_5b_base,base,currency,currency:1,qa,raw_question,0,21,0.8,0.8,0.0,0.8,0.8,0.0,0.07615560293197632,0.08078402280807495,0.004628419876098633,0.0,0.0,0.0,0.0,0.0,0.0,0.009129583835601807,0.007308006286621094,-0.0018215775489807129
qwen2_5_0_5b_base,base,currency,currency:2,qa,raw_question,0,21,0.8,0.5,-0.30000000000000004,0.8,0.5,-0.30000000000000004,0.07131606340408325,0.07592862844467163,0.004612565040588379,0.0,0.0,0.0,0.0,0.0,0.0,0.02303183078765869,0.020717203617095947,-0.002314627170562744
qwen2_5_0_5b_base,base,currency,currency:3,qa,raw_question,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.07076048851013184,-0.00945371389389038,-0.08021420240402222,0.0,0.0,0.0,0.0,0.0,0.0,0.030239582061767578,0.020301878452301025,-0.009937703609466553
