relation,prompt_family,answer_f1,target_selectivity,same_subject_control_f1,same_relation_control_f1,lexical_distractor_f1,max_control_f1
birth_place,chat_template,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0
birth_place,declarative,0.13253968253968254,0.13253968253968254,0.0,0.0,0.0,0.0
birth_place,qa,0.18055555555555555,0.18055555555555555,0.0,0.0,0.0,0.0
birth_place,raw_question,0.2601851851851852,0.20462962962962963,0.0,0.05555555555555555,0.0,0.05555555555555555
capital,chat_template,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.0
capital,declarative,0.22453703703703706,0.22453703703703706,0.0,0.0,0.0,0.0
capital,qa,0.25092592592592594,0.25092592592592594,0.0,0.0,0.0,0.0
capital,raw_question,0.33749999999999997,0.33749999999999997,0.0,0.0,0.0,0.0
currency,chat_template,0.10833333333333334,0.10833333333333334,0.0,0.0,0.0,0.0
currency,declarative,0.26587301587301587,0.26587301587301587,0.0,0.0,0.0,0.0
currency,qa,0.1708333333333333,0.1708333333333333,0.0,0.0,0.0,0.0
currency,raw_question,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.0
headquarters,chat_template,0.3194444444444444,0.23611111111111108,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
headquarters,declarative,0.24082491582491583,0.20147306397306397,0.0,0.020833333333333332,0.03935185185185185,0.03935185185185185
headquarters,qa,0.28190235690235693,0.2633838383838384,0.0,0.01851851851851852,0.01851851851851852,0.01851851851851852
headquarters,raw_question,0.1798280423280423,0.158994708994709,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332
official_language,chat_template,0.25,0.049999999999999996,0.03333333333333333,0.0,0.16666666666666666,0.19999999999999998
official_language,declarative,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0
official_language,qa,0.049999999999999996,0.03333333333333333,0.0,0.0,0.016666666666666666,0.016666666666666666
official_language,raw_question,0.33888888888888885,0.25555555555555554,0.0,0.0,0.08333333333333333,0.08333333333333333
