relation,prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity
birth_place,chat_template,731.5,-5.953125,0.0,0.0,0.0,0.16623994421101404
birth_place,declarative,110.875,-3.21875,0.0,0.125,0.05,0.22590303614309615
birth_place,qa,235.375,-3.6171875,0.0,0.125,0.03125,0.2094312859651461
birth_place,raw_question,997.75,-8.6953125,0.0,0.25,0.14583333333333331,0.21423488487633224
capital,chat_template,34.125,-2.0546875,0.0,0.25,0.1638888888888889,0.34437306071578927
capital,declarative,30.375,-0.859375,0.0,0.5,0.14684343434343433,0.2685363717906269
capital,qa,8.25,-2.1015625,0.0,0.0,0.0,0.18773970705749882
capital,raw_question,38.875,-4.7578125,0.0,0.0,0.08333333333333333,0.2508396779184522
currency,chat_template,124.75,-3.1484375,0.0,0.125,0.18333333333333335,0.40886676311854614
currency,declarative,201.125,-5.59375,0.0,0.375,0.23969155844155846,0.3752694567935448
currency,qa,71.5,-2.8515625,0.0,0.25,0.2130050505050505,0.34946852425180597
currency,raw_question,459.625,-6.890625,0.0,0.25,0.18333333333333335,0.4191266509618789
headquarters,chat_template,615.875,-5.59375,0.125,0.125,0.125,0.3444904531861054
headquarters,declarative,141.125,-1.921875,0.0,0.375,0.15000000000000002,0.3622566349075109
headquarters,qa,139.875,-2.4296875,0.0,0.375,0.189484126984127,0.39037413542960936
headquarters,raw_question,660.625,-8.359375,0.0,0.25,0.05555555555555555,0.21933519045465477
official_language,chat_template,43.125,-2.3359375,0.0,0.125,0.03125,0.2121111490848333
official_language,declarative,1.75,-0.046875,0.0,0.375,0.08055555555555555,0.2127253934238154
official_language,qa,5.125,-0.359375,0.0,0.5,0.1111111111111111,0.22812615499140182
official_language,raw_question,87.25,-5.7578125,0.0,0.25,0.059027777777777776,0.2036297806993319
