relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,target_selectivity,chat_template,declarative,-0.03412698412698412,-0.3,0.18015873015873018,0.6875,12
birth_place,target_selectivity,chat_template,qa,0.013888888888888886,-0.2510416666666666,0.27777777777777773,1.0,12
birth_place,target_selectivity,chat_template,raw_question,0.037962962962962955,-0.2455787037037037,0.28333333333333327,0.7265625,12
birth_place,target_selectivity,declarative,qa,0.048015873015873005,-0.07936507936507937,0.18293650793650792,1.0,12
birth_place,target_selectivity,declarative,raw_question,0.07208994708994707,-0.10308201058201057,0.25519841269841265,0.453125,12
birth_place,target_selectivity,qa,raw_question,0.02407407407407407,-0.22692129629629626,0.23631944444444422,0.6875,12
capital,target_selectivity,chat_template,declarative,-0.19212962962962962,-0.44217592592592586,0.06203703703703703,1.0,12
capital,target_selectivity,chat_template,qa,-0.16574074074074074,-0.44002314814814814,0.12962962962962962,1.0,12
capital,target_selectivity,chat_template,raw_question,-0.07916666666666666,-0.3752083333333333,0.22930555555555543,0.7265625,12
capital,target_selectivity,declarative,qa,0.02638888888888888,-0.0837962962962963,0.17141203703703692,0.2890625,12
capital,target_selectivity,declarative,raw_question,0.11296296296296293,-0.09004629629629628,0.2849421296296294,0.1796875,12
capital,target_selectivity,qa,raw_question,0.0865740740740741,-0.0578935185185185,0.2203703703703704,0.5078125,12
currency,target_selectivity,chat_template,declarative,0.15753968253968256,0.054589947089947105,0.2497420634920635,0.109375,12
currency,target_selectivity,chat_template,qa,0.0625,-0.0459375,0.16666666666666666,0.375,12
currency,target_selectivity,chat_template,raw_question,0.15833333333333335,-0.04187500000000001,0.3420833333333329,0.2890625,12
currency,target_selectivity,declarative,qa,-0.09503968253968255,-0.17807374338624338,-0.011479828042328081,0.75390625,12
currency,target_selectivity,declarative,raw_question,0.0007936507936507862,-0.13496031746031745,0.13810846560846557,0.75390625,12
currency,target_selectivity,qa,raw_question,0.09583333333333337,-0.07093749999999997,0.26666666666666666,0.453125,12
headquarters,target_selectivity,chat_template,declarative,-0.034638047138047134,-0.28961805555555553,0.21119318181818142,1.0,12
headquarters,target_selectivity,chat_template,qa,0.027272727272727282,-0.20529461279461275,0.25296717171717165,0.75390625,12
headquarters,target_selectivity,chat_template,raw_question,-0.07711640211640211,-0.347989417989418,0.1875396825396825,1.0,12
headquarters,target_selectivity,declarative,qa,0.061910774410774416,-0.0010258838383838183,0.12936447811447804,0.75390625,12
headquarters,target_selectivity,declarative,raw_question,-0.042478354978354976,-0.17652717652717653,0.07477678571428567,1.0,12
headquarters,target_selectivity,qa,raw_question,-0.1043891293891294,-0.23623346560846561,-0.013688371813371843,1.0,12
official_language,target_selectivity,chat_template,declarative,-0.01666666666666667,-0.25,0.11666666666666668,0.625,12
official_language,target_selectivity,chat_template,qa,-0.01666666666666667,-0.25,0.13333333333333333,0.625,12
official_language,target_selectivity,chat_template,raw_question,0.20555555555555552,0.0,0.37777777777777777,0.125,12
official_language,target_selectivity,declarative,qa,0.0,-0.049999999999999996,0.049999999999999996,1.0,12
official_language,target_selectivity,declarative,raw_question,0.22222222222222224,0.07479166666666667,0.37777777777777777,0.125,12
official_language,target_selectivity,qa,raw_question,0.22222222222222224,0.09444444444444444,0.3503472222222219,0.03125,12
