case_id,relation_id,layer,component,baseline_margin,ablated_margin,margin_drop,baseline_rank,ablated_rank,exact_match_drop,collateral_margin_drop
1219,P190,0,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,0,attention,-0.8125,0.875,-1.6875,5576,1245,0.0,-1.6875
1219,P190,0,mlp,-0.8125,0.6875,-1.5,5576,506,0.0,-1.5
1219,P190,1,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,1,attention,-0.8125,1.125,-1.9375,5576,109000,0.0,-1.9375
1219,P190,1,mlp,-0.8125,-0.25,-0.5625,5576,6948,0.0,-0.5625
1219,P190,2,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,2,attention,-0.8125,-0.4375,-0.375,5576,3360,0.0,-0.375
1219,P190,2,mlp,-0.8125,-0.8125,0.0,5576,2705,0.0,0.0
1219,P190,3,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,3,attention,-0.8125,-2.25,1.4375,5576,5723,0.0,1.4375
1219,P190,3,mlp,-0.8125,12.46875,-13.28125,5576,2994,0.0,-13.28125
1219,P190,4,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,4,attention,-0.8125,-0.4375,-0.375,5576,3360,0.0,-0.375
1219,P190,4,mlp,-0.8125,-0.9375,0.125,5576,6941,0.0,0.125
1219,P190,5,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,5,attention,-0.8125,1.375,-2.1875,5576,3042,0.0,-2.1875
1219,P190,5,mlp,-0.8125,-0.4375,-0.375,5576,2029,0.0,-0.375
1219,P190,6,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,6,attention,-0.8125,0.6875,-1.5,5576,4451,0.0,-1.5
1219,P190,6,mlp,-0.8125,-1.0625,0.25,5576,2885,0.0,0.25
1219,P190,7,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,7,attention,-0.8125,-0.5625,-0.25,5576,8206,0.0,-0.25
1219,P190,7,mlp,-0.8125,0.0,-0.8125,5576,2555,0.0,-0.8125
1219,P190,8,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,8,attention,-0.8125,-1.4375,0.625,5576,4121,0.0,0.625
1219,P190,8,mlp,-0.8125,-0.1875,-0.625,5576,903,0.0,-0.625
1219,P190,9,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,9,attention,-0.8125,-0.5,-0.3125,5576,1310,0.0,-0.3125
1219,P190,9,mlp,-0.8125,0.0625,-0.875,5576,631,0.0,-0.875
1219,P190,10,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,10,attention,-0.8125,0.5,-1.3125,5576,4951,0.0,-1.3125
1219,P190,10,mlp,-0.8125,-3.375,2.5625,5576,4744,0.0,2.5625
1219,P190,11,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,11,attention,-0.8125,-1.0,0.1875,5576,3582,0.0,0.1875
1219,P190,11,mlp,-0.8125,0.0625,-0.875,5576,6218,0.0,-0.875
1219,P190,12,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,12,attention,-0.8125,-3.0625,2.25,5576,7744,0.0,2.25
1219,P190,12,mlp,-0.8125,-1.4375,0.625,5576,4793,0.0,0.625
1219,P190,13,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,13,attention,-0.8125,-0.6875,-0.125,5576,7574,0.0,-0.125
1219,P190,13,mlp,-0.8125,-2.0625,1.25,5576,6727,0.0,1.25
1219,P190,14,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,14,attention,-0.8125,-2.125,1.3125,5576,7405,0.0,1.3125
1219,P190,14,mlp,-0.8125,1.25,-2.0625,5576,3582,0.0,-2.0625
1219,P190,15,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,15,attention,-0.8125,-0.625,-0.1875,5576,6907,0.0,-0.1875
1219,P190,15,mlp,-0.8125,0.0,-0.8125,5576,6156,0.0,-0.8125
1219,P190,16,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,16,attention,-0.8125,-2.9375,2.125,5576,7216,0.0,2.125
1219,P190,16,mlp,-0.8125,1.0,-1.8125,5576,5789,0.0,-1.8125
1219,P190,17,layer,-0.8125,0.0,-0.8125,5576,241328,0.0,-0.8125
1219,P190,17,attention,-0.8125,-0.1875,-0.625,5576,6790,0.0,-0.625
1219,P190,17,mlp,-0.8125,0.703125,-1.515625,5576,9370,0.0,-1.515625
17886,P140,0,layer,6.6875,0.0,6.6875,7,171928,0.0,-0.8125
17886,P140,0,attention,6.6875,4.25,2.4375,7,8,0.0,-1.6875
17886,P140,0,mlp,6.6875,5.0,1.6875,7,116,0.0,-1.5
17886,P140,1,layer,6.6875,0.0,6.6875,7,171928,0.0,-0.8125
17886,P140,1,attention,6.6875,-3.486328125,10.173828125,7,78629,0.0,-1.9375
17886,P140,1,mlp,6.6875,2.25,4.4375,7,470,0.0,-0.5625
17886,P140,2,layer,6.6875,0.0,6.6875,7,171928,0.0,-0.8125
17886,P140,2,attention,6.6875,5.0625,1.625,7,330,0.0,-0.375
17886,P140,2,mlp,6.6875,5.625,1.0625,7,9,0.0,0.0
17886,P140,3,layer,6.6875,0.0,6.6875,7,171928,0.0,-0.8125
17886,P140,3,attention,6.6875,7.3125,-0.625,7,9,0.0,1.4375
17886,P140,3,mlp,6.6875,1.265625,5.421875,7,46513,0.0,-13.28125
17886,P140,4,layer,6.6875,0.0,6.6875,7,171928,0.0,-0.8125
17886,P140,4,attention,6.6875,6.375,0.3125,7,12,0.0,-0.375
17886,P140,4,mlp,6.6875,6.625,0.0625,7,8,0.0,0.125
17886,P140,5,layer,6.6875,0.0,6.6875,7,171928,0.0,-0.8125
