relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs,model_name
birth_place,answer_f1,chat_template,declarative,0.0958333333333333,0.0,0.2256249999999994,0.5,12,gemma_270m_base
birth_place,answer_f1,chat_template,qa,0.0763888888888888,0.0,0.1875,0.5,12,gemma_270m_base
birth_place,answer_f1,chat_template,raw_question,0.0972222222222222,0.0,0.236458333333333,0.5,12,gemma_270m_base
birth_place,answer_f1,declarative,qa,-0.0194444444444444,-0.1069444444444444,0.0431944444444443,1.0,12,gemma_270m_base
birth_place,answer_f1,declarative,raw_question,0.0013888888888888,-0.1793749999999999,0.1806249999999999,1.0,12,gemma_270m_base
birth_place,answer_f1,qa,raw_question,0.0208333333333333,-0.1458333333333333,0.1875,1.0,12,gemma_270m_base
capital,answer_f1,chat_template,declarative,-0.1261784511784512,-0.2713425925925926,0.0081102693602693,0.2890625,12,gemma_270m_base
capital,answer_f1,chat_template,qa,-0.2759259259259259,-0.4611574074074074,-0.1073611111111111,0.03125,12,gemma_270m_base
capital,answer_f1,chat_template,raw_question,-0.1648148148148148,-0.3685648148148148,0.0222685185185184,0.375,12,gemma_270m_base
capital,answer_f1,declarative,qa,-0.1497474747474747,-0.2134069865319865,-0.0822853535353536,0.0078125,12,gemma_270m_base
capital,answer_f1,declarative,raw_question,-0.0386363636363636,-0.171300505050505,0.107523148148148,0.2890625,12,gemma_270m_base
capital,answer_f1,qa,raw_question,0.1111111111111111,0.0,0.2222222222222222,0.5,12,gemma_270m_base
currency,answer_f1,chat_template,declarative,0.1291847041847042,-0.0364123376623376,0.2429342532467532,0.0654296875,12,gemma_270m_base
currency,answer_f1,chat_template,qa,0.0364478114478114,-0.0916961279461279,0.1380324074074073,0.6875,12,gemma_270m_base
currency,answer_f1,chat_template,raw_question,0.1208333333333333,-0.1722569444444444,0.3752083333333331,0.7265625,12,gemma_270m_base
currency,answer_f1,declarative,qa,-0.0927368927368927,-0.1671981721981722,-0.0048553992303992,0.0390625,12,gemma_270m_base
currency,answer_f1,declarative,raw_question,-0.0083513708513708,-0.1639745670995671,0.1558730158730158,0.75390625,12,gemma_270m_base
currency,answer_f1,qa,raw_question,0.0843855218855219,-0.1018718434343434,0.2751694023569023,1.0,12,gemma_270m_base
headquarters,answer_f1,chat_template,declarative,-0.024537037037037,-0.1575231481481481,0.125,1.0,12,gemma_270m_base
headquarters,answer_f1,chat_template,qa,-0.0030964405964405,-0.1618318602693602,0.1682765151515151,1.0,12,gemma_270m_base
headquarters,answer_f1,chat_template,raw_question,-0.1283670033670033,-0.2822022306397306,0.0162405303030302,0.375,12,gemma_270m_base
headquarters,answer_f1,declarative,qa,0.0214405964405964,-0.0292490379990379,0.0725438912938912,0.375,12,gemma_270m_base
headquarters,answer_f1,declarative,raw_question,-0.1038299663299663,-0.1723569023569023,-0.0473474326599327,0.03125,12,gemma_270m_base
headquarters,answer_f1,qa,raw_question,-0.1252705627705627,-0.2122159090909091,-0.0439814814814814,0.0625,12,gemma_270m_base
official_language,answer_f1,chat_template,declarative,0.0851851851851851,0.0268518518518518,0.1477314814814814,0.453125,12,gemma_270m_base
official_language,answer_f1,chat_template,qa,0.0902777777777777,-0.0208912037037037,0.1666666666666667,0.1796875,12,gemma_270m_base
official_language,answer_f1,chat_template,raw_question,0.0,-0.0555555555555555,0.0555555555555555,1.0,12,gemma_270m_base
official_language,answer_f1,declarative,qa,0.0050925925925925,-0.0801388888888888,0.0981481481481481,1.0,12,gemma_270m_base
official_language,answer_f1,declarative,raw_question,-0.0851851851851851,-0.1417013888888888,-0.0268518518518518,0.21875,12,gemma_270m_base
official_language,answer_f1,qa,raw_question,-0.0902777777777777,-0.1851851851851852,0.0046296296296296,0.1796875,12,gemma_270m_base
birth_place,answer_f1,chat_template,declarative,-0.0341269841269841,-0.3,0.1801587301587301,0.6875,12,gemma_270m_it
birth_place,answer_f1,chat_template,qa,0.0138888888888888,-0.2510416666666666,0.2777777777777777,1.0,12,gemma_270m_it
birth_place,answer_f1,chat_template,raw_question,0.0935185185185185,-0.1621527777777777,0.3222685185185184,0.453125,12,gemma_270m_it
birth_place,answer_f1,declarative,qa,0.048015873015873,-0.0793650793650793,0.1829365079365079,1.0,12,gemma_270m_it
birth_place,answer_f1,declarative,raw_question,0.1276455026455026,-0.0210383597883597,0.2805853174603174,0.21875,12,gemma_270m_it
birth_place,answer_f1,qa,raw_question,0.0796296296296296,-0.1157407407407407,0.2695138888888888,0.375,12,gemma_270m_it
capital,answer_f1,chat_template,declarative,-0.1921296296296296,-0.4421759259259258,0.062037037037037,1.0,12,gemma_270m_it
capital,answer_f1,chat_template,qa,-0.1657407407407407,-0.4400231481481481,0.1296296296296296,1.0,12,gemma_270m_it
capital,answer_f1,chat_template,raw_question,-0.0791666666666666,-0.3752083333333333,0.2293055555555554,0.7265625,12,gemma_270m_it
capital,answer_f1,declarative,qa,0.0263888888888888,-0.0837962962962963,0.1714120370370369,0.2890625,12,gemma_270m_it
capital,answer_f1,declarative,raw_question,0.1129629629629629,-0.0900462962962962,0.2849421296296294,0.1796875,12,gemma_270m_it
capital,answer_f1,qa,raw_question,0.0865740740740741,-0.0578935185185185,0.2203703703703704,0.5078125,12,gemma_270m_it
currency,answer_f1,chat_template,declarative,0.1575396825396825,0.0545899470899471,0.2497420634920635,0.109375,12,gemma_270m_it
currency,answer_f1,chat_template,qa,0.0625,-0.0459375,0.1666666666666666,0.375,12,gemma_270m_it
currency,answer_f1,chat_template,raw_question,0.1583333333333333,-0.041875,0.3420833333333329,0.2890625,12,gemma_270m_it
currency,answer_f1,declarative,qa,-0.0950396825396825,-0.1780737433862433,-0.011479828042328,0.75390625,12,gemma_270m_it
currency,answer_f1,declarative,raw_question,0.0007936507936507,-0.1349603174603174,0.1381084656084655,0.75390625,12,gemma_270m_it
currency,answer_f1,qa,raw_question,0.0958333333333333,-0.0709374999999999,0.2666666666666666,0.453125,12,gemma_270m_it
headquarters,answer_f1,chat_template,declarative,-0.0786195286195286,-0.305625,0.1328619528619526,1.0,12,gemma_270m_it
headquarters,answer_f1,chat_template,qa,-0.0375420875420875,-0.2613194444444444,0.1771959175084174,1.0,12,gemma_270m_it
headquarters,answer_f1,chat_template,raw_question,-0.1396164021164021,-0.3716071428571428,0.0677678571428567,0.6875,12,gemma_270m_it
headquarters,answer_f1,declarative,qa,0.041077441077441,-0.0034227693602693,0.0864194023569023,0.75390625,12,gemma_270m_it
headquarters,answer_f1,declarative,raw_question,-0.0609968734968734,-0.1898794492544492,0.0360697751322751,1.0,12,gemma_270m_it
headquarters,answer_f1,qa,raw_question,-0.1020743145743146,-0.2354273388648388,-0.0073887686387686,1.0,12,gemma_270m_it
official_language,answer_f1,chat_template,declarative,-0.2166666666666666,-0.5,0.0499999999999999,1.0,12,gemma_270m_it
official_language,answer_f1,chat_template,qa,-0.2,-0.4833333333333333,0.0333333333333333,1.0,12,gemma_270m_it
official_language,answer_f1,chat_template,raw_question,0.0888888888888888,-0.1666666666666666,0.3111111111111111,0.7265625,12,gemma_270m_it
official_language,answer_f1,declarative,qa,0.0166666666666666,-0.0333333333333333,0.0666666666666666,1.0,12,gemma_270m_it
