model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank
gemma_270m_base,capital,raw_question,invariant,capital:3,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,2,2
gemma_270m_base,capital,declarative,invariant,capital:3,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,3,2
gemma_270m_base,capital,qa,invariant,capital:3,0.0,0.0,0.0,0.0,0.0,0.0,1,1
gemma_270m_base,capital,chat_template,invariant,capital:3,0.2,0.2,0.0,0.0,0.0,0.0,1,1
gemma_270m_base,official_language,raw_question,invariant,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,94,93
gemma_270m_base,official_language,declarative,invariant,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,3,3
gemma_270m_base,official_language,qa,invariant,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,14,12
gemma_270m_base,official_language,chat_template,invariant,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,71,69
gemma_270m_base,currency,raw_question,invariant,currency:3,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,2457,2407
gemma_270m_base,currency,declarative,invariant,currency:3,0.19999999999999998,0.2222222222222222,-0.022222222222222227,1.0,1.0,0.0,12,13
gemma_270m_base,currency,qa,invariant,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,141,149
gemma_270m_base,currency,chat_template,invariant,currency:3,0.0,0.0,0.0,0.0,1.0,-1.0,264,264
gemma_270m_base,headquarters,raw_question,invariant,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,283,275
gemma_270m_base,headquarters,declarative,invariant,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,19,19
gemma_270m_base,headquarters,qa,invariant,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,31,32
gemma_270m_base,headquarters,chat_template,invariant,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,204,209
gemma_270m_base,birth_place,raw_question,invariant,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,388,387
gemma_270m_base,birth_place,declarative,invariant,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,70,64
gemma_270m_base,birth_place,qa,invariant,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,133,137
gemma_270m_base,birth_place,chat_template,invariant,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,119,122
gemma_270m_base,capital,raw_question,prompt_sensitive,capital:3,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,2,3
gemma_270m_base,capital,declarative,prompt_sensitive,capital:3,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,3,4
gemma_270m_base,capital,qa,prompt_sensitive,capital:3,0.0,0.0,0.0,0.0,0.0,0.0,1,1
gemma_270m_base,capital,chat_template,prompt_sensitive,capital:3,0.2,0.2,0.0,0.0,0.0,0.0,1,1
gemma_270m_base,official_language,raw_question,prompt_sensitive,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,94,73
gemma_270m_base,official_language,declarative,prompt_sensitive,official_language:3,0.0,0.2222222222222222,-0.2222222222222222,0.0,1.0,-1.0,3,3
gemma_270m_base,official_language,qa,prompt_sensitive,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,14,34
gemma_270m_base,official_language,chat_template,prompt_sensitive,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,71,50
gemma_270m_base,currency,raw_question,prompt_sensitive,currency:3,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,2457,1349
gemma_270m_base,currency,declarative,prompt_sensitive,currency:3,0.19999999999999998,0.2222222222222222,-0.022222222222222227,1.0,1.0,0.0,12,15
gemma_270m_base,currency,qa,prompt_sensitive,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,141,616
gemma_270m_base,currency,chat_template,prompt_sensitive,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,264,208
gemma_270m_base,headquarters,raw_question,prompt_sensitive,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,283,196
gemma_270m_base,headquarters,declarative,prompt_sensitive,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,19,21
gemma_270m_base,headquarters,qa,prompt_sensitive,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,31,106
gemma_270m_base,headquarters,chat_template,prompt_sensitive,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,204,182
gemma_270m_base,birth_place,raw_question,prompt_sensitive,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,388,278
gemma_270m_base,birth_place,declarative,prompt_sensitive,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,70,58
gemma_270m_base,birth_place,qa,prompt_sensitive,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,133,97
gemma_270m_base,birth_place,chat_template,prompt_sensitive,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,119,102
