model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank
smollm2_360m_base,capital,raw_question,invariant,capital:6,0.5714285714285715,0.5714285714285715,0.0,1.0,1.0,0.0,3,3
smollm2_360m_base,capital,declarative,invariant,capital:6,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,1,1
smollm2_360m_base,capital,qa,invariant,capital:6,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,1,1
smollm2_360m_base,capital,chat_template,invariant,capital:6,0.5714285714285715,0.5,0.07142857142857151,1.0,1.0,0.0,1,1
smollm2_360m_base,capital,raw_question,invariant,capital:7,0.2857142857142857,0.2857142857142857,0.0,1.0,1.0,0.0,17,17
smollm2_360m_base,capital,declarative,invariant,capital:7,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,1,1
smollm2_360m_base,capital,qa,invariant,capital:7,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,1,1
smollm2_360m_base,capital,chat_template,invariant,capital:7,0.0,0.0,0.0,0.0,0.0,0.0,4,3
smollm2_360m_base,official_language,raw_question,invariant,official_language:6,0.25,0.25,0.0,1.0,1.0,0.0,16,15
smollm2_360m_base,official_language,declarative,invariant,official_language:6,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1
smollm2_360m_base,official_language,qa,invariant,official_language:6,0.2857142857142857,0.2857142857142857,0.0,1.0,1.0,0.0,1,1
smollm2_360m_base,official_language,chat_template,invariant,official_language:6,0.25,0.33333333333333337,-0.08333333333333337,1.0,1.0,0.0,1,1
smollm2_360m_base,official_language,raw_question,invariant,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,8,8
smollm2_360m_base,official_language,declarative,invariant,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,1,1
smollm2_360m_base,official_language,qa,invariant,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,1,1
smollm2_360m_base,official_language,chat_template,invariant,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,1,1
smollm2_360m_base,currency,raw_question,invariant,currency:6,0.4,0.4,0.0,0.0,0.0,0.0,10,11
smollm2_360m_base,currency,declarative,invariant,currency:6,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,4,4
smollm2_360m_base,currency,qa,invariant,currency:6,0.8,0.8,0.0,1.0,1.0,0.0,2,2
smollm2_360m_base,currency,chat_template,invariant,currency:6,0.8,0.8,0.0,1.0,1.0,0.0,3,2
smollm2_360m_base,currency,raw_question,invariant,currency:7,0.4,0.6666666666666666,-0.2666666666666666,0.0,0.0,0.0,33,33
smollm2_360m_base,currency,declarative,invariant,currency:7,0.0,0.0,0.0,0.0,0.0,0.0,3,2
smollm2_360m_base,currency,qa,invariant,currency:7,0.4,0.6666666666666666,-0.2666666666666666,0.0,1.0,-1.0,2,2
smollm2_360m_base,currency,chat_template,invariant,currency:7,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,3,3
smollm2_360m_base,headquarters,raw_question,invariant,headquarters:6,0.28571428571428575,0.28571428571428575,0.0,0.0,0.0,0.0,409,399
smollm2_360m_base,headquarters,declarative,invariant,headquarters:6,0.8571428571428571,0.8571428571428571,0.0,1.0,1.0,0.0,1,1
smollm2_360m_base,headquarters,qa,invariant,headquarters:6,0.5,0.5,0.0,1.0,1.0,0.0,83,78
smollm2_360m_base,headquarters,chat_template,invariant,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,107,89
smollm2_360m_base,headquarters,raw_question,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,3198,3008
smollm2_360m_base,headquarters,declarative,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,1353,1304
smollm2_360m_base,headquarters,qa,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,1787,1692
smollm2_360m_base,headquarters,chat_template,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,1573,1520
smollm2_360m_base,birth_place,raw_question,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,957,888
smollm2_360m_base,birth_place,declarative,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,10,10
smollm2_360m_base,birth_place,qa,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,104,96
smollm2_360m_base,birth_place,chat_template,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,209,186
smollm2_360m_base,birth_place,raw_question,invariant,birth_place:7,1.0,1.0,0.0,1.0,1.0,0.0,146,133
smollm2_360m_base,birth_place,declarative,invariant,birth_place:7,0.4,0.4,0.0,1.0,1.0,0.0,1,1
smollm2_360m_base,birth_place,qa,invariant,birth_place:7,0.0,0.0,0.0,0.0,0.0,0.0,3,2
smollm2_360m_base,birth_place,chat_template,invariant,birth_place:7,0.0,0.0,0.0,0.0,0.0,0.0,216,182
smollm2_360m_base,capital,raw_question,prompt_sensitive,capital:6,0.5714285714285715,0.5714285714285715,0.0,1.0,1.0,0.0,3,2
smollm2_360m_base,capital,declarative,prompt_sensitive,capital:6,0.4444444444444445,0.3636363636363636,0.08080808080808088,1.0,1.0,0.0,1,1
smollm2_360m_base,capital,qa,prompt_sensitive,capital:6,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,1,1
smollm2_360m_base,capital,chat_template,prompt_sensitive,capital:6,0.5714285714285715,0.4444444444444445,0.12698412698412703,1.0,1.0,0.0,1,1
smollm2_360m_base,capital,raw_question,prompt_sensitive,capital:7,0.2857142857142857,0.4,-0.11428571428571432,1.0,1.0,0.0,17,17
smollm2_360m_base,capital,declarative,prompt_sensitive,capital:7,0.33333333333333337,0.25,0.08333333333333337,1.0,1.0,0.0,1,1
smollm2_360m_base,capital,qa,prompt_sensitive,capital:7,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,1,1
smollm2_360m_base,capital,chat_template,prompt_sensitive,capital:7,0.0,0.0,0.0,0.0,0.0,0.0,4,22
smollm2_360m_base,official_language,raw_question,prompt_sensitive,official_language:6,0.25,0.25,0.0,1.0,1.0,0.0,16,15
smollm2_360m_base,official_language,declarative,prompt_sensitive,official_language:6,0.19999999999999998,0.2857142857142857,-0.08571428571428572,1.0,1.0,0.0,1,1
smollm2_360m_base,official_language,qa,prompt_sensitive,official_language:6,0.2857142857142857,0.25,0.0357142857142857,1.0,1.0,0.0,1,1
smollm2_360m_base,official_language,chat_template,prompt_sensitive,official_language:6,0.25,0.2857142857142857,-0.0357142857142857,1.0,1.0,0.0,1,1
smollm2_360m_base,official_language,raw_question,prompt_sensitive,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,8,5
smollm2_360m_base,official_language,declarative,prompt_sensitive,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,1,1
smollm2_360m_base,official_language,qa,prompt_sensitive,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,1,1
smollm2_360m_base,official_language,chat_template,prompt_sensitive,official_language:7,0.0,0.25,-0.25,0.0,1.0,-1.0,1,1
smollm2_360m_base,currency,raw_question,prompt_sensitive,currency:6,0.4,0.4,0.0,0.0,0.0,0.0,10,8
smollm2_360m_base,currency,declarative,prompt_sensitive,currency:6,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,4,5
smollm2_360m_base,currency,qa,prompt_sensitive,currency:6,0.8,0.8,0.0,1.0,1.0,0.0,2,2
smollm2_360m_base,currency,chat_template,prompt_sensitive,currency:6,0.8,0.0,0.8,1.0,0.0,1.0,3,2
smollm2_360m_base,currency,raw_question,prompt_sensitive,currency:7,0.4,0.5,-0.09999999999999998,0.0,0.0,0.0,33,22
smollm2_360m_base,currency,declarative,prompt_sensitive,currency:7,0.0,0.4444444444444445,-0.4444444444444445,0.0,1.0,-1.0,3,3
smollm2_360m_base,currency,qa,prompt_sensitive,currency:7,0.4,0.25,0.15000000000000002,0.0,0.0,0.0,2,2
smollm2_360m_base,currency,chat_template,prompt_sensitive,currency:7,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,3,2
smollm2_360m_base,headquarters,raw_question,prompt_sensitive,headquarters:6,0.28571428571428575,0.0,0.28571428571428575,0.0,0.0,0.0,409,457
smollm2_360m_base,headquarters,declarative,prompt_sensitive,headquarters:6,0.8571428571428571,0.5454545454545454,0.3116883116883117,1.0,1.0,0.0,1,1
smollm2_360m_base,headquarters,qa,prompt_sensitive,headquarters:6,0.5,0.2,0.3,1.0,0.0,1.0,83,151
smollm2_360m_base,headquarters,chat_template,prompt_sensitive,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,107,244
smollm2_360m_base,headquarters,raw_question,prompt_sensitive,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,3198,4141
smollm2_360m_base,headquarters,declarative,prompt_sensitive,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,1353,1712
smollm2_360m_base,headquarters,qa,prompt_sensitive,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,1787,2798
smollm2_360m_base,headquarters,chat_template,prompt_sensitive,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,1573,3325
smollm2_360m_base,birth_place,raw_question,prompt_sensitive,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,957,1118
smollm2_360m_base,birth_place,declarative,prompt_sensitive,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,10,22
