model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank,baseline_target_selectivity,ablated_target_selectivity,target_selectivity_drop,same_subject_control_f1_increase,same_relation_control_f1_increase,lexical_distractor_f1_increase,max_control_f1_increase
gemma_270m_it,capital,raw_question,invariant,capital:14,0.0,0.0,0.0,0.0,0.0,0.0,68,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_it,capital,declarative,invariant,capital:14,0.25,0.25,0.0,1.0,1.0,0.0,1,1,0.25,0.25,0.0,0.0,0.0,0.0,0.0
gemma_270m_it,capital,qa,invariant,capital:14,0.0,0.0,0.0,0.0,0.0,0.0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_it,capital,chat_template,invariant,capital:14,0.0,1.0,-1.0,0.0,1.0,-1.0,5,17,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
gemma_270m_it,capital,raw_question,invariant,capital:15,0.4,0.2222222222222222,0.1777777777777778,1.0,1.0,0.0,134,105,0.4,0.2222222222222222,0.1777777777777778,0.0,0.0,0.0,0.0
gemma_270m_it,capital,declarative,invariant,capital:15,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0
gemma_270m_it,capital,qa,invariant,capital:15,0.2222222222222222,0.0,0.2222222222222222,1.0,0.0,1.0,1,3,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0
gemma_270m_it,capital,chat_template,invariant,capital:15,0.0,1.0,-1.0,0.0,1.0,-1.0,6,10,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
gemma_270m_it,capital,raw_question,invariant,capital:16,0.4,0.6666666666666666,-0.2666666666666666,1.0,1.0,0.0,26,32,0.4,0.6666666666666666,-0.2666666666666666,0.0,0.0,0.0,0.0
gemma_270m_it,capital,declarative,invariant,capital:16,0.25,0.2222222222222222,0.02777777777777779,1.0,1.0,0.0,1,1,0.25,0.2222222222222222,0.02777777777777779,0.0,0.0,0.0,0.0
gemma_270m_it,capital,qa,invariant,capital:16,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,2,3,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
gemma_270m_it,capital,chat_template,invariant,capital:16,1.0,1.0,0.0,1.0,1.0,0.0,16,88,1.0,1.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_it,capital,raw_question,invariant,capital:17,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_270m_it,capital,declarative,invariant,capital:17,0.2857142857142857,0.2857142857142857,0.0,1.0,1.0,0.0,1,1,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
