relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,-0.10714285714285712,-0.75,0.4285714285714286,1.0,4
birth_place,answer_f1,chat_template,qa,0.125,-0.375,0.75,1.0,4
birth_place,answer_f1,chat_template,raw_question,0.09722222222222221,-0.22361111111111112,0.4305555555555556,1.0,4
birth_place,answer_f1,declarative,qa,0.23214285714285712,0.0,0.375,0.5,4
birth_place,answer_f1,declarative,raw_question,0.20436507936507933,-0.17460317460317465,0.5635416666666663,1.0,4
birth_place,answer_f1,qa,raw_question,-0.02777777777777779,-0.45833333333333337,0.375,1.0,4
capital,answer_f1,chat_template,declarative,-0.037500000000000006,-0.4125,0.44999999999999996,1.0,4
capital,answer_f1,chat_template,qa,-0.1527777777777778,-0.5416666666666667,0.125,1.0,4
capital,answer_f1,chat_template,raw_question,-0.08333333333333334,-0.25,0.0,1.0,4
capital,answer_f1,declarative,qa,-0.11527777777777778,-0.32864583333333336,0.0,0.5,4
capital,answer_f1,declarative,raw_question,-0.04583333333333334,-0.44999999999999996,0.20833333333333331,1.0,4
capital,answer_f1,qa,raw_question,0.06944444444444445,-0.125,0.29166666666666663,1.0,4
currency,answer_f1,chat_template,declarative,0.2380952380952381,0.05555555555555556,0.3700396825396822,0.25,4
currency,answer_f1,chat_template,qa,0.2625,0.0625,0.36250000000000004,0.25,4
currency,answer_f1,chat_template,raw_question,0.30000000000000004,0.0,0.6000000000000001,0.5,4
currency,answer_f1,declarative,qa,0.024404761904761894,-0.0263888888888889,0.0857142857142857,1.0,4
currency,answer_f1,declarative,raw_question,0.0619047619047619,-0.1380952380952381,0.21111111111111114,1.0,4
currency,answer_f1,qa,raw_question,0.037500000000000006,-0.1875,0.23750000000000002,1.0,4
headquarters,answer_f1,chat_template,declarative,-0.06666666666666665,-0.37937499999999996,0.30833333333333335,1.0,4
headquarters,answer_f1,chat_template,qa,-0.058080808080808066,-0.4017045454545454,0.31313131313131315,1.0,4
headquarters,answer_f1,chat_template,raw_question,-0.19166666666666665,-0.75,0.30833333333333335,1.0,4
headquarters,answer_f1,declarative,qa,0.0085858585858586,-0.05075757575757574,0.12727272727272726,0.625,4
headquarters,answer_f1,declarative,raw_question,-0.125,-0.375,0.0,1.0,4
headquarters,answer_f1,qa,raw_question,-0.13358585858585859,-0.3528787878787879,0.048478535353535294,1.0,4
official_language,answer_f1,chat_template,declarative,0.0,0.0,0.0,1.0,4
official_language,answer_f1,chat_template,qa,0.049999999999999996,0.0,0.15,1.0,4
official_language,answer_f1,chat_template,raw_question,0.29166666666666663,0.0,0.6052083333333329,0.5,4
official_language,answer_f1,declarative,qa,0.049999999999999996,0.0,0.15,1.0,4
official_language,answer_f1,declarative,raw_question,0.29166666666666663,0.0,0.6052083333333329,0.5,4
official_language,answer_f1,qa,raw_question,0.24166666666666667,0.0,0.4916666666666667,0.5,4
