relation,prompt_family,answer_f1,target_selectivity,same_subject_control_f1,same_relation_control_f1,lexical_distractor_f1,max_control_f1
birth_place,chat_template,0.2722222222222222,0.23055555555555554,0.0,0.041666666666666664,0.0,0.041666666666666664
birth_place,declarative,0.15734126984126984,0.12400793650793651,0.0,0.03333333333333333,0.0,0.03333333333333333
birth_place,qa,0.20555555555555557,0.09722222222222221,0.0,0.041666666666666664,0.06666666666666667,0.10833333333333334
birth_place,raw_question,0.13333333333333333,0.025000000000000005,0.0,0.041666666666666664,0.06666666666666667,0.10833333333333334
capital,chat_template,0.24166666666666667,0.24166666666666667,0.0,0.0,0.0,0.0
capital,declarative,0.17474747474747476,0.17474747474747476,0.0,0.0,0.0,0.0
capital,qa,0.8472222222222222,0.8472222222222222,0.0,0.0,0.0,0.0
capital,raw_question,0.30113636363636365,0.30113636363636365,0.0,0.0,0.0,0.0
currency,chat_template,0.1574074074074074,0.1574074074074074,0.0,0.0,0.0,0.0
currency,declarative,0.29168470418470416,0.2750180375180375,0.0,0.0,0.016666666666666666,0.016666666666666666
currency,qa,0.40277777777777785,0.3611111111111111,0.0,0.0,0.041666666666666664,0.041666666666666664
currency,raw_question,0.14722222222222223,0.10555555555555556,0.0,0.0,0.041666666666666664,0.041666666666666664
headquarters,chat_template,0.2831228956228956,0.2646043771043771,0.0,0.01851851851851852,0.01851851851851852,0.01851851851851852
headquarters,declarative,0.167989417989418,0.14417989417989419,0.0,0.0,0.023809523809523808,0.023809523809523808
headquarters,qa,0.32634680134680133,0.30782828282828284,0.0,0.01851851851851852,0.01851851851851852,0.01851851851851852
headquarters,raw_question,0.25247113997113996,0.23395262145262144,0.0,0.01851851851851852,0.01851851851851852,0.01851851851851852
official_language,chat_template,0.016666666666666666,0.0015151515151515134,0.015151515151515152,0.0,0.0,0.015151515151515152
official_language,declarative,0.2777777777777778,0.20555555555555557,0.0,0.0,0.07222222222222223,0.07222222222222223
official_language,qa,0.6041666666666666,0.3541666666666667,0.0,0.0,0.25,0.25
official_language,raw_question,0.05555555555555555,0.018518518518518517,0.0,0.0,0.037037037037037035,0.037037037037037035
