relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,0.1,0.0,0.30000000000000004,1.0,4
birth_place,answer_f1,chat_template,qa,0.0,0.0,0.0,1.0,4
birth_place,answer_f1,chat_template,raw_question,0.0,0.0,0.0,1.0,4
birth_place,answer_f1,declarative,qa,-0.1,-0.30000000000000004,0.0,1.0,4
birth_place,answer_f1,declarative,raw_question,-0.1,-0.30000000000000004,0.0,1.0,4
birth_place,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,4
capital,answer_f1,chat_template,declarative,-0.06388888888888888,-0.33770833333333333,0.16270833333333326,1.0,4
capital,answer_f1,chat_template,qa,-0.21666666666666667,-0.52625,0.0,0.5,4
capital,answer_f1,chat_template,raw_question,-0.05,-0.38333333333333336,0.35,1.0,4
capital,answer_f1,declarative,qa,-0.15277777777777776,-0.20833333333333331,-0.05555555555555555,0.25,4
capital,answer_f1,declarative,raw_question,0.013888888888888895,-0.16666666666666666,0.375,1.0,4
capital,answer_f1,qa,raw_question,0.16666666666666666,0.0,0.5,1.0,4
currency,answer_f1,chat_template,declarative,0.10892857142857143,-0.1375,0.26428571428571435,0.625,4
currency,answer_f1,chat_template,qa,0.10101010101010101,0.0,0.20732323232323224,0.5,4
currency,answer_f1,chat_template,raw_question,0.04166666666666666,-0.25,0.5,1.0,4
currency,answer_f1,declarative,qa,-0.007918470418470429,-0.16049242424242424,0.1375,0.625,4
currency,answer_f1,declarative,raw_question,-0.06726190476190477,-0.26174107142857145,0.30000000000000004,0.625,4
currency,answer_f1,qa,raw_question,-0.05934343434343434,-0.3462121212121212,0.4545454545454545,0.625,4
headquarters,answer_f1,chat_template,declarative,-0.04999999999999999,-0.44999999999999996,0.30000000000000004,1.0,4
headquarters,answer_f1,chat_template,qa,-0.013888888888888881,-0.375,0.33333333333333337,1.0,4
headquarters,answer_f1,chat_template,raw_question,-0.19444444444444445,-0.5833333333333334,0.0,1.0,4
headquarters,answer_f1,declarative,qa,0.03611111111111111,0.0,0.07499999999999998,0.5,4
headquarters,answer_f1,declarative,raw_question,-0.14444444444444446,-0.30000000000000004,0.0,0.5,4
headquarters,answer_f1,qa,raw_question,-0.18055555555555558,-0.33333333333333337,0.0,0.5,4
official_language,answer_f1,chat_template,declarative,0.05555555555555555,0.0,0.16666666666666666,1.0,4
official_language,answer_f1,chat_template,qa,0.05555555555555555,0.0,0.16666666666666666,1.0,4
official_language,answer_f1,chat_template,raw_question,0.05555555555555555,0.0,0.16666666666666666,1.0,4
official_language,answer_f1,declarative,qa,0.0,-0.16666666666666666,0.16666666666666666,1.0,4
official_language,answer_f1,declarative,raw_question,0.0,0.0,0.0,1.0,4
official_language,answer_f1,qa,raw_question,0.0,-0.16666666666666666,0.16666666666666666,1.0,4
