model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank,baseline_target_selectivity,ablated_target_selectivity,target_selectivity_drop,same_subject_control_f1_increase,same_relation_control_f1_increase,lexical_distractor_f1_increase,max_control_f1_increase
smollm2_360m_instruct,capital,raw_question,invariant,capital:9,0.0,0.0,0.0,0.0,0.0,0.0,409,471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,declarative,invariant,capital:9,0.25,0.2857142857142857,-0.0357142857142857,1.0,1.0,0.0,1,1,0.25,0.2857142857142857,-0.0357142857142857,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,qa,invariant,capital:9,0.0,0.0,0.0,0.0,0.0,0.0,61,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,chat_template,invariant,capital:9,1.0,1.0,0.0,1.0,1.0,0.0,63,71,1.0,1.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,raw_question,invariant,capital:10,0.0,0.0,0.0,0.0,0.0,0.0,733,881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,declarative,invariant,capital:10,0.25,0.2222222222222222,0.02777777777777779,1.0,1.0,0.0,1,1,0.25,0.2222222222222222,0.02777777777777779,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,qa,invariant,capital:10,0.0,0.0,0.0,0.0,0.0,0.0,179,174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,chat_template,invariant,capital:10,0.4,0.4,0.0,1.0,1.0,0.0,7,11,0.4,0.4,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,raw_question,invariant,capital:11,0.0,0.0,0.0,0.0,0.0,0.0,204,248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,declarative,invariant,capital:11,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,1,1,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,qa,invariant,capital:11,0.0,0.0,0.0,0.0,0.0,0.0,161,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,capital,chat_template,invariant,capital:11,0.0,0.0,0.0,0.0,0.0,0.0,1105,1144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,raw_question,invariant,official_language:9,0.0,0.0,0.0,0.0,0.0,0.0,2759,2285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,declarative,invariant,official_language:9,0.19999999999999998,0.2857142857142857,-0.08571428571428572,1.0,1.0,0.0,1,1,0.19999999999999998,0.2857142857142857,-0.08571428571428572,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,qa,invariant,official_language:9,0.0,0.0,0.0,0.0,0.0,0.0,5159,7105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,chat_template,invariant,official_language:9,0.25,0.25,0.0,1.0,1.0,0.0,517,557,0.25,0.25,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,raw_question,invariant,official_language:10,0.0,0.0,0.0,0.0,0.0,0.0,4315,4705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,declarative,invariant,official_language:10,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,qa,invariant,official_language:10,0.0,0.0,0.0,0.0,0.0,0.0,104,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,chat_template,invariant,official_language:10,0.0,0.0,0.0,0.0,0.0,0.0,22,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,raw_question,invariant,official_language:11,0.2222222222222222,0.2222222222222222,0.0,1.0,1.0,0.0,480,493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,declarative,invariant,official_language:11,0.25,0.25,0.0,1.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,qa,invariant,official_language:11,0.0,0.0,0.0,0.0,0.0,0.0,131,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,official_language,chat_template,invariant,official_language:11,0.25,0.2222222222222222,0.02777777777777779,1.0,1.0,0.0,69,69,0.0,0.0,0.0,0.0,0.0,-0.02777777777777779,-0.02777777777777779
smollm2_360m_instruct,currency,raw_question,invariant,currency:9,0.0,0.0,0.0,0.0,0.0,0.0,3909,4020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,currency,declarative,invariant,currency:9,0.25,0.25,0.0,1.0,1.0,0.0,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,currency,qa,invariant,currency:9,0.0,0.0,0.0,0.0,0.0,0.0,2739,3245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,currency,chat_template,invariant,currency:9,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,81,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,currency,raw_question,invariant,currency:10,0.0,0.0,0.0,0.0,0.0,0.0,5808,6181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,currency,declarative,invariant,currency:10,0.22222222222222224,0.22222222222222224,0.0,0.0,0.0,0.0,6,8,0.22222222222222224,0.22222222222222224,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,currency,qa,invariant,currency:10,0.0,0.0,0.0,0.0,0.0,0.0,23,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,currency,chat_template,invariant,currency:10,0.0,0.0,0.0,0.0,0.0,0.0,96,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smollm2_360m_instruct,currency,raw_question,invariant,currency:11,0.0,0.0,0.0,0.0,0.0,0.0,268,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
