relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,target_selectivity,chat_template,declarative,-0.10654761904761904,-0.23398313492063488,-0.011111111111111118,0.21875,12
birth_place,target_selectivity,chat_template,qa,-0.13333333333333333,-0.35555555555555557,0.033333333333333326,1.0,12
birth_place,target_selectivity,chat_template,raw_question,-0.20555555555555552,-0.4277777777777778,0.0,0.25,12
birth_place,target_selectivity,declarative,qa,-0.02678571428571429,-0.24636904761904763,0.12065476190476186,1.0,12
birth_place,target_selectivity,declarative,raw_question,-0.0990079365079365,-0.30139880952380954,0.049275793650793584,1.0,12
birth_place,target_selectivity,qa,raw_question,-0.07222222222222222,-0.18333333333333332,0.0,0.5,12
capital,target_selectivity,chat_template,declarative,-0.06691919191919192,-0.16738846801346802,0.03680134680134678,0.34375,12
capital,target_selectivity,chat_template,qa,0.6055555555555555,0.41553240740740743,0.770949074074074,0.00634765625,12
capital,target_selectivity,chat_template,raw_question,0.05946969696969698,-0.13523463804713803,0.2829387626262625,1.0,12
capital,target_selectivity,declarative,qa,0.6724747474747476,0.5054629629629629,0.8370370370370369,0.0009765625,12
capital,target_selectivity,declarative,raw_question,0.1263888888888889,-0.06957386363636361,0.3528956228956228,1.0,12
capital,target_selectivity,qa,raw_question,-0.5460858585858586,-0.7708333333333334,-0.29608585858585856,0.0078125,12
currency,target_selectivity,chat_template,declarative,0.11761063011063011,0.0036637205387205422,0.23693016474266476,0.2890625,12
currency,target_selectivity,chat_template,qa,0.20370370370370372,0.09523148148148149,0.3074074074074074,0.0078125,12
currency,target_selectivity,chat_template,raw_question,-0.05185185185185184,-0.22592592592592595,0.12884259259259248,1.0,12
currency,target_selectivity,declarative,qa,0.08609307359307361,0.007618746993746992,0.16717021404521398,0.1796875,12
currency,target_selectivity,declarative,raw_question,-0.169462481962482,-0.30737133237133246,-0.022171115921115963,0.1796875,12
currency,target_selectivity,qa,raw_question,-0.2555555555555556,-0.44444444444444436,-0.0777777777777778,0.125,12
headquarters,target_selectivity,chat_template,declarative,-0.12042448292448293,-0.266492303992304,0.006862824675324584,1.0,12
headquarters,target_selectivity,chat_template,qa,0.04322390572390573,-0.051492003367003374,0.163415404040404,0.6875,12
headquarters,target_selectivity,chat_template,raw_question,-0.030651755651755652,-0.13284015752765752,0.06949044011544005,0.7265625,12
headquarters,target_selectivity,declarative,qa,0.16364838864838865,0.012728174603174604,0.3594621813371813,0.5078125,12
headquarters,target_selectivity,declarative,raw_question,0.08977272727272727,-0.04331619769119769,0.23128321909571908,0.1796875,12
headquarters,target_selectivity,qa,raw_question,-0.07387566137566137,-0.2674484427609427,0.10014249639249628,1.0,12
official_language,target_selectivity,chat_template,declarative,0.20404040404040405,0.09289141414141418,0.29704545454545445,0.0390625,12
official_language,target_selectivity,chat_template,qa,0.3526515151515151,0.09162878787878789,0.6329924242424242,0.21875,12
official_language,target_selectivity,chat_template,raw_question,0.017003367003367003,-0.034848484848484844,0.07407407407407407,1.0,12
official_language,target_selectivity,declarative,qa,0.1486111111111111,-0.09184027777777778,0.4166666666666667,1.0,12
official_language,target_selectivity,declarative,raw_question,-0.18703703703703703,-0.27231481481481484,-0.0888888888888889,0.015625,12
official_language,target_selectivity,qa,raw_question,-0.33564814814814814,-0.5833333333333334,-0.10642361111111115,0.0625,12
