relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,target_selectivity,chat_template,declarative,-0.12195767195767195,-0.21801917989417985,-0.033925264550264615,0.0703125,18
birth_place,target_selectivity,chat_template,qa,-0.08888888888888888,-0.2518518518518518,0.022222222222222216,1.0,18
birth_place,target_selectivity,chat_template,raw_question,-0.19259259259259257,-0.3630555555555555,-0.037037037037037035,0.125,18
birth_place,target_selectivity,declarative,qa,0.03306878306878307,-0.13347222222222221,0.16209325396825391,0.453125,18
birth_place,target_selectivity,declarative,raw_question,-0.07063492063492063,-0.24912037037037033,0.06673611111111107,1.0,18
birth_place,target_selectivity,qa,raw_question,-0.1037037037037037,-0.2518518518518518,0.0,0.25,18
capital,target_selectivity,chat_template,declarative,-0.0909090909090909,-0.18568181818181817,0.00956369248035912,0.1795654296875,18
capital,target_selectivity,chat_template,qa,0.5888888888888889,0.4227469135802469,0.729945987654321,0.000274658203125,18
capital,target_selectivity,chat_template,raw_question,0.002609427609427605,-0.1701087261503928,0.16857603815937144,1.0,18
capital,target_selectivity,declarative,qa,0.6797979797979797,0.5220012626262626,0.8208473625140292,3.0517578125e-05,18
capital,target_selectivity,declarative,raw_question,0.0935185185185185,-0.07023358585858587,0.26505331088664424,1.0,18
capital,target_selectivity,qa,raw_question,-0.5862794612794613,-0.7917403198653198,-0.36692971380471384,0.00048828125,18
currency,target_selectivity,chat_template,declarative,0.05622895622895622,-0.039590347923681254,0.16013938993105659,0.548828125,18
currency,target_selectivity,chat_template,qa,0.2195727112393779,0.12938692480359149,0.3091395101811768,0.000244140625,18
currency,target_selectivity,chat_template,raw_question,-0.14193121693121694,-0.2843022486772486,0.026354717813051067,0.2265625,18
currency,target_selectivity,declarative,qa,0.16334375501042167,0.0674258457591791,0.28558922558922545,0.012939453125,18
currency,target_selectivity,declarative,raw_question,-0.19816017316017318,-0.3123632154882155,-0.07792558521725192,0.0224609375,18
currency,target_selectivity,qa,raw_question,-0.36150392817059473,-0.5504292929292929,-0.19335858585858587,0.00634765625,18
headquarters,target_selectivity,chat_template,declarative,-0.2125781625781626,-0.36839095318261983,-0.07288089225589231,0.454498291015625,18
headquarters,target_selectivity,chat_template,qa,0.0175364758698092,-0.048498877665544345,0.08762275533108857,1.0,18
headquarters,target_selectivity,chat_template,raw_question,-0.08146143979477313,-0.18627966169632834,0.013590067340067319,1.0,18
headquarters,target_selectivity,declarative,qa,0.2301146384479718,0.08603395061728393,0.3825948973865638,0.210113525390625,18
headquarters,target_selectivity,declarative,raw_question,0.13111672278338946,-0.03701248597081928,0.301992644700978,0.11846923828125,18
headquarters,target_selectivity,qa,raw_question,-0.09899791566458233,-0.2190881032547699,0.0146958674042007,1.0,18
official_language,target_selectivity,chat_template,declarative,0.19158249158249163,0.10806397306397306,0.26936026936026936,0.00634765625,18
official_language,target_selectivity,chat_template,qa,0.45732323232323224,0.23507575757575758,0.6886868686868686,0.021484375,18
official_language,target_selectivity,chat_template,raw_question,0.011335578002244669,-0.02323232323232323,0.04713804713804713,1.0,18
official_language,target_selectivity,declarative,qa,0.2657407407407407,0.05456018518518517,0.4963888888888888,0.5810546875,18
official_language,target_selectivity,declarative,raw_question,-0.18024691358024694,-0.2580246913580247,-0.09996913580246919,0.001953125,18
official_language,target_selectivity,qa,raw_question,-0.4459876543209877,-0.6561342592592593,-0.2361111111111111,0.00390625,18
