model_name,model_variant,relation,fact_id,relation_control_fact_id,best_family,worst_family,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,projected_best_control_answer_f1,project_best_control_answer_f1_delta,projected_best_control_selectivity,project_best_control_selectivity_delta,projected_best_control_alignment,project_best_control_alignment_delta,projected_best_random_answer_f1,project_best_random_answer_f1_delta,projected_best_random_selectivity,project_best_random_selectivity_delta,projected_best_random_alignment,project_best_random_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta,patched_worst_control_answer_f1,patch_worst_control_answer_f1_delta,patched_worst_control_selectivity,patch_worst_control_selectivity_delta,patched_worst_control_alignment,patch_worst_control_alignment_delta,patched_worst_random_answer_f1,patch_worst_random_answer_f1_delta,patched_worst_random_selectivity,patch_worst_random_selectivity_delta,patched_worst_random_alignment,patch_worst_random_alignment_delta
gemma_270m_base,base,capital,capital:0,capital:1,declarative,qa,0,12,0.2222222222222222,0.0,-0.2222222222222222,0.2222222222222222,0.0,-0.2222222222222222,0.0958418250083923,-0.1963477134704589,-0.2921895384788513,0.0,-0.2222222222222222,0.0,-0.2222222222222222,0.0271980166435241,-0.0686438083648681,0.1999999999999999,-0.0222222222222222,0.1999999999999999,-0.0222222222222222,0.0938177704811096,-0.0020240545272827,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.1259751319885254,0.1334174871444702,0.0074423551559448,0.0,0.0,-0.25,-0.25,0.0426633358001709,-0.0833117961883544,0.0,0.0,0.0,0.0,-0.0136680006980896,-0.139643132686615
gemma_270m_base,base,capital,capital:1,capital:10,declarative,qa,0,12,0.2222222222222222,0.0,-0.2222222222222222,0.2222222222222222,0.0,-0.2222222222222222,0.0691750645637512,-0.2320389151573181,-0.3012139797210693,0.0,-0.2222222222222222,0.0,-0.2222222222222222,-0.028919517993927,-0.0980945825576782,0.0,-0.2222222222222222,0.0,-0.2222222222222222,0.0683625340461731,-0.0008125305175781,0.0,0.0,0.0,0.0,0.0,0.0,0.1416249275207519,0.1611092090606689,0.0194842815399169,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.1062998175621032,-0.0353251099586486,0.0,0.0,0.0,0.0,0.0485501885414123,-0.0930747389793396
gemma_270m_base,base,capital,capital:2,capital:3,declarative,qa,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0946308970451355,0.0207479596138,-0.0738829374313354,0.0,0.0,-0.1818181818181818,-0.1818181818181818,0.0329934358596801,-0.0616374611854553,0.0,0.0,0.0,0.0,0.094539999961853,-9.08970832824707e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.1354801058769226,0.1572120785713195,0.0217319726943969,0.0,0.0,0.0,0.0,0.099967360496521,-0.0355127453804016,0.0,0.0,0.0,0.0,0.0057275891304016,-0.129752516746521
gemma_270m_base,base,capital,capital:3,capital:4,declarative,qa,0,12,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0570853948593139,0.0591219067573547,0.0020365118980407,0.0,-0.1666666666666666,0.0,-0.1666666666666666,0.0283430218696594,-0.0287423729896545,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0621746778488159,0.0050892829895019,0.0,0.0,0.0,0.0,0.0,0.0,0.1258133053779602,0.1443654894828796,0.0185521841049194,0.0,0.0,0.0,0.0,0.0354255437850952,-0.0903877615928649,0.0,0.0,0.0,0.0,-0.0162137150764465,-0.1420270204544067
gemma_270m_base,base,capital,capital:4,capital:5,declarative,qa,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.1002216935157775,-0.2038873434066772,-0.3041090369224548,0.0,0.0,0.0,0.0,-0.01669442653656,-0.1169161200523376,0.0,0.0,0.0,0.0,0.0998739600181579,-0.0003477334976196,0.0,0.0,0.0,0.0,0.0,0.0,0.1399134397506714,0.1573550701141357,0.0174416303634643,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.1284849047660827,-0.0114285349845886,0.0,0.0,0.0,0.0,-0.0026143789291381,-0.1425278186798095
gemma_270m_base,base,capital,capital:5,capital:6,declarative,qa,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0278667211532592,0.0288218259811401,0.0009551048278808,0.0,0.0,0.0,0.0,0.0293052196502685,0.0014384984970092,0.0,0.0,0.0,0.0,0.0271447896957397,-0.0007219314575195,0.0,0.0,0.0,0.0,0.0,0.0,0.1118387579917907,0.1115090250968933,-0.0003297328948974,0.0,0.0,0.0,0.0,0.118687629699707,0.0068488717079162,0.0,0.0,0.0,0.0,0.1129681468009948,0.0011293888092041
gemma_270m_base,base,capital,capital:6,capital:7,declarative,qa,0,12,0.3636363636363636,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.1043372750282287,0.0912585258483886,-0.01307874917984,0.0,-0.3636363636363636,0.0,-0.3636363636363636,0.0712385773658752,-0.0330986976623535,0.3636363636363636,0.0,0.3636363636363636,0.0,0.1051322221755981,0.0007949471473693,0.0,0.0,0.0,0.0,0.0,0.0,0.1408774852752685,0.1347783207893371,-0.0060991644859313,0.0,0.0,0.0,0.0,0.1113020181655883,-0.0295754671096801,0.0,0.0,0.0,0.0,0.027508795261383,-0.1133686900138855
gemma_270m_base,base,capital,capital:7,capital:8,declarative,qa,0,12,0.1999999999999999,0.0,-0.1999999999999999,0.1999999999999999,0.0,-0.1999999999999999,0.0830031037330627,-0.2400405406951904,-0.3230436444282532,0.1999999999999999,0.0,0.1999999999999999,0.0,0.0531287193298339,-0.0298743844032287,0.1999999999999999,0.0,0.1999999999999999,0.0,0.0726487040519714,-0.0103543996810913,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.1391666531562805,0.1647436022758484,0.0255769491195678,0.0,0.0,0.0,0.0,-0.0003779530525207,-0.1395446062088012,0.0,0.0,0.0,0.0,-0.0378070473670959,-0.1769737005233764
gemma_270m_base,base,capital,capital:8,capital:9,declarative,qa,0,12,0.0,0.1999999999999999,0.1999999999999999,0.0,0.1999999999999999,0.1999999999999999,0.0784643292427063,0.0455008149147033,-0.0329635143280029,0.0,0.0,0.0,0.0,0.0600711107254028,-0.0183932185173034,0.0,0.0,0.0,0.0,0.079678475856781,0.0012141466140747,0.0,0.0,0.0,0.0,0.0,0.0,0.1117448806762695,0.1154273748397827,0.0036824941635131,0.0,0.0,0.0,0.0,0.0672031641006469,-0.0445417165756225,0.0,0.0,0.0,0.0,0.0238548517227172,-0.0878900289535522
gemma_270m_base,base,capital,capital:9,capital:0,declarative,qa,0,12,0.1999999999999999,0.1999999999999999,0.0,0.1999999999999999,0.1999999999999999,0.0,0.0942747592926025,0.0918828845024108,-0.0023918747901916,0.1999999999999999,0.0,0.1999999999999999,0.0,0.0770928859710693,-0.0171818733215332,0.1999999999999999,0.0,0.1999999999999999,0.0,0.0933156609535217,-0.0009590983390808,0.0,0.0,0.0,0.0,0.0,0.0,0.1340628266334533,0.168182373046875,0.0341195464134216,0.0,0.0,-0.25,-0.25,0.0979928374290466,-0.0360699892044067,0.0,0.0,0.0,0.0,0.0204609036445617,-0.1136019229888916
