case_id,split,relation_id,subject,prompt_kind,prompt,target_true,target_new,target_token_id,target_rank,target_margin,exact_match,subject_start,subject_end,top_prediction
6808,dev,P131,Union University,canonical,Union University is in,Tennessee,Texas,27806,203,-1.125,0.0,0,1,a
6808,dev,P131,Union University,paraphrase,"Georgia: A Brief History Macon: Mercer University Press, 2012. Union University can be found in",Tennessee,Texas,27806,74,1.9375,0.0,18,18,the
6808,dev,P131,Union University,paraphrase,Krim unsuccessfully tries to interrupt the royal parade. Union University is within,Tennessee,Texas,27806,12680,-2.25,0.0,11,11,a
6808,dev,P131,Union University,generation,Union University's surroundings include,Tennessee,Texas,27806,6458,-2.0625,0.0,0,1,a
4876,dev,P937,Johannes Burman,canonical,Johannes Burman found employment in,Amsterdam,London,28007,75,-3.375,0.0,0,2,the
4876,dev,P937,Johannes Burman,paraphrase,"Gestation lasts 21 days, with only one young per litter. Johannes Burman worked in the city of",Amsterdam,London,28007,10,-1.375,0.0,16,17,London
4876,dev,P937,Johannes Burman,paraphrase,Heathcote's oldest son Chris was The Reptiles' roadie. Johannes Burman took up work in,Amsterdam,London,28007,9711,-7.25,0.0,16,17,the
4876,dev,P937,Johannes Burman,generation,Johannes Burman's work office is surrounded by,Amsterdam,London,28007,6199,-2.125,0.0,0,2,a
17517,dev,P1303,Wes Montgomery,canonical,Wes Montgomery plays,guitar,piano,15583,188,2.125,0.0,0,1,a
17517,dev,P1303,Wes Montgomery,paraphrase,"References External links Ba Fan Men Category:Chinese martial arts Wes Montgomery, playing the",guitar,piano,15583,23,-0.5,0.0,12,12,role
17517,dev,P1303,Wes Montgomery,paraphrase,"The business prospered for over 100 years. Wes Montgomery, performing on the",guitar,piano,15583,425,-2.0,0.0,13,13,stage
17517,dev,P1303,Wes Montgomery,generation,Wes Montgomery is incredible at,guitar,piano,15583,1294,-0.0625,0.0,0,1,his
2348,dev,P30,Dennistoun Glacier,canonical,Dennistoun Glacier is located in,Antarctica,Europe,96919,3,3.6875,0.0,0,3,the
2348,dev,P30,Dennistoun Glacier,paraphrase,"Prose works, in contrast, are hardly known. Dennistoun Glacier is located in the continent",Antarctica,Europe,96919,29,1.5625,0.0,12,14,of
2348,dev,P30,Dennistoun Glacier,paraphrase,"University of Minnesota Press. Dennistoun Glacier, in",Antarctica,Europe,96919,113,3.4375,0.0,6,8,his
2348,dev,P30,Dennistoun Glacier,generation,People around Dennistoun Glacier speak the language of,Antarctica,Europe,96919,300,3.09375,0.0,3,5,the
731,dev,P176,Chevrolet Equinox,canonical,"Chevrolet Equinox, produced by",Chevrolet,Triumph,63697,7,6.125,0.0,0,2,General
731,dev,P176,Chevrolet Equinox,paraphrase,Houghton Mifflin Company. Chevrolet Equinox is produced by,Chevrolet,Triumph,63697,3,5.625,0.0,6,7,the
731,dev,P176,Chevrolet Equinox,paraphrase,"Wine Spectator, 2005 (November 30), 30(12), 17. Chevrolet Equinox, created by",Chevrolet,Triumph,63697,51,4.25,0.0,27,28,the
731,dev,P176,Chevrolet Equinox,generation,Chevrolet Equinox is my favorite product out of everything created by,Chevrolet,Triumph,63697,6,7.1875,0.0,0,2,the
14527,dev,P106,Claude Antoine Dacosta,canonical,The occupation of Claude Antoine Dacosta is,politician,actor,48101,6487,2.109375,0.0,4,6,a
14527,dev,P106,Claude Antoine Dacosta,paraphrase,"""People loved his artwork. Claude Antoine Dacosta's profession is an",politician,actor,48101,7039,-10.3828125,0.0,7,9,art
14527,dev,P106,Claude Antoine Dacosta,paraphrase,"XXX-629. Claude Antoine Dacosta, who works as",politician,actor,48101,777,-1.875,0.0,7,9,a
14527,dev,P106,Claude Antoine Dacosta,generation,Claude Antoine Dacosta's greatest accomplishment is,politician,actor,48101,21894,-2.125,0.0,0,3,undoubtedly
7797,dev,P1303,Romero Lubambo,canonical,"Romero Lubambo, playing the",guitar,violin,15583,8,-1.75,0.0,0,3,role
7797,dev,P1303,Romero Lubambo,paraphrase,"The postcode for Tasek Meradun is BF1520. Romero Lubambo, the",guitar,violin,15583,12923,-1.4375,0.0,16,17,author
