relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,-0.6166666666666667,-0.95,-0.18250000000000027,0.25,4
birth_place,answer_f1,chat_template,qa,-0.6666666666666666,-1.0,-0.2062500000000007,0.25,4
birth_place,answer_f1,chat_template,raw_question,-0.6666666666666666,-1.0,-0.2062500000000007,0.25,4
birth_place,answer_f1,declarative,qa,-0.05,-0.15000000000000002,0.0,1.0,4
birth_place,answer_f1,declarative,raw_question,-0.05,-0.15000000000000002,0.0,1.0,4
birth_place,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,4
capital,answer_f1,chat_template,declarative,-0.2986111111111111,-0.7222222222222222,0.09531249999999947,1.0,4
capital,answer_f1,chat_template,qa,-0.41666666666666663,-0.8333333333333333,0.0,0.5,4
capital,answer_f1,chat_template,raw_question,-0.41666666666666663,-0.8333333333333333,0.0,0.5,4
capital,answer_f1,declarative,qa,-0.11805555555555555,-0.1875,0.0,0.5,4
capital,answer_f1,declarative,raw_question,-0.11805555555555555,-0.1875,0.0,0.5,4
capital,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,4
currency,answer_f1,chat_template,declarative,-0.024801587301587324,-0.20337301587301587,0.1752728174603174,0.625,4
currency,answer_f1,chat_template,qa,-0.20535714285714288,-0.27678571428571436,-0.0625,0.25,4
currency,answer_f1,chat_template,raw_question,-0.20535714285714288,-0.27678571428571436,-0.0625,0.25,4
currency,answer_f1,declarative,qa,-0.18055555555555555,-0.25,-0.05555555555555556,0.25,4
currency,answer_f1,declarative,raw_question,-0.18055555555555555,-0.25,-0.05555555555555556,0.25,4
currency,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,4
headquarters,answer_f1,chat_template,declarative,0.32678571428571435,0.10040178571428574,0.6553124999999997,0.125,4
headquarters,answer_f1,chat_template,qa,-0.3464285714285714,-0.563125,-0.10535714285714345,0.25,4
headquarters,answer_f1,chat_template,raw_question,-0.3464285714285714,-0.563125,-0.10535714285714345,0.25,4
headquarters,answer_f1,declarative,qa,-0.6732142857142858,-0.775,-0.5714285714285715,0.125,4
headquarters,answer_f1,declarative,raw_question,-0.6732142857142858,-0.775,-0.5714285714285715,0.125,4
headquarters,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,4
official_language,answer_f1,chat_template,declarative,-0.020833333333333343,-0.25,0.1875,1.0,4
official_language,answer_f1,chat_template,qa,-0.08333333333333334,-0.25,0.0,1.0,4
official_language,answer_f1,chat_template,raw_question,-0.08333333333333334,-0.25,0.0,1.0,4
official_language,answer_f1,declarative,qa,-0.0625,-0.1875,0.0,1.0,4
official_language,answer_f1,declarative,raw_question,-0.0625,-0.1875,0.0,1.0,4
official_language,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,4
