fact_id,relation,position,mean_invariance_gap,peak_invariance_gap,invariance_depth,split_eval,analysis_variant
birth_place:0,birth_place,preanswer,-0.05481613771318876,0.036728155269634466,27,all,all_families
birth_place:0,birth_place,subject,0.21946955567874088,0.462213775362162,0,all,all_families
birth_place:1,birth_place,preanswer,-0.0624616336812319,-0.007278133950689214,-1,all,all_families
birth_place:1,birth_place,subject,0.23513633629430414,0.44788002394431947,0,all,all_families
birth_place:10,birth_place,preanswer,-0.061421843151225286,0.00478452546339414,-1,all,all_families
birth_place:10,birth_place,subject,0.26696005527628586,0.5125081019074309,0,all,all_families
birth_place:11,birth_place,preanswer,-0.06136316299854988,0.008276668066779735,29,all,all_families
birth_place:11,birth_place,subject,0.21349877426651875,0.5295214994134856,0,all,all_families
birth_place:12,birth_place,preanswer,-0.06653225678073896,0.013657470909403835,29,all,all_families
birth_place:12,birth_place,subject,0.22276021203930105,0.4933684113271096,0,all,all_families
birth_place:13,birth_place,preanswer,-0.060578912892116726,0.03203568260605427,27,all,all_families
birth_place:13,birth_place,subject,0.1982294123507945,0.46614419157598536,0,all,all_families
birth_place:14,birth_place,preanswer,-0.0635858306645029,0.007795394818280288,27,all,all_families
birth_place:14,birth_place,subject,0.2386271220326022,0.5408972888892772,0,all,all_families
birth_place:15,birth_place,preanswer,-0.06227696422532032,0.007550039492985827,27,all,all_families
birth_place:15,birth_place,subject,0.23038366578254554,0.5319919644252342,0,all,all_families
birth_place:16,birth_place,preanswer,-0.06385697454304905,-0.0036935299707977487,-1,all,all_families
birth_place:16,birth_place,subject,0.22895776744767585,0.4564830142566386,0,all,all_families
birth_place:17,birth_place,preanswer,-0.058730384281850144,0.0335767449555443,27,all,all_families
birth_place:17,birth_place,subject,0.1915584557618964,0.5081776508002305,0,all,all_families
birth_place:2,birth_place,preanswer,-0.06857845738298184,-0.012952518265913482,-1,all,all_families
birth_place:2,birth_place,subject,0.23242315806233887,0.4805957905802072,0,all,all_families
birth_place:3,birth_place,preanswer,-0.06761096314889804,-0.011361965434808274,-1,all,all_families
birth_place:3,birth_place,subject,0.21124892577291557,0.4451959656880182,0,all,all_families
birth_place:4,birth_place,preanswer,-0.07034401019014878,-0.027154784357430906,-1,all,all_families
birth_place:4,birth_place,subject,0.20465256413444877,0.4840425560798715,0,all,all_families
birth_place:5,birth_place,preanswer,-0.058076430154883125,0.03296417567659826,27,all,all_families
birth_place:5,birth_place,subject,0.23979391805329997,0.5668427072757599,0,all,all_families
birth_place:6,birth_place,preanswer,-0.07010723906835956,-0.01700177869083841,-1,all,all_families
birth_place:6,birth_place,subject,0.2411903246162076,0.507862375647414,0,all,all_families
birth_place:7,birth_place,preanswer,-0.056802338101547056,0.041711783109634526,27,all,all_families
birth_place:7,birth_place,subject,0.21891066076247678,0.49168914099972627,0,all,all_families
birth_place:8,birth_place,preanswer,-0.06799854169368846,-0.0055796359756998815,-1,all,all_families
birth_place:8,birth_place,subject,0.20078524490065106,0.5024501666353614,0,all,all_families
birth_place:9,birth_place,preanswer,-0.060831373271870395,0.007640863823540123,27,all,all_families
birth_place:9,birth_place,subject,0.2317898444393102,0.5457036732239466,0,all,all_families
capital:0,capital,preanswer,-0.05501440547660047,0.01120441830625718,27,all,all_families
capital:0,capital,subject,0.026712701669049575,0.07286845899972261,0,all,all_families
capital:1,capital,preanswer,-0.06503466033964465,-0.019556602536171086,-1,all,all_families
capital:1,capital,subject,0.018502369264537903,0.07182328921614911,0,all,all_families
capital:10,capital,preanswer,-0.05858228175485042,0.002548945994645946,27,all,all_families
capital:10,capital,subject,0.024585489635059035,0.07433170233579245,0,all,all_families
capital:11,capital,preanswer,-0.05730003073207912,0.008477193102532699,-1,all,all_families
capital:11,capital,subject,0.026790670280153032,0.07762871328376086,0,all,all_families
capital:12,capital,preanswer,-0.05752115587756636,0.011348645330644058,27,all,all_families
capital:12,capital,subject,0.3624572144563346,0.49473160381118453,0,all,all_families
capital:13,capital,preanswer,-0.05864926707437402,0.006899736748606555,27,all,all_families
capital:13,capital,subject,0.02526704252209041,0.07164418664486971,0,all,all_families
capital:14,capital,preanswer,-0.057713200548848764,0.011070671765243345,-1,all,all_families
capital:14,capital,subject,0.33846472374816405,0.4653602720913933,0,all,all_families
capital:15,capital,preanswer,-0.06045404702752635,-0.003522409527909498,-1,all,all_families
capital:15,capital,subject,0.023219979567311737,0.07339902704252921,0,all,all_families
capital:16,capital,preanswer,-0.0538354010872104,0.02331090977817185,27,all,all_families
capital:16,capital,subject,0.027488487064450364,0.07310372561800715,0,all,all_families
capital:17,capital,preanswer,-0.060738220548563385,-0.005342198389710173,-1,all,all_families
capital:17,capital,subject,0.021843261373635646,0.07332022732817667,0,all,all_families
capital:2,capital,preanswer,-0.057088493733366635,0.013530264042464046,27,all,all_families
capital:2,capital,subject,0.023369710763468967,0.07343865054495191,0,all,all_families
capital:3,capital,preanswer,-0.06004090877040564,-0.004141085726373284,-1,all,all_families
capital:3,capital,subject,0.41601001908865703,0.6435084787800032,0,all,all_families
capital:4,capital,preanswer,-0.06300101707273043,-0.006593923285311387,-1,all,all_families
capital:4,capital,subject,0.01781870714130847,0.07279141539452116,0,all,all_families
capital:5,capital,preanswer,-0.062343489196573884,0.003426797140170579,-1,all,all_families
capital:5,capital,subject,0.38686614574102096,0.5798227163944759,0,all,all_families
capital:6,capital,preanswer,-0.05585378076462875,0.014816628184680769,27,all,all_families
capital:6,capital,subject,0.02601660753305838,0.07133069261908531,0,all,all_families
capital:7,capital,preanswer,-0.05863458729306205,-0.0018945948823410053,-1,all,all_families
capital:7,capital,subject,0.024980523324498505,0.07348954655668316,0,all,all_families
capital:8,capital,preanswer,-0.048131731574857464,0.04603935778141022,27,all,all_families
capital:8,capital,subject,0.031055799695119877,0.07136288296212168,0,all,all_families
capital:9,capital,preanswer,-0.054903998264718194,0.019544442275575613,27,all,all_families
capital:9,capital,subject,0.026906842617523477,0.07317697643941523,0,all,all_families
currency:0,currency,preanswer,-0.062375049627792334,-0.010848376315598318,-1,all,all_families
currency:0,currency,subject,0.02110686215115386,0.07208698396297064,0,all,all_families
currency:1,currency,preanswer,-0.06691772773046976,-0.03497812144604384,-1,all,all_families
currency:1,currency,subject,0.018284666761674617,0.07085378497254613,0,all,all_families
currency:10,currency,preanswer,-0.06398022514836424,-0.022482403827940756,-1,all,all_families
currency:10,currency,subject,0.022810043104590148,0.07366976130972891,0,all,all_families
currency:11,currency,preanswer,-0.053630830712791074,0.007800258732601706,-1,all,all_families
currency:11,currency,subject,0.029431598044253656,0.07692558745689249,0,all,all_families
currency:12,currency,preanswer,-0.0584739858165324,-0.008081742653659796,-1,all,all_families
currency:12,currency,subject,0.3490187181445185,0.49780764646243814,0,all,all_families
currency:13,currency,preanswer,-0.06353466763839069,-0.022403151563861745,-1,all,all_families
currency:13,currency,subject,0.02114730020619782,0.07129528764270099,0,all,all_families
currency:14,currency,preanswer,-0.05760992666136207,0.002199284111460087,-1,all,all_families
currency:14,currency,subject,0.317443752385717,0.4568474540377364,0,all,all_families
currency:15,currency,preanswer,-0.06394151274763121,-0.016029963306352202,-1,all,all_families
currency:15,currency,subject,0.020033743685916316,0.07315663905704728,0,all,all_families
currency:16,currency,preanswer,-0.05934140144781136,-0.0013482071751472757,-1,all,all_families
currency:16,currency,subject,0.02224210310002186,0.07292607496036041,0,all,all_families
currency:17,currency,preanswer,-0.05953453786759043,0.0064455347829589504,-1,all,all_families
currency:17,currency,subject,0.023218913966796685,0.07322549034713532,0,all,all_families
currency:2,currency,preanswer,-0.059235177074465434,0.003130617825424009,-1,all,all_families
currency:2,currency,subject,0.023336675004661536,0.0724379091578371,0,all,all_families
currency:3,currency,preanswer,-0.05937973157914729,0.001007646066593204,29,all,all_families
currency:3,currency,subject,0.3908351053496339,0.639216760976934,0,all,all_families
currency:4,currency,preanswer,-0.06529711228030662,-0.017204326267043712,-1,all,all_families
currency:4,currency,subject,0.016331626729701322,0.07272486746603368,0,all,all_families
currency:5,currency,preanswer,-0.06402858245382959,-0.0036527137545978583,-1,all,all_families
currency:5,currency,subject,0.3730690359998513,0.5787349009849861,0,all,all_families
currency:6,currency,preanswer,-0.060327173240283645,-0.011342164713378122,-1,all,all_families
currency:6,currency,subject,0.020974492880936033,0.07104830988043664,0,all,all_families
currency:7,currency,preanswer,-0.06405367352543215,-0.020373438064958505,-1,all,all_families
currency:7,currency,subject,0.02294819457971493,0.0722366954181709,0,all,all_families
currency:8,currency,preanswer,-0.053895897429730916,0.017123141636451122,27,all,all_families
currency:8,currency,subject,0.025723338134590535,0.0711481783758191,0,all,all_families
currency:9,currency,preanswer,-0.05757527815177467,0.005226104465477555,-1,all,all_families
currency:9,currency,subject,0.02496031462093621,0.07158191465571806,0,all,all_families
headquarters:0,headquarters,preanswer,-0.07172335548000097,-0.022465970257625867,-1,all,all_families
headquarters:0,headquarters,subject,0.04772773277306674,0.09767867135358799,0,all,all_families
headquarters:1,headquarters,preanswer,-0.06889843244261654,-0.012717941556783297,-1,all,all_families
headquarters:1,headquarters,subject,0.046570658218115554,0.0976461213739479,0,all,all_families
headquarters:10,headquarters,preanswer,-0.06915285412329986,-0.03188743573777819,-1,all,all_families
headquarters:10,headquarters,subject,0.3549447225819926,0.5361614729113439,0,all,all_families
headquarters:11,headquarters,preanswer,-0.07363434843001398,-0.0362853440730011,-1,all,all_families
headquarters:11,headquarters,subject,0.37285866535853085,0.5918660721212041,0,all,all_families
headquarters:12,headquarters,preanswer,-0.06600854970647738,0.00025106856928147625,-1,all,all_families
headquarters:12,headquarters,subject,0.35681439765418566,0.49017973989248276,0,all,all_families
headquarters:13,headquarters,preanswer,-0.07098896070644567,-0.02225413304917956,-1,all,all_families
headquarters:13,headquarters,subject,0.04685027822144512,0.09756935731160876,0,all,all_families
headquarters:14,headquarters,preanswer,-0.06906406769392597,-0.010238081070722327,-1,all,all_families
headquarters:14,headquarters,subject,0.046743942665474894,0.09691665887686551,0,all,all_families
headquarters:15,headquarters,preanswer,-0.06992859141346165,-0.01619291111972987,-1,all,all_families
headquarters:15,headquarters,subject,0.35201233074835997,0.5908608872297347,0,all,all_families
headquarters:16,headquarters,preanswer,-0.07176602967459915,-0.03533352064151385,-1,all,all_families
headquarters:16,headquarters,subject,0.046759175182338436,0.09713407262575391,0,all,all_families
headquarters:17,headquarters,preanswer,-0.06856192003517082,-0.0066943814357122156,-1,all,all_families
headquarters:17,headquarters,subject,0.04965942730104514,0.09742584561600409,0,all,all_families
headquarters:2,headquarters,preanswer,-0.06759710189560471,-0.013125757668532634,-1,all,all_families
headquarters:2,headquarters,subject,0.04644991162201097,0.09954981111428318,0,all,all_families
headquarters:3,headquarters,preanswer,-0.07266002091580281,-0.023292352646297143,-1,all,all_families
headquarters:3,headquarters,subject,0.04845706090974786,0.09792554338334825,0,all,all_families
headquarters:4,headquarters,preanswer,-0.07112866859689329,-0.019470001771753953,-1,all,all_families
headquarters:4,headquarters,subject,0.044615421178248515,0.09740241784967629,0,all,all_families
headquarters:5,headquarters,preanswer,-0.07112932872294941,-0.03149338870071905,-1,all,all_families
headquarters:5,headquarters,subject,0.047399005036591085,0.09585887752473354,0,all,all_families
headquarters:6,headquarters,preanswer,-0.06968339119280512,-0.023318272303132437,-1,all,all_families
headquarters:6,headquarters,subject,0.04841693113421036,0.09800389204539506,0,all,all_families
headquarters:7,headquarters,preanswer,-0.06635128110236323,-0.005685856419743285,-1,all,all_families
headquarters:7,headquarters,subject,0.052019113968080816,0.1048732348078606,0,all,all_families
headquarters:8,headquarters,preanswer,-0.07031270850620785,-0.0218267836334074,-1,all,all_families
headquarters:8,headquarters,subject,0.046376426634607004,0.09615892146294025,0,all,all_families
headquarters:9,headquarters,preanswer,-0.0726458354687316,-0.03814274974751708,-1,all,all_families
headquarters:9,headquarters,subject,0.34294853589894686,0.49701475918146903,0,all,all_families
official_language:0,official_language,preanswer,-0.06243752094523562,-0.017104017164777274,-1,all,all_families
official_language:0,official_language,subject,0.024577863113247046,0.07102299441455628,0,all,all_families
official_language:1,official_language,preanswer,-0.06814586123335611,-0.03502695561916225,-1,all,all_families
official_language:1,official_language,subject,0.0194452044562044,0.0715130292536581,0,all,all_families
official_language:10,official_language,preanswer,-0.06665185416160486,-0.03234857868622332,-1,all,all_families
official_language:10,official_language,subject,0.023444816266990038,0.07448429435345472,0,all,all_families
official_language:11,official_language,preanswer,-0.053645457783463205,-0.0013077778413015384,-1,all,all_families
official_language:11,official_language,subject,0.03530367134554384,0.08008710196351299,0,all,all_families
official_language:12,official_language,preanswer,-0.059352929476947834,-0.013262625637592063,-1,all,all_families
official_language:12,official_language,subject,0.3609745412421248,0.49327656739920966,0,all,all_families
official_language:13,official_language,preanswer,-0.06384074094144995,-0.022880123416874953,-1,all,all_families
official_language:13,official_language,subject,0.023765604575529845,0.07242265628541222,0,all,all_families
official_language:14,official_language,preanswer,-0.06121133894403635,-0.015948185478063204,-1,all,all_families
official_language:14,official_language,subject,0.33707562888693976,0.47182884056340246,0,all,all_families
official_language:15,official_language,preanswer,-0.06539473615801145,-0.03147773981532631,-1,all,all_families
official_language:15,official_language,subject,0.02129646398380453,0.07333532874198523,0,all,all_families
official_language:16,official_language,preanswer,-0.06073324012130102,-0.009228472835292933,-1,all,all_families
official_language:16,official_language,subject,0.02550081350023438,0.07335046751826413,0,all,all_families
official_language:17,official_language,preanswer,-0.06224087395308103,-0.019822135859844714,-1,all,all_families
official_language:17,official_language,subject,0.025637362556938346,0.07433162695344753,0,all,all_families
official_language:2,official_language,preanswer,-0.06062986161881176,-0.00797514186478121,-1,all,all_families
official_language:2,official_language,subject,0.025083071081990406,0.07281033519436331,0,all,all_families
official_language:3,official_language,preanswer,-0.05787173994785383,-0.007930625120506574,-1,all,all_families
official_language:3,official_language,subject,0.3944566716056537,0.6459463724099538,0,all,all_families
