relation,prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity
birth_place,chat_template,4837.0,-14.480631510416666,0.25,0.4166666666666667,0.32936507936507936,0.4093482146113725
birth_place,declarative,50.25,-2.7604166666666665,0.0,0.08333333333333333,0.07916666666666665,0.2515875806642188
birth_place,qa,2759.9166666666665,-11.510416666666666,0.0,0.0,0.0,0.0
birth_place,raw_question,2560.6666666666665,-12.900553385416666,0.0,0.0,0.0,0.0
capital,chat_template,252.0,-6.734375,0.5,0.6666666666666666,0.6222222222222222,0.7411651178254594
capital,declarative,2.0,3.21875,0.0,0.8333333333333334,0.2736111111111111,0.34796783273219395
capital,qa,203.16666666666666,-9.7421875,0.0,0.0,0.0,0.0
capital,raw_question,3763.0833333333335,-12.7109375,0.0,0.0,0.0,0.0
currency,chat_template,643.1666666666666,-8.647786458333334,0.0,0.16666666666666666,0.16693722943722944,0.46992834827248253
currency,declarative,14.5,-4.854166666666667,0.0,0.25,0.23287037037037037,0.36859334355558565
currency,qa,1128.0833333333333,-9.641927083333334,0.0,0.0,0.0,0.012345679012345678
currency,raw_question,5079.333333333333,-15.531575520833334,0.0,0.0,0.0,0.027777777777777776
headquarters,chat_template,5181.75,-12.798177083333334,0.0,0.5833333333333334,0.26494708994708993,0.3303237690056547
headquarters,declarative,118.0,-0.4557291666666667,0.0,0.5833333333333334,0.4428030303030303,0.5415048005937213
headquarters,qa,855.5833333333334,-10.138020833333334,0.0,0.0,0.0,0.0
headquarters,raw_question,1814.8333333333333,-13.446614583333334,0.0,0.0,0.0,0.0
official_language,chat_template,217.08333333333334,-7.46875,0.0,0.5833333333333334,0.1527777777777778,0.3225461271551659
official_language,declarative,1.25,1.1510416666666667,0.0,0.6666666666666666,0.15482804232804234,0.2722800172538283
official_language,qa,737.4166666666666,-10.8125,0.0,0.0,0.0,0.0
official_language,raw_question,2518.9166666666665,-14.166015625,0.0,0.08333333333333333,0.018518518518518517,0.08231347289318304
