prompt_family,answer_f1,target_selectivity,same_subject_control_f1,same_relation_control_f1,lexical_distractor_f1,max_control_f1,model_name,model_family,model_variant
chat_template,0.1238888888888889,0.0684920634920634,0.0,0.02,0.0353968253968253,0.0553968253968254,gemma_270m_base,gemma,base
declarative,0.1769949494949494,0.1277020202020202,0.0,0.009090909090909,0.0402020202020202,0.0492929292929292,gemma_270m_base,gemma,base
qa,0.1586616161616161,0.087550505050505,0.0,0.02,0.0511111111111111,0.0711111111111111,gemma_270m_base,gemma,base
raw_question,0.0783838383838383,0.0581818181818181,0.0,0.0111111111111111,0.009090909090909,0.0202020202020202,gemma_270m_base,gemma,base
chat_template,0.2033333333333333,0.1616666666666666,0.0,0.025,0.0166666666666666,0.0416666666666666,gemma_270m_it,gemma,instruct
declarative,0.1629761904761904,0.106031746031746,0.0,0.0111111111111111,0.0458333333333333,0.0569444444444444,gemma_270m_it,gemma,instruct
qa,0.1319444444444444,0.0700757575757575,0.0,0.009090909090909,0.0527777777777777,0.0618686868686868,gemma_270m_it,gemma,instruct
raw_question,0.2703968253968254,0.152063492063492,0.0,0.0333333333333333,0.085,0.1183333333333333,gemma_270m_it,gemma,instruct
chat_template,0.1974242424242424,0.1633333333333333,0.0,0.009090909090909,0.025,0.034090909090909,qwen2_5_0_5b_base,qwen,base
declarative,0.1721897546897547,0.1077020202020202,0.0,0.01,0.0544877344877344,0.0644877344877344,qwen2_5_0_5b_base,qwen,base
qa,0.5033333333333333,0.3822222222222222,0.0,0.0,0.1211111111111111,0.1211111111111111,qwen2_5_0_5b_base,qwen,base
raw_question,0.1108766233766233,0.0367857142857142,0.0,0.009090909090909,0.065,0.0740909090909091,qwen2_5_0_5b_base,qwen,base
chat_template,0.5072222222222222,0.3511111111111111,0.0,0.025,0.1311111111111111,0.1561111111111111,qwen2_5_0_5b_instruct,qwen,instruct
declarative,0.1555266955266955,0.113059163059163,0.0,0.0,0.0424675324675324,0.0424675324675324,qwen2_5_0_5b_instruct,qwen,instruct
qa,0.1905555555555555,0.1427777777777777,0.0,0.0,0.0477777777777777,0.0477777777777777,qwen2_5_0_5b_instruct,qwen,instruct
raw_question,0.1641666666666666,0.0850757575757575,0.0,0.009090909090909,0.07,0.0790909090909091,qwen2_5_0_5b_instruct,qwen,instruct
chat_template,0.3313095238095238,0.2261904761904762,0.0,0.0,0.1051190476190476,0.1051190476190476,smollm2_360m_base,smollm2,base
declarative,0.2833333333333333,0.215,0.0,0.0125,0.0558333333333333,0.0683333333333333,smollm2_360m_base,smollm2,base
qa,0.323531746031746,0.2106349206349206,0.0,0.05,0.0628968253968254,0.1128968253968254,smollm2_360m_base,smollm2,base
raw_question,0.1406349206349206,0.1070238095238095,0.0,0.0,0.0336111111111111,0.0336111111111111,smollm2_360m_base,smollm2,base
chat_template,0.2907936507936507,0.2390079365079365,0.0,0.025,0.0267857142857142,0.0517857142857142,smollm2_360m_instruct,smollm2,instruct
declarative,0.2723088023088023,0.185523088023088,0.0,0.0392857142857142,0.0725,0.0867857142857142,smollm2_360m_instruct,smollm2,instruct
qa,0.0,0.0,0.0,0.0,0.0,0.0,smollm2_360m_instruct,smollm2,instruct
raw_question,0.0,0.0,0.0,0.0,0.0,0.0,smollm2_360m_instruct,smollm2,instruct
