model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank
qwen2_5_0_5b_base,capital,raw_question,invariant,capital:3,0.36363636363636365,0.36363636363636365,0.0,0.0,0.0,0.0,1,1
qwen2_5_0_5b_base,capital,declarative,invariant,capital:3,0.4,0.4,0.0,0.0,0.0,0.0,1,1
qwen2_5_0_5b_base,capital,qa,invariant,capital:3,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1,1
qwen2_5_0_5b_base,capital,chat_template,invariant,capital:3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1172,1743
qwen2_5_0_5b_base,official_language,raw_question,invariant,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,24,23
qwen2_5_0_5b_base,official_language,declarative,invariant,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,7,7
qwen2_5_0_5b_base,official_language,qa,invariant,official_language:3,1.0,1.0,0.0,1.0,1.0,0.0,1,1
qwen2_5_0_5b_base,official_language,chat_template,invariant,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,19617,23284
qwen2_5_0_5b_base,currency,raw_question,invariant,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,463,561
qwen2_5_0_5b_base,currency,declarative,invariant,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,403,320
qwen2_5_0_5b_base,currency,qa,invariant,currency:3,0.0,0.0,0.0,0.0,1.0,-1.0,10,10
qwen2_5_0_5b_base,currency,chat_template,invariant,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,44889,64409
qwen2_5_0_5b_base,headquarters,raw_question,invariant,headquarters:3,0.5454545454545454,0.5454545454545454,0.0,1.0,1.0,0.0,947,928
qwen2_5_0_5b_base,headquarters,declarative,invariant,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,5,4
qwen2_5_0_5b_base,headquarters,qa,invariant,headquarters:3,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,9,5
qwen2_5_0_5b_base,headquarters,chat_template,invariant,headquarters:3,0.5454545454545454,0.5454545454545454,0.0,1.0,1.0,0.0,66117,71568
qwen2_5_0_5b_base,birth_place,raw_question,invariant,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,131,111
qwen2_5_0_5b_base,birth_place,declarative,invariant,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,70,77
qwen2_5_0_5b_base,birth_place,qa,invariant,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,44,41
qwen2_5_0_5b_base,birth_place,chat_template,invariant,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,129463,128269
qwen2_5_0_5b_base,capital,raw_question,prompt_sensitive,capital:3,0.36363636363636365,0.36363636363636365,0.0,0.0,0.0,0.0,1,1
qwen2_5_0_5b_base,capital,declarative,prompt_sensitive,capital:3,0.4,0.6,-0.19999999999999996,0.0,1.0,-1.0,1,2
qwen2_5_0_5b_base,capital,qa,prompt_sensitive,capital:3,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1,1
qwen2_5_0_5b_base,capital,chat_template,prompt_sensitive,capital:3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1172,219
qwen2_5_0_5b_base,official_language,raw_question,prompt_sensitive,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,24,13
qwen2_5_0_5b_base,official_language,declarative,prompt_sensitive,official_language:3,0.0,0.33333333333333337,-0.33333333333333337,0.0,1.0,-1.0,7,4
qwen2_5_0_5b_base,official_language,qa,prompt_sensitive,official_language:3,1.0,1.0,0.0,1.0,1.0,0.0,1,1
qwen2_5_0_5b_base,official_language,chat_template,prompt_sensitive,official_language:3,0.0,0.0,0.0,0.0,0.0,0.0,19617,24420
qwen2_5_0_5b_base,currency,raw_question,prompt_sensitive,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,463,359
qwen2_5_0_5b_base,currency,declarative,prompt_sensitive,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,403,435
qwen2_5_0_5b_base,currency,qa,prompt_sensitive,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,10,9
qwen2_5_0_5b_base,currency,chat_template,prompt_sensitive,currency:3,0.0,0.0,0.0,0.0,0.0,0.0,44889,39006
qwen2_5_0_5b_base,headquarters,raw_question,prompt_sensitive,headquarters:3,0.5454545454545454,0.5454545454545454,0.0,1.0,1.0,0.0,947,943
qwen2_5_0_5b_base,headquarters,declarative,prompt_sensitive,headquarters:3,0.0,0.0,0.0,0.0,0.0,0.0,5,10
qwen2_5_0_5b_base,headquarters,qa,prompt_sensitive,headquarters:3,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,9,10
qwen2_5_0_5b_base,headquarters,chat_template,prompt_sensitive,headquarters:3,0.5454545454545454,0.6,-0.054545454545454564,1.0,1.0,0.0,66117,44764
qwen2_5_0_5b_base,birth_place,raw_question,prompt_sensitive,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,131,182
qwen2_5_0_5b_base,birth_place,declarative,prompt_sensitive,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,70,71
qwen2_5_0_5b_base,birth_place,qa,prompt_sensitive,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,44,79
qwen2_5_0_5b_base,birth_place,chat_template,prompt_sensitive,birth_place:3,0.0,0.0,0.0,0.0,0.0,0.0,129463,96122
