relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,target_selectivity,chat_template,declarative,-0.20291005291005293,-0.4058068783068783,-0.03701388888888893,0.1796875,18
birth_place,target_selectivity,chat_template,qa,-0.29365079365079366,-0.5373015873015873,-0.07407407407407408,0.0703125,18
birth_place,target_selectivity,chat_template,raw_question,-0.29365079365079366,-0.5373015873015873,-0.07407407407407408,0.0703125,18
birth_place,target_selectivity,declarative,qa,-0.09074074074074073,-0.21493055555555554,0.013912037037037028,0.375,18
birth_place,target_selectivity,declarative,raw_question,-0.09074074074074073,-0.21493055555555554,0.013912037037037028,0.375,18
birth_place,target_selectivity,qa,raw_question,0.0,0.0,0.0,1.0,18
capital,target_selectivity,chat_template,declarative,-0.3217813051146384,-0.5099503968253969,-0.11817901234567903,0.049041748046875,18
capital,target_selectivity,chat_template,qa,-0.6037037037037037,-0.7925925925925925,-0.41472222222222227,0.000244140625,18
capital,target_selectivity,chat_template,raw_question,-0.6037037037037037,-0.7925925925925925,-0.41472222222222227,0.000244140625,18
capital,target_selectivity,declarative,qa,-0.2819223985890653,-0.35601190476190475,-0.20690696649029983,3.0517578125e-05,18
capital,target_selectivity,declarative,raw_question,-0.2819223985890653,-0.35601190476190475,-0.20690696649029983,3.0517578125e-05,18
capital,target_selectivity,qa,raw_question,0.0,0.0,0.0,1.0,18
currency,target_selectivity,chat_template,declarative,0.04470498637165304,-0.055884239217572546,0.13530964405964402,1.0,18
currency,target_selectivity,chat_template,qa,-0.18086820586820587,-0.30792177729677733,-0.08917899230399241,0.0078125,18
currency,target_selectivity,chat_template,raw_question,-0.18086820586820587,-0.30792177729677733,-0.08917899230399241,0.0078125,18
currency,target_selectivity,declarative,qa,-0.2255731922398589,-0.29441358024691355,-0.15731701940035278,0.0001220703125,18
currency,target_selectivity,declarative,raw_question,-0.2255731922398589,-0.29441358024691355,-0.15731701940035278,0.0001220703125,18
currency,target_selectivity,qa,raw_question,0.0,0.0,0.0,1.0,18
headquarters,target_selectivity,chat_template,declarative,0.07989417989417989,-0.03120861391694727,0.16792127625460948,0.0009765625,18
headquarters,target_selectivity,chat_template,qa,-0.20362353695687027,-0.31530323071989735,-0.08014690556357225,0.012939453125,18
headquarters,target_selectivity,chat_template,raw_question,-0.20362353695687027,-0.31530323071989735,-0.08014690556357225,0.012939453125,18
headquarters,target_selectivity,declarative,qa,-0.28351771685105015,-0.42862413820747153,-0.10346590909090915,0.012939453125,18
headquarters,target_selectivity,declarative,raw_question,-0.28351771685105015,-0.42862413820747153,-0.10346590909090915,0.012939453125,18
headquarters,target_selectivity,qa,raw_question,0.0,0.0,0.0,1.0,18
official_language,target_selectivity,chat_template,declarative,-0.012830687830687838,-0.07407848324514991,0.045327380952380945,0.5078125,18
official_language,target_selectivity,chat_template,qa,-0.11574074074074076,-0.17604166666666665,-0.05555555555555555,0.0078125,18
official_language,target_selectivity,chat_template,raw_question,-0.11574074074074076,-0.17604166666666665,-0.05555555555555555,0.0078125,18
official_language,target_selectivity,declarative,qa,-0.1029100529100529,-0.1570811287477954,-0.04969135802469135,0.0078125,18
official_language,target_selectivity,declarative,raw_question,-0.1029100529100529,-0.1570811287477954,-0.04969135802469135,0.0078125,18
official_language,target_selectivity,qa,raw_question,0.0,0.0,0.0,1.0,18
