model_name,model_variant,relation,fact_id,best_family,worst_family,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta
qwen2_5_0_5b_instruct,instruct,capital,capital:0,chat_template,declarative,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.2398563027381897,0.24148327112197876,0.0016269683837890625,0.25,0.25,0.0,0.25,0.25,0.0,0.05797529220581055,0.0649917721748352,0.007016479969024658
qwen2_5_0_5b_instruct,instruct,capital,capital:1,chat_template,declarative,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.22893279790878296,0.2315317988395691,0.002599000930786133,0.0,0.0,0.0,0.0,0.0,0.0,0.0025725960731506348,0.008801043033599854,0.006228446960449219
qwen2_5_0_5b_instruct,instruct,capital,capital:2,chat_template,declarative,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.24235200881958008,0.24534642696380615,0.0029944181442260742,0.0,0.0,0.0,0.0,0.0,0.0,0.09495735168457031,0.09714281558990479,0.0021854639053344727
qwen2_5_0_5b_instruct,instruct,capital,capital:3,chat_template,declarative,0,21,0.6666666666666666,0.0,-0.6666666666666666,0.6666666666666666,0.0,-0.6666666666666666,0.2759183645248413,-0.16845911741256714,-0.44437748193740845,0.0,0.0,0.0,0.0,0.0,0.0,0.10549157857894897,0.05515259504318237,-0.0503389835357666
qwen2_5_0_5b_instruct,instruct,capital,capital:4,chat_template,declarative,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.3364654779434204,0.33957409858703613,0.0031086206436157227,0.0,0.0,0.0,0.0,0.0,0.0,0.08366948366165161,0.09799820184707642,0.014328718185424805
qwen2_5_0_5b_instruct,instruct,capital,capital:5,chat_template,declarative,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.3025294542312622,0.31345731019973755,0.010927855968475342,0.0,0.0,0.0,0.0,0.0,0.0,0.09515100717544556,0.06288039684295654,-0.032270610332489014
qwen2_5_0_5b_instruct,instruct,capital,capital:6,chat_template,declarative,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.24120640754699707,0.24329310655593872,0.0020866990089416504,0.3636363636363636,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.09977412223815918,0.09948223829269409,-0.0002918839454650879
qwen2_5_0_5b_instruct,instruct,capital,capital:7,chat_template,declarative,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.2912219762802124,0.2955220341682434,0.004300057888031006,0.0,0.0,0.0,0.0,0.0,0.0,0.08858984708786011,0.07879739999771118,-0.009792447090148926
qwen2_5_0_5b_instruct,instruct,capital,capital:8,chat_template,declarative,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.19912981986999512,0.20098119974136353,0.0018513798713684082,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.09582692384719849,0.09589707851409912,7.015466690063477e-05
qwen2_5_0_5b_instruct,instruct,capital,capital:9,chat_template,declarative,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.2845408320426941,0.28901445865631104,0.004473626613616943,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.07692587375640869,0.07603400945663452,-0.0008918642997741699
qwen2_5_0_5b_instruct,instruct,capital,capital:10,chat_template,declarative,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.29688137769699097,0.29990994930267334,0.003028571605682373,0.0,0.0,0.0,0.0,0.0,0.0,0.035303473472595215,0.032505571842193604,-0.0027979016304016113
qwen2_5_0_5b_instruct,instruct,capital,capital:11,chat_template,declarative,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.32276785373687744,0.3193322420120239,-0.0034356117248535156,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.0,0.12966948747634888,0.11572694778442383,-0.013942539691925049
qwen2_5_0_5b_instruct,instruct,official_language,official_language:0,chat_template,declarative,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.09592819213867188,0.08981424570083618,-0.006113946437835693,0.0,0.0,0.0,0.0,0.0,0.0,0.026684999465942383,0.028470277786254883,0.0017852783203125
qwen2_5_0_5b_instruct,instruct,official_language,official_language:1,chat_template,declarative,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.06469273567199707,0.06247609853744507,-0.002216637134552002,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.011620104312896729,0.011574506759643555,-4.559755325317383e-05
qwen2_5_0_5b_instruct,instruct,official_language,official_language:2,chat_template,declarative,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.09659457206726074,0.0904187560081482,-0.006175816059112549,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.02386927604675293,0.02392798662185669,5.8710575103759766e-05
qwen2_5_0_5b_instruct,instruct,official_language,official_language:3,chat_template,declarative,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.08905011415481567,-0.043963074684143066,-0.13301318883895874,0.0,0.0,0.0,0.0,0.0,0.0,0.035649001598358154,0.010288119316101074,-0.02536088228225708
qwen2_5_0_5b_instruct,instruct,official_language,official_language:4,chat_template,declarative,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.11666238307952881,0.1090860366821289,-0.007576346397399902,0.5,0.5,0.0,0.5,0.5,0.0,0.016247212886810303,0.01892000436782837,0.0026727914810180664
