relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.25,0.0,0.5,8
birth_place,chat_template,contains_expected,0.5,0.125,0.8468750000000007,8
birth_place,chat_template,answer_f1,0.369047619047619,0.09136904761904763,0.6547619047619047,8
birth_place,chat_template,answer_similarity,0.4313300142247511,0.19220839260312944,0.6704516358463727,8
birth_place,declarative,full_exact_match,0.0,0.0,0.0,8
birth_place,declarative,contains_expected,0.0,0.0,0.0,8
birth_place,declarative,answer_f1,0.025,0.0,0.07500000000000001,8
birth_place,declarative,answer_similarity,0.19226829566586157,0.1417285875513563,0.22751170698305587,8
birth_place,qa,full_exact_match,0.0,0.0,0.0,8
birth_place,qa,contains_expected,0.0,0.0,0.0,8
birth_place,qa,answer_f1,0.0,0.0,0.0,8
birth_place,qa,answer_similarity,0.0,0.0,0.0,8
birth_place,raw_question,full_exact_match,0.0,0.0,0.0,8
birth_place,raw_question,contains_expected,0.0,0.0,0.0,8
birth_place,raw_question,answer_f1,0.0,0.0,0.0,8
birth_place,raw_question,answer_similarity,0.0,0.0,0.0,8
capital,chat_template,full_exact_match,0.5,0.15312500000000007,0.75,8
capital,chat_template,contains_expected,0.625,0.25,0.875,8
capital,chat_template,answer_f1,0.6333333333333333,0.35,0.875,8
capital,chat_template,answer_similarity,0.8086562788887267,0.563626508295626,0.9875542803970223,8
capital,declarative,full_exact_match,0.0,0.0,0.0,8
capital,declarative,contains_expected,0.75,0.375,1.0,8
capital,declarative,answer_f1,0.28125,0.1423611111111111,0.4479166666666667,8
capital,declarative,answer_similarity,0.38409924677802254,0.29532935683053674,0.5054354534823285,8
capital,qa,full_exact_match,0.0,0.0,0.0,8
capital,qa,contains_expected,0.0,0.0,0.0,8
capital,qa,answer_f1,0.0,0.0,0.0,8
capital,qa,answer_similarity,0.0,0.0,0.0,8
capital,raw_question,full_exact_match,0.0,0.0,0.0,8
capital,raw_question,contains_expected,0.0,0.0,0.0,8
capital,raw_question,answer_f1,0.0,0.0,0.0,8
capital,raw_question,answer_similarity,0.0,0.0,0.0,8
currency,chat_template,full_exact_match,0.0,0.0,0.0,8
currency,chat_template,contains_expected,0.0,0.0,0.0,8
currency,chat_template,answer_f1,0.10267857142857144,0.03125,0.19933035714285732,8
currency,chat_template,answer_similarity,0.45325474634298163,0.3055085395269219,0.5820304330065359,8
currency,declarative,full_exact_match,0.0,0.0,0.0,8
currency,declarative,contains_expected,0.125,0.0,0.375,8
currency,declarative,answer_f1,0.20972222222222223,0.13194444444444442,0.29258680555555555,8
currency,declarative,answer_similarity,0.35923257020082744,0.2413547181233419,0.5086601120241847,8
currency,qa,full_exact_match,0.0,0.0,0.0,8
currency,qa,contains_expected,0.0,0.0,0.0,8
currency,qa,answer_f1,0.0,0.0,0.0,8
currency,qa,answer_similarity,0.018518518518518517,0.0,0.06990740740740752,8
currency,raw_question,full_exact_match,0.0,0.0,0.0,8
currency,raw_question,contains_expected,0.0,0.0,0.0,8
currency,raw_question,answer_f1,0.0,0.0,0.0,8
currency,raw_question,answer_similarity,0.041666666666666664,0.0,0.125,8
headquarters,chat_template,full_exact_match,0.0,0.0,0.0,8
headquarters,chat_template,contains_expected,0.625,0.375,1.0,8
headquarters,chat_template,answer_f1,0.2982142857142857,0.14964285714285713,0.47500000000000003,8
headquarters,chat_template,answer_similarity,0.38117781249484495,0.2767747606218344,0.5078594651427141,8
headquarters,declarative,full_exact_match,0.0,0.0,0.0,8
headquarters,declarative,contains_expected,0.625,0.25,0.875,8
headquarters,declarative,answer_f1,0.5270833333333333,0.3080357142857143,0.726547619047619,8
headquarters,declarative,answer_similarity,0.6479522076382204,0.43390087012479267,0.8158323714558842,8
headquarters,qa,full_exact_match,0.0,0.0,0.0,8
headquarters,qa,contains_expected,0.0,0.0,0.0,8
headquarters,qa,answer_f1,0.0,0.0,0.0,8
headquarters,qa,answer_similarity,0.0,0.0,0.0,8
headquarters,raw_question,full_exact_match,0.0,0.0,0.0,8
headquarters,raw_question,contains_expected,0.0,0.0,0.0,8
headquarters,raw_question,answer_f1,0.0,0.0,0.0,8
headquarters,raw_question,answer_similarity,0.0,0.0,0.0,8
official_language,chat_template,full_exact_match,0.0,0.0,0.0,8
official_language,chat_template,contains_expected,0.5,0.125,0.875,8
official_language,chat_template,answer_f1,0.13541666666666669,0.033593750000000006,0.22916666666666669,8
official_language,chat_template,answer_similarity,0.2655540000410876,0.21643294011703265,0.30941555380893615,8
official_language,declarative,full_exact_match,0.0,0.0,0.0,8
official_language,declarative,contains_expected,0.625,0.25,1.0,8
official_language,declarative,answer_f1,0.15099206349206348,0.0625,0.23577876984126986,8
official_language,declarative,answer_similarity,0.26648149357047846,0.21375096864048437,0.3254613095238095,8
official_language,qa,full_exact_match,0.0,0.0,0.0,8
official_language,qa,contains_expected,0.0,0.0,0.0,8
official_language,qa,answer_f1,0.0,0.0,0.0,8
official_language,qa,answer_similarity,0.0,0.0,0.0,8
official_language,raw_question,full_exact_match,0.0,0.0,0.0,8
official_language,raw_question,contains_expected,0.0,0.0,0.0,8
official_language,raw_question,answer_f1,0.0,0.0,0.0,8
official_language,raw_question,answer_similarity,0.09106280193236715,0.025,0.15916364734299518,8
