model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank
gemma_270m_base,capital,raw_question,invariant,capital:6,0.0,0.0,0.0,0.0,0.0,0.0,8,10
gemma_270m_base,capital,declarative,invariant,capital:6,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,1,1
gemma_270m_base,capital,qa,invariant,capital:6,0.0,0.0,0.0,0.0,0.0,0.0,2,2
gemma_270m_base,capital,chat_template,invariant,capital:6,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,1,1
gemma_270m_base,capital,raw_question,invariant,capital:7,0.0,0.6666666666666666,-0.6666666666666666,0.0,1.0,-1.0,11,12
gemma_270m_base,capital,declarative,invariant,capital:7,0.19999999999999998,0.2222222222222222,-0.022222222222222227,1.0,1.0,0.0,1,1
gemma_270m_base,capital,qa,invariant,capital:7,0.0,0.0,0.0,0.0,0.0,0.0,3,4
gemma_270m_base,capital,chat_template,invariant,capital:7,0.0,0.0,0.0,0.0,0.0,0.0,3,6
gemma_270m_base,official_language,raw_question,invariant,official_language:6,0.0,0.0,0.0,0.0,0.0,0.0,40,65
gemma_270m_base,official_language,declarative,invariant,official_language:6,0.0,0.19999999999999998,-0.19999999999999998,0.0,1.0,-1.0,2,1
gemma_270m_base,official_language,qa,invariant,official_language:6,0.2222222222222222,0.2222222222222222,0.0,1.0,1.0,0.0,2,4
gemma_270m_base,official_language,chat_template,invariant,official_language:6,0.0,0.0,0.0,0.0,0.0,0.0,17,40
gemma_270m_base,official_language,raw_question,invariant,official_language:7,0.25,0.25,0.0,1.0,1.0,0.0,19,18
gemma_270m_base,official_language,declarative,invariant,official_language:7,0.19999999999999998,0.2222222222222222,-0.022222222222222227,1.0,1.0,0.0,2,1
gemma_270m_base,official_language,qa,invariant,official_language:7,0.0,0.0,0.0,0.0,0.0,0.0,1,1
gemma_270m_base,official_language,chat_template,invariant,official_language:7,0.25,0.25,0.0,1.0,1.0,0.0,4,16
gemma_270m_base,currency,raw_question,invariant,currency:6,0.0,0.0,0.0,0.0,0.0,0.0,45,54
gemma_270m_base,currency,declarative,invariant,currency:6,0.4,0.3636363636363636,0.03636363636363643,1.0,1.0,0.0,12,15
gemma_270m_base,currency,qa,invariant,currency:6,0.4,0.4,0.0,1.0,1.0,0.0,3,5
gemma_270m_base,currency,chat_template,invariant,currency:6,0.8,0.0,0.8,1.0,0.0,1.0,15,34
gemma_270m_base,currency,raw_question,invariant,currency:7,0.8,0.8,0.0,1.0,1.0,0.0,21,21
gemma_270m_base,currency,declarative,invariant,currency:7,0.4,0.4,0.0,1.0,1.0,0.0,15,12
gemma_270m_base,currency,qa,invariant,currency:7,0.4,0.8,-0.4,1.0,1.0,0.0,2,3
gemma_270m_base,currency,chat_template,invariant,currency:7,0.0,0.0,0.0,0.0,0.0,0.0,6,9
gemma_270m_base,headquarters,raw_question,invariant,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,242,345
gemma_270m_base,headquarters,declarative,invariant,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,4,4
gemma_270m_base,headquarters,qa,invariant,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,12,23
gemma_270m_base,headquarters,chat_template,invariant,headquarters:6,0.0,0.0,0.0,0.0,0.0,0.0,91,111
gemma_270m_base,headquarters,raw_question,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,2036,2205
gemma_270m_base,headquarters,declarative,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,894,873
gemma_270m_base,headquarters,qa,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,809,909
gemma_270m_base,headquarters,chat_template,invariant,headquarters:7,0.0,0.0,0.0,0.0,0.0,0.0,1281,1210
gemma_270m_base,birth_place,raw_question,invariant,birth_place:6,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,1.0,193,194
gemma_270m_base,birth_place,declarative,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,3,4
gemma_270m_base,birth_place,qa,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,44,64
gemma_270m_base,birth_place,chat_template,invariant,birth_place:6,0.0,0.0,0.0,0.0,0.0,0.0,468,610
gemma_270m_base,birth_place,raw_question,invariant,birth_place:7,0.5,0.5,0.0,1.0,1.0,0.0,307,536
gemma_270m_base,birth_place,declarative,invariant,birth_place:7,0.0,0.0,0.0,0.0,0.0,0.0,2,3
gemma_270m_base,birth_place,qa,invariant,birth_place:7,0.25,0.25,0.0,1.0,1.0,0.0,12,12
gemma_270m_base,birth_place,chat_template,invariant,birth_place:7,0.0,0.0,0.0,0.0,0.0,0.0,143,820
gemma_270m_base,capital,raw_question,prompt_sensitive,capital:6,0.0,0.0,0.0,0.0,0.0,0.0,8,6
gemma_270m_base,capital,declarative,prompt_sensitive,capital:6,0.3636363636363636,0.3636363636363636,0.0,1.0,1.0,0.0,1,1
gemma_270m_base,capital,qa,prompt_sensitive,capital:6,0.0,0.0,0.0,0.0,0.0,0.0,2,5
gemma_270m_base,capital,chat_template,prompt_sensitive,capital:6,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,1,1
gemma_270m_base,capital,raw_question,prompt_sensitive,capital:7,0.0,0.0,0.0,0.0,0.0,0.0,11,6
gemma_270m_base,capital,declarative,prompt_sensitive,capital:7,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1
gemma_270m_base,capital,qa,prompt_sensitive,capital:7,0.0,0.0,0.0,0.0,0.0,0.0,3,7
gemma_270m_base,capital,chat_template,prompt_sensitive,capital:7,0.0,0.0,0.0,0.0,0.0,0.0,3,3
gemma_270m_base,official_language,raw_question,prompt_sensitive,official_language:6,0.0,0.0,0.0,0.0,0.0,0.0,40,25
gemma_270m_base,official_language,declarative,prompt_sensitive,official_language:6,0.0,0.0,0.0,0.0,0.0,0.0,2,3
gemma_270m_base,official_language,qa,prompt_sensitive,official_language:6,0.2222222222222222,0.2222222222222222,0.0,1.0,1.0,0.0,2,14
gemma_270m_base,official_language,chat_template,prompt_sensitive,official_language:6,0.0,0.0,0.0,0.0,0.0,0.0,17,16
gemma_270m_base,official_language,raw_question,prompt_sensitive,official_language:7,0.25,0.0,0.25,1.0,0.0,1.0,19,15
gemma_270m_base,official_language,declarative,prompt_sensitive,official_language:7,0.19999999999999998,0.2222222222222222,-0.022222222222222227,1.0,1.0,0.0,2,2
gemma_270m_base,official_language,qa,prompt_sensitive,official_language:7,0.0,0.2222222222222222,-0.2222222222222222,0.0,1.0,-1.0,1,3
gemma_270m_base,official_language,chat_template,prompt_sensitive,official_language:7,0.25,0.0,0.25,1.0,0.0,1.0,4,2
gemma_270m_base,currency,raw_question,prompt_sensitive,currency:6,0.0,0.8,-0.8,0.0,1.0,-1.0,45,51
gemma_270m_base,currency,declarative,prompt_sensitive,currency:6,0.4,0.4444444444444445,-0.04444444444444445,1.0,1.0,0.0,12,33
gemma_270m_base,currency,qa,prompt_sensitive,currency:6,0.4,0.8,-0.4,1.0,1.0,0.0,3,20
