position,layer,within_fact_similarity,same_relation_similarity,global_other_similarity,invariance_gap,family_centroid_separation,model_name,model_variant
subject,0,0.9580629713833332,0.846656579648455,0.8148715653922409,0.1114063917348782,0.0032076835632324,gemma_270m_base,base
subject,1,0.9975513681769372,0.994062323992451,0.9926614891504868,0.0034890441844861,0.0002394517262776,gemma_270m_base,base
subject,2,0.995727963745594,0.9902954480300348,0.9874057982116936,0.0054325157155593,0.0005069375038146,gemma_270m_base,base
subject,3,0.9980404327313104,0.9191284061719974,0.91140657463111,0.078912026559313,0.0002451837062835,gemma_270m_base,base
subject,4,0.9966097071766852,0.9116726734985908,0.8930544902337715,0.0849370336780944,0.0011222958564758,gemma_270m_base,base
subject,5,0.9989681541919708,0.9667453214526176,0.9611247060121968,0.0322228327393532,0.0001433392365773,gemma_270m_base,base
subject,6,0.9982256079713504,0.9684594292193652,0.9619947896339,0.0297661787519852,0.0003557403882344,gemma_270m_base,base
subject,7,0.9987485175331432,0.9831519274661938,0.9792114799143746,0.0155965900669494,0.0004978875319163,gemma_270m_base,base
subject,8,0.998297567665577,0.9866934676965078,0.9829638750758022,0.0116040999690691,0.0007058978080749,gemma_270m_base,base
subject,9,0.9982741902271908,0.9886394059906404,0.9830654438352212,0.0096347842365502,0.0007972717285156,gemma_270m_base,base
subject,10,0.9978727579116822,0.9905690172066292,0.98491508460138,0.007303740705053,0.0009750326474507,gemma_270m_base,base
subject,11,0.991483569641908,0.9629554146279892,0.94388878850732,0.0285281550139188,0.0058317879835764,gemma_270m_base,base
subject,12,0.9903217002749444,0.8982487200448911,0.872931744903326,0.0920729802300531,0.0054080784320831,gemma_270m_base,base
subject,13,0.9915738816062608,0.9312280340741078,0.9121785057475792,0.0603458475321531,0.0041374067465464,gemma_270m_base,base
subject,14,0.9855582242210706,0.9185161978006364,0.8965987662784756,0.0670420264204343,0.0074524680773417,gemma_270m_base,base
subject,15,0.9846042489012082,0.9067972406744956,0.8802128816256299,0.0778070082267124,0.007533589998881,gemma_270m_base,base
subject,16,0.9872275282939276,0.9386416317274172,0.9201640840619802,0.0485858965665101,0.0066070556640625,gemma_270m_base,base
subject,17,0.9156861727436384,0.6165406044727813,0.5034064142906572,0.2991455682708571,0.073277215162913,gemma_270m_base,base
preanswer,0,0.873610504468282,0.9050784983982644,0.9029220330994576,-0.0314679939299822,0.1203642586867014,gemma_270m_base,base
preanswer,1,0.98459475338459,0.9883940868079664,0.9876672053243964,-0.0037993334233761,0.0131665468215942,gemma_270m_base,base
preanswer,2,0.9751741682489712,0.9813236805299916,0.9799892825307324,-0.0061495122810204,0.0206842521826426,gemma_270m_base,base
preanswer,3,0.9296892528732618,0.9472305944810312,0.9429495205637068,-0.0175413416077693,0.0578975478808085,gemma_270m_base,base
preanswer,4,0.938754693667094,0.9539646521210672,0.9516348680481316,-0.0152099584539731,0.0534936587015787,gemma_270m_base,base
preanswer,5,0.9561501264572144,0.9670275609940292,0.9645539106801152,-0.0108774345368147,0.0377800265947977,gemma_270m_base,base
preanswer,6,0.9640922407309216,0.9729226152102152,0.970047618681565,-0.0088303744792938,0.0286364456017812,gemma_270m_base,base
preanswer,7,0.9812450269858044,0.9856613154212632,0.984223506762646,-0.004416288435459,0.0154836575190226,gemma_270m_base,base
preanswer,8,0.9797753115495046,0.9846170518547296,0.9831823229789732,-0.0048417403052251,0.0169943173726399,gemma_270m_base,base
preanswer,9,0.9757722387711208,0.9815599117428064,0.97924291936215,-0.0057876729716856,0.0201770563920338,gemma_270m_base,base
preanswer,10,0.9824094220995904,0.9863619393358628,0.9820396216819064,-0.0039525172362725,0.0134273568789164,gemma_270m_base,base
preanswer,11,0.9514650364716848,0.9619361970573664,0.9462455806788056,-0.0104711605856815,0.0360055367151896,gemma_270m_base,base
preanswer,12,0.9468172992269198,0.8433142624795437,0.8034947309875861,0.1035030367473761,0.0344723761081695,gemma_270m_base,base
