relation,prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity
birth_place,chat_template,108609.875,-19.67919921875,0.0,0.5,0.3666666666666667,0.4828838924233661
birth_place,declarative,20.625,-2.5546875,0.0,0.375,0.20476190476190476,0.36929746963305465
birth_place,qa,213.625,-4.40625,0.125,0.375,0.30833333333333335,0.4945617679035181
birth_place,raw_question,1531.5,-7.625,0.0,0.25,0.2,0.3814999644450653
capital,chat_template,39863.625,-10.9228515625,0.0,0.5,0.1875,0.2676242924232455
capital,declarative,4.625,-0.203125,0.0,0.375,0.151010101010101,0.2867224880382775
capital,qa,1.25,1.671875,0.625,0.625,0.7708333333333333,0.9684952144629564
capital,raw_question,35.125,-3.84375,0.25,0.25,0.29545454545454547,0.40975959468570017
currency,chat_template,15733.125,-6.7021484375,0.0,0.375,0.2361111111111111,0.38315955977352967
currency,declarative,107.625,-6.40234375,0.0,0.375,0.29109848484848483,0.4090208668086422
currency,qa,9.875,-1.375,0.0,0.25,0.4166666666666667,0.6344889026427858
currency,raw_question,156.75,-4.28515625,0.0,0.0,0.05,0.2919762570515975
headquarters,chat_template,84304.0,-16.7412109375,0.0,0.625,0.31565656565656564,0.3991502660207744
headquarters,declarative,47.375,-2.46875,0.0,0.375,0.21626984126984128,0.3532553080157165
headquarters,qa,41.625,-2.5,0.125,0.75,0.34924242424242424,0.4223559928067219
headquarters,raw_question,1554.875,-9.44921875,0.0,0.5,0.31174242424242427,0.44990445537983736
official_language,chat_template,21859.375,-11.224609375,0.0,0.125,0.024999999999999998,0.179158106617123
official_language,declarative,5.125,-0.5390625,0.0,0.75,0.2416666666666667,0.39598658638477185
official_language,qa,1.125,1.171875,0.5,0.625,0.53125,0.7201983551040155
official_language,raw_question,34.875,-4.0625,0.0,0.25,0.027777777777777776,0.19941212438853947
