relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,0.035714285714285754,-0.6821428571428572,0.5714285714285715,1.0,4
birth_place,answer_f1,chat_template,qa,-0.1388888888888889,-0.75,0.33333333333333337,1.0,4
birth_place,answer_f1,chat_template,raw_question,-0.25,-0.75,0.0,1.0,4
birth_place,answer_f1,declarative,qa,-0.17460317460317465,-0.44523809523809527,0.0,0.5,4
birth_place,answer_f1,declarative,raw_question,-0.28571428571428575,-0.5714285714285715,0.0,0.5,4
birth_place,answer_f1,qa,raw_question,-0.11111111111111112,-0.33333333333333337,0.0,1.0,4
capital,answer_f1,chat_template,declarative,-0.35416666666666663,-0.7192708333333333,0.0,0.5,4
capital,answer_f1,chat_template,qa,-0.3111111111111111,-0.7508333333333332,0.1402777777777773,1.0,4
capital,answer_f1,chat_template,raw_question,-0.125,-0.54375,0.31562499999999893,1.0,4
capital,answer_f1,declarative,qa,0.04305555555555555,-0.03750000000000001,0.16666666666666666,1.0,4
capital,answer_f1,declarative,raw_question,0.22916666666666666,0.0,0.375,0.5,4
capital,answer_f1,qa,raw_question,0.18611111111111112,0.0,0.35,0.5,4
currency,answer_f1,chat_template,declarative,-0.3878787878787879,-0.8247474747474748,-0.03611111111111111,0.625,4
currency,answer_f1,chat_template,qa,-0.11666666666666664,-0.73625,0.375,1.0,4
currency,answer_f1,chat_template,raw_question,-0.27121212121212124,-0.8045454545454546,0.1150378787878778,0.625,4
currency,answer_f1,declarative,qa,0.27121212121212124,0.05587121212121213,0.4958333333333329,0.25,4
currency,answer_f1,declarative,raw_question,0.11666666666666667,-0.15909090909090912,0.3676767676767677,1.0,4
currency,answer_f1,qa,raw_question,-0.15454545454545457,-0.46363636363636374,0.0,1.0,4
headquarters,answer_f1,chat_template,declarative,-0.45555555555555555,-1.0,0.17055555555555424,0.625,4
headquarters,answer_f1,chat_template,qa,-0.3535353535353536,-0.6065656565656566,0.03276515151515111,0.625,4
headquarters,answer_f1,chat_template,raw_question,-0.30230880230880236,-0.6065656565656566,0.14715909090909032,0.625,4
headquarters,answer_f1,declarative,qa,0.10202020202020202,-0.2111111111111111,0.4146464646464645,1.0,4
headquarters,answer_f1,declarative,raw_question,0.15324675324675324,-0.12813852813852816,0.4146464646464645,1.0,4
headquarters,answer_f1,qa,raw_question,0.05122655122655121,0.0,0.11439393939393921,0.5,4
official_language,answer_f1,chat_template,declarative,0.15476190476190477,0.0,0.31577380952380946,0.5,4
official_language,answer_f1,chat_template,qa,0.11249999999999999,0.0,0.21906249999999985,0.5,4
official_language,answer_f1,chat_template,raw_question,0.05555555555555555,0.0,0.16666666666666666,1.0,4
official_language,answer_f1,declarative,qa,-0.04226190476190477,-0.26125000000000004,0.17732142857142838,1.0,4
official_language,answer_f1,declarative,raw_question,-0.09920634920634921,-0.25833333333333336,0.0,0.5,4
official_language,answer_f1,qa,raw_question,-0.05694444444444444,-0.1875,0.01666666666666667,1.0,4
