model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank,baseline_target_selectivity,ablated_target_selectivity,target_selectivity_drop,same_subject_control_f1_increase,same_relation_control_f1_increase,lexical_distractor_f1_increase,max_control_f1_increase
qwen2_5_0_5b_base,capital,raw_question,invariant,capital:9,1.0,1.0,0.0,1.0,1.0,0.0,4,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,declarative,invariant,capital:9,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,2,2,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,qa,invariant,capital:9,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,chat_template,invariant,capital:9,0.5,0.5,0.0,1.0,1.0,0.0,2003,3142,0.5,0.5,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,raw_question,invariant,capital:10,0.0,0.0,0.0,0.0,0.0,0.0,21,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,declarative,invariant,capital:10,0.0,0.0,0.0,0.0,0.0,0.0,13,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,qa,invariant,capital:10,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,chat_template,invariant,capital:10,0.5,0.5,0.0,1.0,1.0,0.0,34645,29594,0.5,0.5,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,raw_question,invariant,capital:11,0.25,0.25,0.0,1.0,1.0,0.0,24,13,0.25,0.25,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,declarative,invariant,capital:11,0.2222222222222222,0.2222222222222222,0.0,1.0,1.0,0.0,1,1,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,qa,invariant,capital:11,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,capital,chat_template,invariant,capital:11,0.0,0.0,0.0,0.0,0.0,0.0,1929,3604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,raw_question,invariant,official_language:9,0.0,0.2222222222222222,-0.2222222222222222,0.0,1.0,-1.0,22,17,0.0,0.2222222222222222,-0.2222222222222222,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,declarative,invariant,official_language:9,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,11,11,0.33333333333333337,0.33333333333333337,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,qa,invariant,official_language:9,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,chat_template,invariant,official_language:9,0.0,0.2222222222222222,-0.2222222222222222,0.0,1.0,-1.0,10640,11402,0.0,0.2222222222222222,-0.2222222222222222,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,raw_question,invariant,official_language:10,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,declarative,invariant,official_language:10,0.4,0.0,0.4,1.0,0.0,1.0,11,13,0.4,0.0,0.4,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,qa,invariant,official_language:10,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,chat_template,invariant,official_language:10,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,raw_question,invariant,official_language:11,0.2222222222222222,0.0,0.2222222222222222,1.0,0.0,1.0,26,28,0.0,0.0,0.0,0.0,0.0,-0.2222222222222222,-0.2222222222222222
qwen2_5_0_5b_base,official_language,declarative,invariant,official_language:11,0.33333333333333337,0.33333333333333337,0.0,1.0,1.0,0.0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,qa,invariant,official_language:11,1.0,1.0,0.0,1.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,official_language,chat_template,invariant,official_language:11,0.0,0.0,0.0,0.0,0.0,0.0,66885,69659,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,currency,raw_question,invariant,currency:9,0.5,0.5,0.0,1.0,1.0,0.0,238,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,currency,declarative,invariant,currency:9,0.19999999999999998,0.2222222222222222,-0.022222222222222227,1.0,1.0,0.0,34,31,0.0,0.0,0.0,0.0,0.0,0.022222222222222227,0.022222222222222227
qwen2_5_0_5b_base,currency,qa,invariant,currency:9,0.5,0.4,0.09999999999999998,1.0,1.0,0.0,7,6,0.0,0.0,0.0,0.0,0.0,-0.09999999999999998,-0.09999999999999998
qwen2_5_0_5b_base,currency,chat_template,invariant,currency:9,0.0,0.5,-0.5,1.0,1.0,0.0,20464,34340,0.0,0.0,0.0,0.0,0.0,0.5,0.5
qwen2_5_0_5b_base,currency,raw_question,invariant,currency:10,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,currency,declarative,invariant,currency:10,0.0,0.0,0.0,0.0,0.0,0.0,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,currency,qa,invariant,currency:10,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,currency,chat_template,invariant,currency:10,0.0,0.0,0.0,0.0,0.0,0.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,currency,raw_question,invariant,currency:11,0.2,0.2,0.0,0.0,0.0,0.0,3,4,0.2,0.2,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,currency,declarative,invariant,currency:11,0.5714285714285715,0.5714285714285715,0.0,1.0,1.0,0.0,2,2,0.5714285714285715,0.5714285714285715,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,currency,qa,invariant,currency:11,0.5,0.5,0.0,1.0,1.0,0.0,1,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,currency,chat_template,invariant,currency:11,0.0,0.0,0.0,0.0,0.0,0.0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,headquarters,raw_question,invariant,headquarters:9,0.2857142857142857,0.2857142857142857,0.0,1.0,1.0,0.0,68,42,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,headquarters,declarative,invariant,headquarters:9,0.2857142857142857,0.2857142857142857,0.0,1.0,1.0,0.0,4,5,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,headquarters,qa,invariant,headquarters:9,0.2222222222222222,0.2222222222222222,0.0,1.0,1.0,0.0,2,2,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,headquarters,chat_template,invariant,headquarters:9,0.25,0.25,0.0,1.0,1.0,0.0,5043,11004,0.25,0.25,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,headquarters,raw_question,invariant,headquarters:10,0.0,0.0,0.0,0.0,0.0,0.0,1443,1479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,headquarters,declarative,invariant,headquarters:10,0.0,0.0,0.0,0.0,0.0,0.0,57,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,headquarters,qa,invariant,headquarters:10,0.0,0.0,0.0,0.0,0.0,0.0,43,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,headquarters,chat_template,invariant,headquarters:10,0.0,0.0,0.0,0.0,0.0,0.0,67430,75527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,headquarters,raw_question,invariant,headquarters:11,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,headquarters,declarative,invariant,headquarters:11,0.0,0.0,0.0,0.0,0.0,0.0,25,25,-0.2857142857142857,-0.2857142857142857,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,headquarters,qa,invariant,headquarters:11,0.4,0.4,0.0,1.0,1.0,0.0,1,1,0.4,0.4,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_base,headquarters,chat_template,invariant,headquarters:11,0.4,0.4,0.0,1.0,1.0,0.0,3,3,0.4,0.4,0.0,0.0,0.0,0.0,0.0
