relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.0,0.0,0.0,12
birth_place,chat_template,contains_expected,0.3333333333333333,0.08333333333333333,0.5833333333333334,12
birth_place,chat_template,answer_f1,0.2722222222222222,0.09444444444444444,0.4556944444444443,12
birth_place,chat_template,answer_similarity,0.4212600789846706,0.2947360532418949,0.544805633299281,12
birth_place,declarative,full_exact_match,0.0,0.0,0.0,12
birth_place,declarative,contains_expected,0.25,0.0,0.5,12
birth_place,declarative,answer_f1,0.15734126984126984,0.03333333333333333,0.29539682539682527,12
birth_place,declarative,answer_similarity,0.3557792357395346,0.2379596766178212,0.47753259302999607,12
birth_place,qa,full_exact_match,0.08333333333333333,0.0,0.25,12
birth_place,qa,contains_expected,0.25,0.0,0.5,12
birth_place,qa,answer_f1,0.20555555555555557,0.0,0.4277777777777778,12
birth_place,qa,answer_similarity,0.4207070108927084,0.2886273010180266,0.5835995084829897,12
birth_place,raw_question,full_exact_match,0.0,0.0,0.0,12
birth_place,raw_question,contains_expected,0.16666666666666666,0.0,0.4166666666666667,12
birth_place,raw_question,answer_f1,0.13333333333333333,0.0,0.3333333333333333,12
birth_place,raw_question,answer_similarity,0.3409850343685597,0.20136289607814187,0.4853133339029787,12
capital,chat_template,full_exact_match,0.0,0.0,0.0,12
capital,chat_template,contains_expected,0.5833333333333334,0.25,0.8333333333333334,12
capital,chat_template,answer_f1,0.24166666666666667,0.13408564814814816,0.34586805555555555,12
capital,chat_template,answer_similarity,0.28391976001121894,0.19357903126285478,0.3845838439716459,12
capital,declarative,full_exact_match,0.0,0.0,0.0,12
capital,declarative,contains_expected,0.5,0.25,0.75,12
capital,declarative,answer_f1,0.17474747474747476,0.08324074074074074,0.26247474747474747,12
capital,declarative,answer_similarity,0.2923813481187831,0.20782258863141218,0.37504069543831947,12
capital,qa,full_exact_match,0.75,0.5,1.0,12
capital,qa,contains_expected,0.75,0.5,1.0,12
capital,qa,answer_f1,0.8472222222222222,0.6659722222222222,1.0,12
