relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,-0.34404761904761905,-0.5916369047619048,-0.08708333333333323,0.125,8
birth_place,answer_f1,chat_template,qa,-0.369047619047619,-0.6547619047619047,-0.0913690476190474,0.125,8
birth_place,answer_f1,chat_template,raw_question,-0.369047619047619,-0.6547619047619047,-0.0913690476190474,0.125,8
birth_place,answer_f1,declarative,qa,-0.025,-0.07500000000000001,0.0,1.0,8
birth_place,answer_f1,declarative,raw_question,-0.025,-0.07500000000000001,0.0,1.0,8
birth_place,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,8
capital,answer_f1,chat_template,declarative,-0.3520833333333333,-0.5833333333333334,-0.08769097222222215,0.125,8
capital,answer_f1,chat_template,qa,-0.6333333333333333,-0.875,-0.35,0.03125,8
capital,answer_f1,chat_template,raw_question,-0.6333333333333333,-0.875,-0.35,0.03125,8
capital,answer_f1,declarative,qa,-0.28125,-0.4479166666666667,-0.1423611111111111,0.03125,8
capital,answer_f1,declarative,raw_question,-0.28125,-0.4479166666666667,-0.1423611111111111,0.03125,8
capital,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,8
currency,answer_f1,chat_template,declarative,0.10704365079365079,-0.026711309523809536,0.24359375000000003,1.0,8
currency,answer_f1,chat_template,qa,-0.10267857142857144,-0.19933035714285716,-0.03125,0.25,8
currency,answer_f1,chat_template,raw_question,-0.10267857142857144,-0.19933035714285716,-0.03125,0.25,8
currency,answer_f1,declarative,qa,-0.20972222222222223,-0.29258680555555555,-0.13194444444444442,0.03125,8
currency,answer_f1,declarative,raw_question,-0.20972222222222223,-0.29258680555555555,-0.13194444444444442,0.03125,8
currency,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,8
headquarters,answer_f1,chat_template,declarative,0.22886904761904764,0.07386160714285714,0.4000297619047619,0.03125,8
headquarters,answer_f1,chat_template,qa,-0.2982142857142857,-0.47500000000000003,-0.14964285714285705,0.0625,8
headquarters,answer_f1,chat_template,raw_question,-0.2982142857142857,-0.47500000000000003,-0.14964285714285705,0.0625,8
headquarters,answer_f1,declarative,qa,-0.5270833333333333,-0.726547619047619,-0.3080357142857143,0.03125,8
headquarters,answer_f1,declarative,raw_question,-0.5270833333333333,-0.726547619047619,-0.3080357142857143,0.03125,8
headquarters,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,8
official_language,answer_f1,chat_template,declarative,0.015575396825396815,-0.09576636904761907,0.12234126984126983,1.0,8
official_language,answer_f1,chat_template,qa,-0.13541666666666669,-0.22916666666666669,-0.03359374999999994,0.125,8
official_language,answer_f1,chat_template,raw_question,-0.13541666666666669,-0.22916666666666669,-0.03359374999999994,0.125,8
official_language,answer_f1,declarative,qa,-0.15099206349206348,-0.23577876984126983,-0.0625,0.0625,8
official_language,answer_f1,declarative,raw_question,-0.15099206349206348,-0.23577876984126983,-0.0625,0.0625,8
official_language,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,8
