relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,0.05,0.0,0.15000000000000002,1.0,8
birth_place,answer_f1,chat_template,qa,0.03125,0.0,0.09375,1.0,8
birth_place,answer_f1,chat_template,raw_question,0.14583333333333331,0.0,0.3125,0.5,8
birth_place,answer_f1,declarative,qa,-0.018750000000000003,-0.15000000000000002,0.0625,1.0,8
birth_place,answer_f1,declarative,raw_question,0.09583333333333331,-0.11291666666666667,0.30781250000000004,1.0,8
birth_place,answer_f1,qa,raw_question,0.11458333333333333,0.0,0.2765625000000001,0.5,8
capital,answer_f1,chat_template,declarative,-0.017045454545454555,-0.1665246212121212,0.07746527777777777,1.0,8
capital,answer_f1,chat_template,qa,-0.1638888888888889,-0.3611111111111111,-0.005624999999999858,0.25,8
capital,answer_f1,chat_template,raw_question,-0.08055555555555556,-0.3305555555555556,0.11666666666666665,1.0,8
capital,answer_f1,declarative,qa,-0.14684343434343433,-0.226082702020202,-0.05277777777777777,0.0625,8
capital,answer_f1,declarative,raw_question,-0.063510101010101,-0.20202020202020202,0.11324494949494954,0.375,8
capital,answer_f1,qa,raw_question,0.08333333333333333,0.0,0.25,1.0,8
currency,answer_f1,chat_template,declarative,0.05635822510822512,-0.1331337932900433,0.20258590367965373,0.453125,8
currency,answer_f1,chat_template,qa,0.029671717171717172,-0.14801136363636364,0.17430871212121213,1.0,8
currency,answer_f1,chat_template,raw_question,-3.469446951953614e-18,-0.36989583333333337,0.3490625,1.0,8
currency,answer_f1,declarative,qa,-0.026686507936507942,-0.10566378066378067,0.0807242063492064,0.375,8
currency,answer_f1,declarative,raw_question,-0.05635822510822512,-0.25803977272727274,0.16842803030303033,0.453125,8
currency,answer_f1,qa,raw_question,-0.02967171717171717,-0.2630050505050505,0.23707386363636362,0.6875,8
headquarters,answer_f1,chat_template,declarative,0.02500000000000001,-0.16937499999999997,0.2,1.0,8
headquarters,answer_f1,chat_template,qa,0.064484126984127,-0.125,0.27676091269841274,1.0,8
headquarters,answer_f1,chat_template,raw_question,-0.06944444444444445,-0.2638888888888889,0.08333333333333333,1.0,8
headquarters,answer_f1,declarative,qa,0.03948412698412699,0.0,0.0912698412698413,0.25,8
headquarters,answer_f1,declarative,raw_question,-0.09444444444444446,-0.19444444444444448,0.0,0.25,8
headquarters,answer_f1,qa,raw_question,-0.13392857142857145,-0.255952380952381,0.0,0.25,8
official_language,answer_f1,chat_template,declarative,0.04930555555555555,-0.012500000000000004,0.127795138888889,1.0,8
official_language,answer_f1,chat_template,qa,0.0798611111111111,-0.010416666666666671,0.16666666666666666,0.375,8
official_language,answer_f1,chat_template,raw_question,0.027777777777777776,0.0,0.08333333333333333,1.0,8
official_language,answer_f1,declarative,qa,0.030555555555555555,-0.07715277777777776,0.14104166666666668,1.0,8
official_language,answer_f1,declarative,raw_question,-0.021527777777777774,-0.09517361111111108,0.012500000000000004,1.0,8
official_language,answer_f1,qa,raw_question,-0.05208333333333333,-0.16666666666666666,0.05824652777777779,0.6875,8
