relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs,model_name
birth_place,answer_f1,chat_template,declarative,0.0999999999999999,0.0138888888888888,0.2055555555555555,0.125,18,gemma_270m_base
birth_place,answer_f1,chat_template,qa,0.0632716049382716,0.0,0.162037037037037,0.25,18,gemma_270m_base
birth_place,answer_f1,chat_template,raw_question,0.0648148148148148,0.0,0.1666666666666666,0.5,18,gemma_270m_base
birth_place,answer_f1,declarative,qa,-0.0367283950617284,-0.0935185185185185,0.0138888888888888,0.375,18,gemma_270m_base
birth_place,answer_f1,declarative,raw_question,-0.0351851851851851,-0.1657638888888888,0.0926157407407407,0.6875,18,gemma_270m_base
birth_place,answer_f1,qa,raw_question,0.0015432098765432,-0.1111111111111111,0.1111111111111111,1.0,18,gemma_270m_base
capital,answer_f1,chat_template,declarative,-0.1730078563411897,-0.2827665544332211,-0.0542746913580247,0.0654296875,18,gemma_270m_base
capital,answer_f1,chat_template,qa,-0.2950617283950617,-0.4296296296296296,-0.1469135802469136,0.00390625,18,gemma_270m_base
capital,answer_f1,chat_template,raw_question,-0.2209876543209876,-0.3580246913580247,-0.0688888888888891,0.0703125,18,gemma_270m_base
capital,answer_f1,declarative,qa,-0.122053872053872,-0.1774452861952861,-0.0672797418630751,0.001953125,18,gemma_270m_base
capital,answer_f1,declarative,raw_question,-0.0479797979797979,-0.1367199775533108,0.0636265432098765,0.109375,18,gemma_270m_base
capital,answer_f1,qa,raw_question,0.074074074074074,0.0,0.1851851851851851,0.5,18,gemma_270m_base
currency,answer_f1,chat_template,declarative,0.1281064614397947,0.0164966129549462,0.2341406124739457,0.049041748046875,18,gemma_270m_base
currency,answer_f1,chat_template,qa,0.0125300625300625,-0.0975861792528459,0.1191919191919192,0.75390625,18,gemma_270m_base
currency,answer_f1,chat_template,raw_question,0.1165424082090748,-0.1007610830527497,0.3473821548821549,0.7744140625,18,gemma_270m_base
currency,answer_f1,declarative,qa,-0.1155763989097322,-0.1826417949334616,-0.0448853615520282,0.00738525390625,18,gemma_270m_base
currency,answer_f1,declarative,raw_question,-0.0115640532307198,-0.1317333052749719,0.1208510702260701,0.60723876953125,18,gemma_270m_base
currency,answer_f1,qa,raw_question,0.1040123456790123,-0.0506930415263748,0.2676423961840627,0.5810546875,18,gemma_270m_base
headquarters,answer_f1,chat_template,declarative,0.0008136924803591,-0.1021513748597081,0.1005176767676767,1.0,18,gemma_270m_base
headquarters,answer_f1,chat_template,qa,0.0868245951579285,-0.0809740259740259,0.2484701178451178,0.34375,18,gemma_270m_base
headquarters,answer_f1,chat_template,raw_question,-0.0237373737373737,-0.1725659371492705,0.1110914702581368,1.0,18,gemma_270m_base
headquarters,answer_f1,declarative,qa,0.0860109026775693,-0.0029268879268879,0.2105016434183101,0.109375,18,gemma_270m_base
headquarters,answer_f1,declarative,raw_question,-0.0245510662177328,-0.1160549943883277,0.0665691638608304,0.7744140625,18,gemma_270m_base
