model_name,relation,prompt_family,candidate_type,fact_id,baseline_answer_f1,ablated_answer_f1,answer_f1_drop,baseline_contains_expected,ablated_contains_expected,contains_drop,baseline_rank,ablated_rank,baseline_target_selectivity,ablated_target_selectivity,target_selectivity_drop,same_subject_control_f1_increase,same_relation_control_f1_increase,lexical_distractor_f1_increase,max_control_f1_increase
qwen2_5_0_5b_instruct,capital,raw_question,invariant,capital:9,0.4,0.4,0.0,1.0,1.0,0.0,3,3,0.4,0.4,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,declarative,invariant,capital:9,0.2857142857142857,0.33333333333333337,-0.04761904761904767,1.0,1.0,0.0,1,1,0.2857142857142857,0.33333333333333337,-0.04761904761904767,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,qa,invariant,capital:9,0.25,0.19999999999999998,0.05000000000000002,1.0,1.0,0.0,1,1,0.25,0.19999999999999998,0.05000000000000002,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,chat_template,invariant,capital:9,1.0,1.0,0.0,1.0,1.0,0.0,3,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,raw_question,invariant,capital:10,0.5,0.5,0.0,1.0,1.0,0.0,14,13,0.5,0.5,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,declarative,invariant,capital:10,0.0,0.0,0.0,0.0,0.0,0.0,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,qa,invariant,capital:10,0.2222222222222222,0.2222222222222222,0.0,1.0,1.0,0.0,1,1,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,chat_template,invariant,capital:10,1.0,1.0,0.0,1.0,1.0,0.0,14,18,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,raw_question,invariant,capital:11,0.25,0.25,0.0,1.0,1.0,0.0,7,7,0.25,0.25,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,declarative,invariant,capital:11,0.2222222222222222,0.2222222222222222,0.0,1.0,1.0,0.0,1,1,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,qa,invariant,capital:11,0.2857142857142857,0.2857142857142857,0.0,1.0,1.0,0.0,1,1,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,chat_template,invariant,capital:11,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,official_language,raw_question,invariant,official_language:9,0.19999999999999998,0.2222222222222222,-0.022222222222222227,1.0,1.0,0.0,26,24,0.19999999999999998,0.2222222222222222,-0.022222222222222227,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,official_language,declarative,invariant,official_language:9,0.4,0.4,0.0,1.0,1.0,0.0,15,15,0.4,0.4,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,official_language,qa,invariant,official_language:9,0.19999999999999998,0.25,-0.05000000000000002,1.0,1.0,0.0,1,1,0.19999999999999998,0.25,-0.05000000000000002,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,official_language,chat_template,invariant,official_language:9,0.5,0.5,0.0,1.0,1.0,0.0,112,105,0.5,0.5,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,official_language,raw_question,invariant,official_language:10,0.25,0.0,0.25,1.0,0.0,1.0,3,3,0.25,0.0,0.25,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,official_language,declarative,invariant,official_language:10,0.0,0.0,0.0,0.0,0.0,0.0,20,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,official_language,qa,invariant,official_language:10,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,official_language,chat_template,invariant,official_language:10,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,official_language,raw_question,invariant,official_language:11,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,46,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,official_language,declarative,invariant,official_language:11,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,official_language,qa,invariant,official_language:11,0.25,0.25,0.0,1.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,official_language,chat_template,invariant,official_language:11,1.0,1.0,0.0,1.0,1.0,0.0,66,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,currency,raw_question,invariant,currency:9,0.0,0.0,0.0,0.0,0.0,0.0,671,590,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,currency,declarative,invariant,currency:9,0.0,0.0,0.0,0.0,0.0,0.0,46,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,currency,qa,invariant,currency:9,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,currency,chat_template,invariant,currency:9,0.0,0.0,0.0,0.0,0.0,0.0,45,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,currency,raw_question,invariant,currency:10,0.0,0.0,0.0,0.0,0.0,0.0,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,currency,declarative,invariant,currency:10,0.0,0.0,0.0,0.0,0.0,0.0,32,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,currency,qa,invariant,currency:10,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,currency,chat_template,invariant,currency:10,0.0,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,currency,raw_question,invariant,currency:11,0.2,0.2,0.0,0.0,0.0,0.0,14,14,0.2,0.2,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,currency,declarative,invariant,currency:11,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,2,2,0.4444444444444445,0.4444444444444445,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,currency,qa,invariant,currency:11,0.2,0.2,0.0,0.0,0.0,0.0,2,3,0.2,0.2,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,currency,chat_template,invariant,currency:11,0.4444444444444445,0.4444444444444445,0.0,1.0,1.0,0.0,13,13,0.4444444444444445,0.4444444444444445,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,headquarters,raw_question,invariant,headquarters:9,0.19999999999999998,0.19999999999999998,0.0,1.0,1.0,0.0,47,41,0.19999999999999998,0.19999999999999998,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,headquarters,declarative,invariant,headquarters:9,0.2857142857142857,0.2857142857142857,0.0,1.0,1.0,0.0,8,7,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,headquarters,qa,invariant,headquarters:9,0.19999999999999998,0.0,0.19999999999999998,1.0,0.0,1.0,3,4,0.19999999999999998,-0.22222222222222224,0.4222222222222222,0.0,0.0,0.22222222222222224,0.22222222222222224
qwen2_5_0_5b_instruct,headquarters,chat_template,invariant,headquarters:9,1.0,1.0,0.0,1.0,1.0,0.0,7,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,headquarters,raw_question,invariant,headquarters:10,0.0,0.0,0.0,0.0,0.0,0.0,1165,1136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,headquarters,declarative,invariant,headquarters:10,0.0,0.0,0.0,0.0,0.0,0.0,91,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,headquarters,qa,invariant,headquarters:10,0.0,0.0,0.0,0.0,0.0,0.0,58,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,headquarters,chat_template,invariant,headquarters:10,0.0,0.0,0.0,0.0,0.0,0.0,1135,1216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,headquarters,raw_question,invariant,headquarters:11,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,headquarters,declarative,invariant,headquarters:11,0.0,0.0,0.0,0.0,0.0,0.0,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,headquarters,qa,invariant,headquarters:11,0.2,0.0,0.2,0.0,0.0,0.0,1,1,0.2,0.0,0.2,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,headquarters,chat_template,invariant,headquarters:11,0.0,0.0,0.0,0.0,0.0,0.0,30,20,-1.0,-0.6666666666666666,-0.33333333333333337,0.0,0.0,-0.33333333333333337,-0.33333333333333337
qwen2_5_0_5b_instruct,birth_place,raw_question,invariant,birth_place:9,0.0,0.0,0.0,0.0,0.0,0.0,723,646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,birth_place,declarative,invariant,birth_place:9,0.0,0.0,0.0,0.0,0.0,0.0,114,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,birth_place,qa,invariant,birth_place:9,0.0,0.0,0.0,0.0,0.0,0.0,543,324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,birth_place,chat_template,invariant,birth_place:9,0.0,0.0,0.0,0.0,0.0,0.0,1141,1212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,birth_place,raw_question,invariant,birth_place:10,0.0,0.0,0.0,0.0,0.0,0.0,378,355,-0.8,-0.8,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,birth_place,declarative,invariant,birth_place:10,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,4,5,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,birth_place,qa,invariant,birth_place:10,0.2,0.2,0.0,0.0,0.0,0.0,4,2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,birth_place,chat_template,invariant,birth_place:10,0.0,0.0,0.0,0.0,0.0,0.0,108,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,birth_place,raw_question,invariant,birth_place:11,0.0,0.0,0.0,0.0,0.0,0.0,146,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,birth_place,declarative,invariant,birth_place:11,0.0,0.0,0.0,0.0,0.0,0.0,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,birth_place,qa,invariant,birth_place:11,0.0,0.0,0.0,0.0,0.0,0.0,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,birth_place,chat_template,invariant,birth_place:11,0.0,0.0,0.0,0.0,0.0,0.0,4768,4896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,raw_question,prompt_sensitive,capital:9,0.4,0.4,0.0,1.0,1.0,0.0,3,2,0.4,0.4,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,declarative,prompt_sensitive,capital:9,0.2857142857142857,0.2222222222222222,0.06349206349206349,1.0,1.0,0.0,1,1,0.2857142857142857,0.2222222222222222,0.06349206349206349,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,qa,prompt_sensitive,capital:9,0.25,0.25,0.0,1.0,1.0,0.0,1,1,0.25,0.25,0.0,0.0,0.0,0.0,0.0
qwen2_5_0_5b_instruct,capital,chat_template,prompt_sensitive,capital:9,1.0,1.0,0.0,1.0,1.0,0.0,3,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0
