relation,prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity
birth_place,chat_template,6022.5,-8.5048828125,0.25,0.25,0.25,0.44285714285714284
birth_place,declarative,27.5,-1.671875,0.0,0.5,0.28571428571428575,0.4376037312035939
birth_place,qa,15.5,-2.6875,0.0,0.25,0.11111111111111112,0.3168081918081918
birth_place,raw_question,298.0,-8.7265625,0.0,0.0,0.0,0.23784526051475202
capital,chat_template,7.0,-3.234375,0.25,0.25,0.41666666666666663,0.761166253101737
capital,declarative,4.75,-1.484375,0.0,0.25,0.0625,0.23612637362637362
capital,qa,1.5,1.75,0.0,0.5,0.10555555555555554,0.24256923023602395
capital,raw_question,4.75,-1.515625,0.0,0.5,0.29166666666666663,0.6310987509758001
currency,chat_template,21.0,-6.25,0.25,0.25,0.6,0.9395485948781881
currency,declarative,242.5,-8.4765625,0.0,0.25,0.21212121212121213,0.3192594043887147
currency,qa,6.0,-2.90625,0.0,0.5,0.48333333333333334,0.6278886554621849
currency,raw_question,572.75,-5.796875,0.0,0.25,0.3287878787878788,0.46530419600272543
headquarters,chat_template,418.25,-6.1484375,0.5,0.5,0.6666666666666666,0.6883116883116883
headquarters,declarative,8.0,-1.265625,0.0,0.25,0.2111111111111111,0.4070053807004925
headquarters,qa,14.75,-1.921875,0.0,0.75,0.31313131313131315,0.3922161709258483
headquarters,raw_question,295.75,-7.671875,0.0,1.0,0.3643578643578643,0.40392706872370265
official_language,chat_template,41.5,-5.90625,0.0,0.0,0.0,0.2988782051282051
official_language,declarative,15.75,-1.84375,0.0,0.5,0.15476190476190477,0.3211693548387097
official_language,qa,1.25,1.65625,0.0,0.5,0.11249999999999999,0.24324579564854165
official_language,raw_question,32.75,-4.53125,0.0,0.25,0.05555555555555555,0.21446408293729236
