model_name,model_variant,relation,fact_id,relation_control_fact_id,best_family,worst_family,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,projected_best_control_answer_f1,project_best_control_answer_f1_delta,projected_best_control_selectivity,project_best_control_selectivity_delta,projected_best_control_alignment,project_best_control_alignment_delta,projected_best_random_answer_f1,project_best_random_answer_f1_delta,projected_best_random_selectivity,project_best_random_selectivity_delta,projected_best_random_alignment,project_best_random_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta,patched_worst_control_answer_f1,patch_worst_control_answer_f1_delta,patched_worst_control_selectivity,patch_worst_control_selectivity_delta,patched_worst_control_alignment,patch_worst_control_alignment_delta,patched_worst_random_answer_f1,patch_worst_random_answer_f1_delta,patched_worst_random_selectivity,patch_worst_random_selectivity_delta,patched_worst_random_alignment,patch_worst_random_alignment_delta
smollm2_360m_instruct,instruct,capital,capital:0,capital:1,chat_template,qa,0,27,0.0,1.0,1.0,0.0,1.0,1.0,0.11102813482284546,0.09160536527633667,-0.01942276954650879,1.0,1.0,1.0,1.0,0.09868019819259644,-0.012347936630249023,0.0,0.0,0.0,0.0,0.11218678951263428,0.0011586546897888184,0.0,0.0,0.0,0.0,0.0,0.0,-0.020210742950439453,-0.017207205295562744,0.003003537654876709,0.0,0.0,0.0,0.0,-0.017913401126861572,0.002297341823577881,0.0,0.0,0.0,0.0,-0.020705878734588623,-0.0004951357841491699
smollm2_360m_instruct,instruct,capital,capital:1,capital:10,chat_template,qa,0,27,1.0,1.0,0.0,1.0,1.0,0.0,0.13711178302764893,0.12728667259216309,-0.00982511043548584,1.0,0.0,1.0,0.0,0.12212419509887695,-0.014987587928771973,1.0,0.0,1.0,0.0,0.13445818424224854,-0.0026535987854003906,0.0,0.0,0.0,0.0,0.0,0.0,-0.04999065399169922,-0.04782217741012573,0.0021684765815734863,0.0,0.0,0.0,0.0,-0.047850608825683594,0.002140045166015625,0.0,0.0,0.0,0.0,-0.048410892486572266,0.0015797615051269531
smollm2_360m_instruct,instruct,capital,capital:2,capital:3,chat_template,qa,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.12780314683914185,0.13552719354629517,0.00772404670715332,0.0,0.0,0.0,0.0,0.12451934814453125,-0.0032837986946105957,0.0,0.0,0.0,0.0,0.12641018629074097,-0.001392960548400879,0.0,0.0,0.0,0.0,0.0,0.0,-0.0205114483833313,-0.016463279724121094,0.004048168659210205,0.0,0.0,0.0,0.0,-0.02561330795288086,-0.0051018595695495605,0.0,0.0,0.0,0.0,-0.022016167640686035,-0.0015047192573547363
smollm2_360m_instruct,instruct,capital,capital:3,capital:4,chat_template,qa,0,27,0.6666666666666666,0.0,-0.6666666666666666,0.6666666666666666,0.0,-0.6666666666666666,0.07646632194519043,-0.010441303253173828,-0.08690762519836426,0.6666666666666666,0.0,0.6666666666666666,0.0,0.021155118942260742,-0.05531120300292969,0.6666666666666666,0.0,0.6666666666666666,0.0,0.07782512903213501,0.00135880708694458,0.0,0.0,0.0,0.0,0.0,0.0,-0.011338472366333008,-0.012175917625427246,-0.0008374452590942383,0.0,0.0,0.0,0.0,-0.023826658725738525,-0.012488186359405518,0.0,0.0,0.0,0.0,-0.021870672702789307,-0.010532200336456299
smollm2_360m_instruct,instruct,capital,capital:4,capital:5,chat_template,qa,0,27,1.0,1.0,0.0,1.0,1.0,0.0,0.12356561422348022,0.1296062469482422,0.006040632724761963,1.0,0.0,1.0,0.0,0.10601818561553955,-0.017547428607940674,1.0,0.0,1.0,0.0,0.1219174861907959,-0.0016481280326843262,0.0,0.0,0.0,0.0,0.0,0.0,-0.02688652276992798,-0.02121955156326294,0.005666971206665039,0.0,0.0,0.0,0.0,-0.031265318393707275,-0.004378795623779297,0.0,0.0,0.0,0.0,-0.02972942590713501,-0.0028429031372070312
smollm2_360m_instruct,instruct,capital,capital:5,capital:6,chat_template,qa,0,27,1.0,0.6666666666666666,-0.33333333333333337,1.0,0.6666666666666666,-0.33333333333333337,0.13753992319107056,0.08391696214675903,-0.05362296104431152,0.6666666666666666,-0.33333333333333337,0.6666666666666666,-0.33333333333333337,0.08913898468017578,-0.048400938510894775,1.0,0.0,1.0,0.0,0.13483977317810059,-0.0027001500129699707,0.0,0.0,0.0,0.0,0.0,0.0,-0.01813983917236328,-0.032078683376312256,-0.013938844203948975,0.0,0.0,0.0,0.0,-0.038560569286346436,-0.020420730113983154,0.0,0.0,0.0,0.0,-0.03579270839691162,-0.01765286922454834
smollm2_360m_instruct,instruct,capital,capital:6,capital:7,chat_template,qa,0,27,1.0,1.0,0.0,1.0,1.0,0.0,0.11002320051193237,0.11871480941772461,0.008691608905792236,1.0,0.0,1.0,0.0,0.11973553895950317,0.0097123384475708,1.0,0.0,1.0,0.0,0.11028385162353516,0.0002606511116027832,0.0,0.0,0.0,0.0,0.0,0.0,-0.007737517356872559,-0.005221545696258545,0.0025159716606140137,0.0,0.0,0.0,0.0,-0.005607247352600098,0.002130270004272461,0.0,0.0,0.0,0.0,-0.00675731897354126,0.0009801983833312988
smollm2_360m_instruct,instruct,capital,capital:7,capital:8,chat_template,qa,0,27,0.4,1.0,0.6,0.4,1.0,0.6,0.10004550218582153,0.1119803786277771,0.011934876441955566,0.4,0.0,0.4,0.0,0.09767717123031616,-0.002368330955505371,0.4,0.0,0.4,0.0,0.10129141807556152,0.0012459158897399902,0.0,0.0,0.0,0.0,0.0,0.0,-0.02986818552017212,-0.028537452220916748,0.001330733299255371,0.0,0.0,0.0,0.0,-0.02829200029373169,0.0015761852264404297,0.0,0.0,0.0,0.0,-0.029032766819000244,0.000835418701171875
smollm2_360m_instruct,instruct,capital,capital:8,capital:9,chat_template,qa,0,27,1.0,1.0,0.0,1.0,1.0,0.0,0.060781121253967285,0.054464638233184814,-0.006316483020782471,1.0,0.0,1.0,0.0,0.062288105487823486,0.0015069842338562012,1.0,0.0,1.0,0.0,0.06061035394668579,-0.00017076730728149414,0.0,0.0,0.0,0.0,0.0,0.0,0.03987318277359009,0.04101830720901489,0.0011451244354248047,0.0,0.0,0.0,0.0,0.04101914167404175,0.0011459589004516602,0.0,0.0,0.0,0.0,0.03971344232559204,-0.00015974044799804688
smollm2_360m_instruct,instruct,capital,capital:9,capital:0,chat_template,qa,0,27,1.0,1.0,0.0,1.0,1.0,0.0,0.12058395147323608,0.14074432849884033,0.020160377025604248,1.0,0.0,1.0,0.0,0.13675522804260254,0.016171276569366455,1.0,0.0,1.0,0.0,0.12003982067108154,-0.000544130802154541,0.0,0.0,0.0,0.0,0.0,0.0,-0.012609124183654785,-0.011110424995422363,0.0014986991882324219,0.0,0.0,0.0,0.0,-0.009978950023651123,0.002630174160003662,0.0,0.0,0.0,0.0,-0.011467695236206055,0.0011414289474487305
