model_name,model_variant,relation,fact_id,relation_control_fact_id,best_family,worst_family,layer_strategy,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,projected_best_control_answer_f1,project_best_control_answer_f1_delta,projected_best_control_selectivity,project_best_control_selectivity_delta,projected_best_control_alignment,project_best_control_alignment_delta,projected_best_random_answer_f1,project_best_random_answer_f1_delta,projected_best_random_selectivity,project_best_random_selectivity_delta,projected_best_random_alignment,project_best_random_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta,patched_worst_control_answer_f1,patch_worst_control_answer_f1_delta,patched_worst_control_selectivity,patch_worst_control_selectivity_delta,patched_worst_control_alignment,patch_worst_control_alignment_delta,patched_worst_random_answer_f1,patch_worst_random_answer_f1_delta,patched_worst_random_selectivity,patch_worst_random_selectivity_delta,patched_worst_random_alignment,patch_worst_random_alignment_delta
gemma_270m_it,instruct,capital,capital:14,capital:15,raw_question,declarative,primary,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.010370910167694092,-0.09036391973495483,-0.10073482990264893,0.0,0.0,0.0,0.0,0.010565519332885742,0.0001946091651916504,0.0,0.0,0.0,0.0,0.01200944185256958,0.0016385316848754883,0.25,0.0,-0.25,0.25,0.0,-0.25,0.09440779685974121,0.0995524525642395,0.005144655704498291,0.0,-0.25,0.0,-0.25,0.030781865119934082,-0.06362593173980713,0.0,-0.25,0.0,-0.25,-0.07343173027038574,-0.16783952713012695
gemma_270m_it,instruct,capital,capital:15,capital:16,raw_question,declarative,primary,0,12,0.4,0.0,-0.4,0.4,0.0,-0.4,0.032198190689086914,-0.07578027248382568,-0.1079784631729126,0.4,0.0,0.4,0.0,0.014823734760284424,-0.01737445592880249,0.4,0.0,0.4,0.0,0.029420316219329834,-0.00277787446975708,0.19999999999999998,0.0,-0.19999999999999998,0.19999999999999998,0.0,-0.19999999999999998,0.08690255880355835,0.05069023370742798,-0.03621232509613037,0.0,-0.19999999999999998,0.0,-0.19999999999999998,0.04558134078979492,-0.04132121801376343,0.0,-0.19999999999999998,0.0,-0.19999999999999998,0.0076593756675720215,-0.07924318313598633
gemma_270m_it,instruct,capital,capital:16,capital:17,raw_question,declarative,primary,0,12,0.4,0.6666666666666666,0.2666666666666666,0.4,0.6666666666666666,0.2666666666666666,0.009634137153625488,-0.03276419639587402,-0.04239833354949951,0.0,-0.4,0.0,-0.4,-0.0003892183303833008,-0.010023355484008789,0.4,0.0,0.4,0.0,0.015530765056610107,0.005896627902984619,0.25,0.25,0.0,0.25,0.25,0.0,0.07557016611099243,0.07275307178497314,-0.002817094326019287,0.25,0.0,0.25,0.0,0.04840123653411865,-0.02716892957687378,0.2222222222222222,-0.02777777777777779,0.2222222222222222,-0.02777777777777779,0.03742784261703491,-0.03814232349395752
gemma_270m_it,instruct,capital,capital:17,capital:2,raw_question,declarative,primary,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.014314115047454834,-0.18880021572113037,-0.2031143307685852,0.0,0.0,0.0,0.0,0.004640638828277588,-0.009673476219177246,0.0,0.0,0.0,0.0,0.013132154941558838,-0.001181960105895996,0.2857142857142857,0.0,-0.2857142857142857,0.2857142857142857,0.0,-0.2857142857142857,0.08658283948898315,0.09769153594970703,0.011108696460723877,0.0,-0.2857142857142857,0.0,-0.2857142857142857,-0.0032399892807006836,-0.08982282876968384,0.0,-0.2857142857142857,0.0,-0.2857142857142857,-0.07701194286346436,-0.1635947823524475
gemma_270m_it,instruct,official_language,official_language:14,official_language:15,raw_question,declarative,primary,0,12,0.5,0.0,-0.5,0.0,0.0,0.0,0.029912054538726807,-0.028128445148468018,-0.058040499687194824,0.5,0.0,0.0,0.0,0.027917683124542236,-0.0019943714141845703,0.5,0.0,0.0,0.0,0.027951419353485107,-0.0019606351852416992,0.0,0.0,0.0,0.0,0.0,0.0,-0.0137290358543396,-0.012866616249084473,0.000862419605255127,0.0,0.0,0.0,0.0,-0.014791905879974365,-0.0010628700256347656,0.0,0.0,0.0,0.0,-0.009436547756195068,0.004292488098144531
gemma_270m_it,instruct,official_language,official_language:15,official_language:16,raw_question,declarative,primary,0,12,0.4,0.0,-0.4,0.4,0.0,-0.4,0.031001806259155273,-0.042323946952819824,-0.0733257532119751,0.0,-0.4,0.0,-0.4,0.02065521478652954,-0.010346591472625732,0.4,0.0,0.4,0.0,0.03137785196304321,0.00037604570388793945,0.0,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998,-0.0016254782676696777,-0.009562015533447266,-0.007936537265777588,0.0,0.0,0.0,0.0,-0.009035766124725342,-0.007410287857055664,0.0,0.0,0.0,0.0,-0.01939678192138672,-0.01777130365371704
gemma_270m_it,instruct,official_language,official_language:16,official_language:17,raw_question,declarative,primary,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.021951615810394287,-0.008758783340454102,-0.03071039915084839,0.5,0.5,0.5,0.5,0.009763658046722412,-0.012187957763671875,0.0,0.0,0.0,0.0,0.022066771984100342,0.00011515617370605469,0.0,0.0,0.0,0.0,0.0,0.0,-0.008453726768493652,-0.01148301362991333,-0.0030292868614196777,0.0,0.0,0.0,0.0,-0.011268854141235352,-0.0028151273727416992,0.0,0.0,0.0,0.0,-0.023266196250915527,-0.014812469482421875
gemma_270m_it,instruct,official_language,official_language:17,official_language:2,raw_question,declarative,primary,0,12,0.4,0.0,-0.4,0.4,0.0,-0.4,0.030951082706451416,-0.10283589363098145,-0.13378697633743286,0.5,0.09999999999999998,0.5,0.09999999999999998,0.02727586030960083,-0.003675222396850586,0.4,0.0,0.4,0.0,0.030122816562652588,-0.0008282661437988281,0.25,0.0,-0.25,0.25,0.0,-0.25,-0.018115699291229248,-0.019917070865631104,-0.0018013715744018555,0.0,-0.25,0.0,-0.25,-0.03572404384613037,-0.017608344554901123,0.0,-0.25,0.0,-0.25,-0.039124131202697754,-0.021008431911468506
gemma_270m_it,instruct,currency,currency:14,currency:15,raw_question,declarative,primary,0,12,0.4,0.0,-0.4,0.0,0.0,0.0,0.02283787727355957,-0.05258911848068237,-0.07542699575424194,0.4,0.0,0.0,0.0,0.018222391605377197,-0.004615485668182373,0.4,0.0,0.0,0.0,0.02110457420349121,-0.0017333030700683594,0.22222222222222224,0.0,-0.22222222222222224,0.0,0.0,0.0,0.0627031922340393,0.07193034887313843,0.009227156639099121,0.0,-0.22222222222222224,0.0,0.0,0.033558785915374756,-0.02914440631866455,0.0,-0.22222222222222224,-0.36363636363636365,-0.36363636363636365,-0.01991415023803711,-0.08261734247207642
gemma_270m_it,instruct,currency,currency:15,currency:16,raw_question,declarative,primary,0,12,0.8,0.0,-0.8,0.8,0.0,-0.8,0.028420329093933105,-0.08671766519546509,-0.1151379942893982,0.0,-0.8,-0.3333333333333333,-1.1333333333333333,0.016934216022491455,-0.01148611307144165,0.8,0.0,0.8,0.0,0.02775871753692627,-0.0006616115570068359,0.5714285714285715,0.25,-0.3214285714285715,0.5714285714285715,0.25,-0.3214285714285715,0.07821720838546753,0.05910944938659668,-0.01910775899887085,0.0,-0.5714285714285715,0.0,-0.5714285714285715,0.036079227924346924,-0.042137980461120605,0.0,-0.5714285714285715,-0.22222222222222224,-0.7936507936507937,-0.009916424751281738,-0.08813363313674927
