relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.25,0.0,0.75,4
birth_place,chat_template,contains_expected,0.25,0.0,0.75,4
birth_place,chat_template,answer_f1,0.25,0.0,0.75,4
birth_place,chat_template,answer_similarity,0.44285714285714284,0.18196428571428575,0.8262499999999996,4
birth_place,declarative,full_exact_match,0.0,0.0,0.0,4
birth_place,declarative,contains_expected,0.5,0.0,1.0,4
birth_place,declarative,answer_f1,0.28571428571428575,0.0,0.5714285714285715,4
birth_place,declarative,answer_similarity,0.4376037312035939,0.14023460410557184,0.7449226305609284,4
birth_place,qa,full_exact_match,0.0,0.0,0.0,4
birth_place,qa,contains_expected,0.25,0.0,0.75,4
birth_place,qa,answer_f1,0.11111111111111112,0.0,0.33333333333333337,4
birth_place,qa,answer_similarity,0.3168081918081918,0.15887237762237766,0.4967532467532467,4
birth_place,raw_question,full_exact_match,0.0,0.0,0.0,4
birth_place,raw_question,contains_expected,0.0,0.0,0.0,4
birth_place,raw_question,answer_f1,0.0,0.0,0.0,4
birth_place,raw_question,answer_similarity,0.23784526051475208,0.17406249999999998,0.3006905210295041,4
capital,chat_template,full_exact_match,0.25,0.0,0.75,4
capital,chat_template,contains_expected,0.25,0.0,0.75,4
capital,chat_template,answer_f1,0.41666666666666663,0.0,0.8770833333333325,4
capital,chat_template,answer_similarity,0.7611662531017369,0.3514578163771712,0.9881048387096774,4
capital,declarative,full_exact_match,0.0,0.0,0.0,4
capital,declarative,contains_expected,0.25,0.0,0.75,4
capital,declarative,answer_f1,0.0625,0.0,0.1875,4
capital,declarative,answer_similarity,0.23612637362637362,0.19523809523809527,0.2625,4
capital,qa,full_exact_match,0.0,0.0,0.0,4
capital,qa,contains_expected,0.5,0.0,0.75,4
capital,qa,answer_f1,0.10555555555555554,0.0,0.16666666666666666,4
capital,qa,answer_similarity,0.24256923023602397,0.18874627421758566,0.2767309725158562,4
capital,raw_question,full_exact_match,0.0,0.0,0.0,4
capital,raw_question,contains_expected,0.5,0.0,0.75,4
capital,raw_question,answer_f1,0.29166666666666663,0.0,0.5,4
capital,raw_question,answer_similarity,0.6310987509758001,0.4674033957845433,0.7321428571428572,4
currency,chat_template,full_exact_match,0.25,0.0,0.75,4
currency,chat_template,contains_expected,0.25,0.0,0.75,4
currency,chat_template,answer_f1,0.6,0.42500000000000004,0.875,4
currency,chat_template,answer_similarity,0.9395485948781882,0.8681626928471249,0.989975845410628,4
currency,declarative,full_exact_match,0.0,0.0,0.0,4
currency,declarative,contains_expected,0.25,0.0,0.75,4
currency,declarative,answer_f1,0.21212121212121213,0.05025252525252525,0.3888888888888889,4
currency,declarative,answer_similarity,0.3192594043887147,0.1745885579937304,0.4698275862068966,4
currency,qa,full_exact_match,0.0,0.0,0.0,4
currency,qa,contains_expected,0.5,0.0,1.0,4
currency,qa,answer_f1,0.48333333333333334,0.12291666666666667,0.8,4
currency,qa,answer_similarity,0.6278886554621849,0.3530330882352941,0.8705357142857143,4
currency,raw_question,full_exact_match,0.0,0.0,0.0,4
currency,raw_question,contains_expected,0.25,0.0,0.75,4
currency,raw_question,answer_f1,0.3287878787878788,0.04545454545454545,0.6238636363636361,4
currency,raw_question,answer_similarity,0.46530419600272543,0.19974662162162163,0.7031295246138993,4
headquarters,chat_template,full_exact_match,0.5,0.0,1.0,4
headquarters,chat_template,contains_expected,0.5,0.0,1.0,4
headquarters,chat_template,answer_f1,0.6666666666666666,0.20625,1.0,4
headquarters,chat_template,answer_similarity,0.6883116883116883,0.325487012987013,1.0,4
headquarters,declarative,full_exact_match,0.0,0.0,0.0,4
headquarters,declarative,contains_expected,0.25,0.0,0.75,4
headquarters,declarative,answer_f1,0.2111111111111111,0.0,0.4333333333333333,4
headquarters,declarative,answer_similarity,0.4070053807004925,0.265983893557423,0.5447363669194654,4
headquarters,qa,full_exact_match,0.0,0.0,0.0,4
headquarters,qa,contains_expected,0.75,0.25,1.0,4
headquarters,qa,answer_f1,0.31313131313131315,0.2222222222222222,0.4146464646464645,4
headquarters,qa,answer_similarity,0.3922161709258484,0.28714285714285714,0.49780058651026393,4
headquarters,raw_question,full_exact_match,0.0,0.0,0.0,4
headquarters,raw_question,contains_expected,1.0,1.0,1.0,4
headquarters,raw_question,answer_f1,0.3643578643578643,0.3051948051948052,0.42424242424242425,4
headquarters,raw_question,answer_similarity,0.40392706872370265,0.3078541374474053,0.46370967741935487,4
official_language,chat_template,full_exact_match,0.0,0.0,0.0,4
official_language,chat_template,contains_expected,0.0,0.0,0.0,4
official_language,chat_template,answer_f1,0.0,0.0,0.0,4
official_language,chat_template,answer_similarity,0.2988782051282052,0.13563701923076923,0.4995192307692304,4
official_language,declarative,full_exact_match,0.0,0.0,0.0,4
official_language,declarative,contains_expected,0.5,0.0,1.0,4
official_language,declarative,answer_f1,0.15476190476190477,0.0,0.31577380952380946,4
official_language,declarative,answer_similarity,0.3211693548387097,0.19592741935483873,0.4640877016129029,4
official_language,qa,full_exact_match,0.0,0.0,0.0,4
official_language,qa,contains_expected,0.5,0.0,1.0,4
official_language,qa,answer_f1,0.11249999999999999,0.0,0.21906249999999985,4
official_language,qa,answer_similarity,0.24324579564854165,0.20050125313283207,0.28599033816425123,4
official_language,raw_question,full_exact_match,0.0,0.0,0.0,4
official_language,raw_question,contains_expected,0.25,0.0,0.75,4
official_language,raw_question,answer_f1,0.05555555555555555,0.0,0.16666666666666666,4
official_language,raw_question,answer_similarity,0.21446408293729236,0.14950372208436724,0.28773427314211203,4
