relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,0.09583333333333333,0.0,0.22562499999999944,0.5,12
birth_place,answer_f1,chat_template,qa,0.07638888888888888,0.0,0.1875,0.5,12
birth_place,answer_f1,chat_template,raw_question,0.09722222222222221,0.0,0.236458333333333,0.5,12
birth_place,answer_f1,declarative,qa,-0.01944444444444444,-0.10694444444444444,0.04319444444444433,1.0,12
birth_place,answer_f1,declarative,raw_question,0.0013888888888888933,-0.17937499999999998,0.18062499999999992,1.0,12
birth_place,answer_f1,qa,raw_question,0.020833333333333332,-0.14583333333333334,0.1875,1.0,12
capital,answer_f1,chat_template,declarative,-0.1261784511784512,-0.2713425925925926,0.008110269360269323,0.2890625,12
capital,answer_f1,chat_template,qa,-0.27592592592592596,-0.46115740740740746,-0.10736111111111116,0.03125,12
capital,answer_f1,chat_template,raw_question,-0.16481481481481483,-0.3685648148148148,0.02226851851851847,0.375,12
capital,answer_f1,declarative,qa,-0.1497474747474747,-0.21340698653198653,-0.08228535353535363,0.0078125,12
capital,answer_f1,declarative,raw_question,-0.03863636363636363,-0.171300505050505,0.10752314814814805,0.2890625,12
capital,answer_f1,qa,raw_question,0.1111111111111111,0.0,0.2222222222222222,0.5,12
currency,answer_f1,chat_template,declarative,0.1291847041847042,-0.03641233766233766,0.24293425324675322,0.0654296875,12
currency,answer_f1,chat_template,qa,0.03644781144781145,-0.09169612794612796,0.13803240740740733,0.6875,12
currency,answer_f1,chat_template,raw_question,0.12083333333333335,-0.17225694444444442,0.37520833333333314,0.7265625,12
currency,answer_f1,declarative,qa,-0.09273689273689274,-0.16719817219817223,-0.004855399230399279,0.0390625,12
currency,answer_f1,declarative,raw_question,-0.008351370851370854,-0.16397456709956712,0.15587301587301589,0.75390625,12
currency,answer_f1,qa,raw_question,0.0843855218855219,-0.10187184343434344,0.2751694023569023,1.0,12
headquarters,answer_f1,chat_template,declarative,-0.024537037037037027,-0.1575231481481481,0.125,1.0,12
headquarters,answer_f1,chat_template,qa,-0.003096440596440588,-0.16183186026936025,0.1682765151515151,1.0,12
headquarters,answer_f1,chat_template,raw_question,-0.12836700336700338,-0.2822022306397306,0.016240530303030267,0.375,12
headquarters,answer_f1,declarative,qa,0.02144059644059644,-0.02924903799903799,0.07254389129389127,0.375,12
headquarters,answer_f1,declarative,raw_question,-0.10382996632996633,-0.17235690235690235,-0.047347432659932784,0.03125,12
headquarters,answer_f1,qa,raw_question,-0.12527056277056278,-0.21221590909090912,-0.04398148148148148,0.0625,12
official_language,answer_f1,chat_template,declarative,0.08518518518518518,0.02685185185185185,0.14773148148148144,0.453125,12
official_language,answer_f1,chat_template,qa,0.09027777777777778,-0.0208912037037037,0.1666666666666667,0.1796875,12
official_language,answer_f1,chat_template,raw_question,0.0,-0.05555555555555555,0.05555555555555555,1.0,12
official_language,answer_f1,declarative,qa,0.005092592592592593,-0.08013888888888887,0.09814814814814814,1.0,12
official_language,answer_f1,declarative,raw_question,-0.08518518518518518,-0.14170138888888886,-0.02685185185185185,0.21875,12
official_language,answer_f1,qa,raw_question,-0.09027777777777778,-0.1851851851851852,0.004629629629629632,0.1796875,12
