relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
capital,answer_f1,chat_template,declarative,-0.2142857142857143,-0.7142857142857143,0.2857142857142857,1.0,2
capital,answer_f1,chat_template,qa,-0.5,-1.0,0.0,1.0,2
capital,answer_f1,chat_template,raw_question,-0.5,-1.0,0.0,1.0,2
capital,answer_f1,declarative,qa,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,0.5,2
capital,answer_f1,declarative,raw_question,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,0.5,2
capital,answer_f1,qa,raw_question,0.0,0.0,0.0,1.0,2
official_language,answer_f1,chat_template,declarative,0.125,0.0,0.25,1.0,2
official_language,answer_f1,chat_template,qa,0.125,0.0,0.25,1.0,2
official_language,answer_f1,chat_template,raw_question,0.0,0.0,0.0,1.0,2
official_language,answer_f1,declarative,qa,0.0,-0.25,0.25,1.0,2
official_language,answer_f1,declarative,raw_question,-0.125,-0.25,0.0,1.0,2
official_language,answer_f1,qa,raw_question,-0.125,-0.25,0.0,1.0,2
