relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.0,0.0,0.0,12
birth_place,chat_template,contains_expected,0.0,0.0,0.0,12
birth_place,chat_template,answer_f1,0.0,0.0,0.0,12
birth_place,chat_template,answer_similarity,0.18952512765262353,0.1464297450093951,0.23389853347162493,12
birth_place,declarative,full_exact_match,0.0,0.0,0.0,12
birth_place,declarative,contains_expected,0.16666666666666666,0.0,0.4166666666666667,12
birth_place,declarative,answer_f1,0.09583333333333333,0.0,0.24999999999999997,12
birth_place,declarative,answer_similarity,0.2865153429355456,0.2045215947158658,0.3964323273625598,12
birth_place,qa,full_exact_match,0.0,0.0,0.0,12
birth_place,qa,contains_expected,0.16666666666666666,0.0,0.4166666666666667,12
birth_place,qa,answer_f1,0.07638888888888888,0.0,0.20833333333333334,12
birth_place,qa,answer_similarity,0.26552166148676365,0.1933998660159354,0.3789240142562511,12
birth_place,raw_question,full_exact_match,0.0,0.0,0.0,12
birth_place,raw_question,contains_expected,0.16666666666666666,0.0,0.4166666666666667,12
birth_place,raw_question,answer_f1,0.09722222222222221,0.0,0.23611111111111108,12
birth_place,raw_question,answer_similarity,0.201111422799217,0.10805723163486858,0.3167103120543362,12
capital,chat_template,full_exact_match,0.0,0.0,0.0,12
capital,chat_template,contains_expected,0.4166666666666667,0.16666666666666666,0.6666666666666666,12
capital,chat_template,answer_f1,0.2759259259259259,0.1111111111111111,0.4444444444444444,12
capital,chat_template,answer_similarity,0.42482694005645777,0.28807241998024496,0.5449710633547985,12
capital,declarative,full_exact_match,0.0,0.0,0.0,12
capital,declarative,contains_expected,0.5833333333333334,0.3333333333333333,0.8333333333333334,12
capital,declarative,answer_f1,0.1497474747474747,0.0860648148148148,0.21014730639730636,12
capital,declarative,answer_similarity,0.24845894571616842,0.2149376675892697,0.2934271731588859,12
capital,qa,full_exact_match,0.0,0.0,0.0,12
capital,qa,contains_expected,0.0,0.0,0.0,12
