model_name,model_family,model_variant,split_eval,analysis_variant,position,num_facts,found_rate,invariance_depth_mean,mean_invariance_gap,peak_invariance_gap
gemma_270m_base,gemma,base,all,all_families,subject,90,1.0,0.1333333333333333,0.0607689156212313,0.8756445918652211
gemma_270m_base,gemma,base,all,all_families,preanswer,90,1.0,12.0,0.010902684672096,0.1570488755755564
gemma_270m_base,gemma,base,all,no_chat,subject,90,1.0,0.1333333333333333,0.0600615118388776,0.8758864291499253
gemma_270m_base,gemma,base,all,no_chat,preanswer,90,1.0,12.0,0.0069179058539071,0.1532811662730049
gemma_270m_base,gemma,base,all,length_matched_delta4,subject,90,1.0,0.2,0.0559074436138057,0.8802254627568319
gemma_270m_base,gemma,base,all,length_matched_delta4,preanswer,90,0.9444444444444444,12.0,-0.0208238755306964,0.1276261743444663
gemma_270m_base,gemma,base,holdout,all_families,subject,20,1.0,0.25,0.0591018178112184,0.7284424818741779
gemma_270m_base,gemma,base,holdout,all_families,preanswer,20,1.0,12.0,0.0098827364957994,0.1441252393027146
gemma_270m_base,gemma,base,holdout,no_chat,subject,20,1.0,0.3,0.0581954248770764,0.7086445057281741
gemma_270m_base,gemma,base,holdout,no_chat,preanswer,20,1.0,12.0,0.0057134040466551,0.1382513024188854
gemma_270m_base,gemma,base,holdout,length_matched_delta4,subject,20,1.0,0.3,0.0526165411057991,0.6528010703623295
gemma_270m_base,gemma,base,holdout,length_matched_delta4,preanswer,20,0.95,12.0,-0.0214485413061258,0.1128004988034566
gemma_270m_it,gemma,instruct,all,all_families,subject,90,1.0,0.1222222222222222,0.0610234193768061,0.8645992695226097
gemma_270m_it,gemma,instruct,all,all_families,preanswer,90,1.0,12.0,-0.0019180552854565,0.1362579814797523
gemma_270m_it,gemma,instruct,all,no_chat,subject,90,1.0,0.1222222222222222,0.0619615980946348,0.8888481000280068
gemma_270m_it,gemma,instruct,all,no_chat,preanswer,90,0.9444444444444444,12.211764705882352,-0.0013025922431578,0.110033099947412
gemma_270m_it,gemma,instruct,all,length_matched_delta4,subject,90,1.0,0.1666666666666666,0.0574064326075627,0.8839182979231622
gemma_270m_it,gemma,instruct,all,length_matched_delta4,preanswer,90,0.4,12.333333333333334,-0.0225835669657698,0.0922917550049938
gemma_270m_it,gemma,instruct,holdout,all_families,subject,20,1.0,0.25,0.0570761977144515,0.4915242567658424
gemma_270m_it,gemma,instruct,holdout,all_families,preanswer,20,1.0,12.0,-0.0024579240835144,0.1347136124968528
gemma_270m_it,gemma,instruct,holdout,no_chat,subject,20,1.0,0.25,0.0577659332749161,0.5010086375254171
gemma_270m_it,gemma,instruct,holdout,no_chat,preanswer,20,0.95,12.157894736842104,-0.0016687221917105,0.098994564127039
gemma_270m_it,gemma,instruct,holdout,length_matched_delta4,subject,20,1.0,0.3,0.0517549422335035,0.4508608324187142
gemma_270m_it,gemma,instruct,holdout,length_matched_delta4,preanswer,20,0.45,12.0,-0.0230020749635885,0.0842562615871429
qwen2_5_0_5b_base,qwen,base,all,all_families,subject,90,0.8222222222222222,0.4459459459459459,0.1097696764148059,0.986370772800498
qwen2_5_0_5b_base,qwen,base,all,all_families,preanswer,90,0.8222222222222222,21.0,-0.0952710083683892,0.0667410868713084
qwen2_5_0_5b_base,qwen,base,all,no_chat,subject,90,0.3222222222222222,0.0,0.0778075477935444,0.9802707627666772
qwen2_5_0_5b_base,qwen,base,all,no_chat,preanswer,90,0.9333333333333332,20.976190476190474,-0.1162638828671947,0.134488953874002
qwen2_5_0_5b_base,qwen,base,all,length_matched_delta4,subject,90,0.3222222222222222,0.0,0.0670269933946442,0.9846325042720924
qwen2_5_0_5b_base,qwen,base,all,length_matched_delta4,preanswer,90,0.4333333333333333,21.07692307692308,-0.1736268915056189,0.0615291772480297
qwen2_5_0_5b_base,qwen,base,holdout,all_families,subject,20,1.0,0.0,0.1843378017523676,0.9916529919272534
qwen2_5_0_5b_base,qwen,base,holdout,all_families,preanswer,20,0.7,21.0,-0.0961959804980311,0.0659769258151452
qwen2_5_0_5b_base,qwen,base,holdout,no_chat,subject,20,1.0,0.3,0.1534722712530583,0.9852171840027748
qwen2_5_0_5b_base,qwen,base,holdout,no_chat,preanswer,20,0.85,21.0,-0.1172385845971466,0.1368685552367458
qwen2_5_0_5b_base,qwen,base,holdout,length_matched_delta4,subject,20,1.0,0.45,0.1533983790223271,0.9897861840458214
