model_name,model_variant,relation,fact_id,relation_control_fact_id,best_family,worst_family,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,projected_best_control_answer_f1,project_best_control_answer_f1_delta,projected_best_control_selectivity,project_best_control_selectivity_delta,projected_best_control_alignment,project_best_control_alignment_delta,projected_best_random_answer_f1,project_best_random_answer_f1_delta,projected_best_random_selectivity,project_best_random_selectivity_delta,projected_best_random_alignment,project_best_random_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta,patched_worst_control_answer_f1,patch_worst_control_answer_f1_delta,patched_worst_control_selectivity,patch_worst_control_selectivity_delta,patched_worst_control_alignment,patch_worst_control_alignment_delta,patched_worst_random_answer_f1,patch_worst_random_answer_f1_delta,patched_worst_random_selectivity,patch_worst_random_selectivity_delta,patched_worst_random_alignment,patch_worst_random_alignment_delta
qwen2_5_0_5b_base,base,capital,capital:0,capital:1,qa,raw_question,0,21,1.0,0.19999999999999998,-0.8,1.0,0.19999999999999998,-0.8,0.17527079582214355,0.1765803098678589,0.001309514045715332,1.0,0.0,1.0,0.0,0.17630690336227417,0.0010361075401306152,1.0,0.0,1.0,0.0,0.1758495569229126,0.000578761100769043,1.0,1.0,0.0,1.0,1.0,0.0,0.01942920684814453,0.02829122543334961,0.008862018585205078,1.0,0.0,1.0,0.0,0.03184598684310913,0.0124167799949646,1.0,0.0,1.0,0.0,0.022611916065216064,0.003182709217071533
qwen2_5_0_5b_base,base,capital,capital:1,capital:10,qa,raw_question,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.16143006086349487,0.1594175100326538,-0.0020125508308410645,1.0,0.0,1.0,0.0,0.1618279218673706,0.0003978610038757324,1.0,0.0,1.0,0.0,0.16437429189682007,0.0029442310333251953,0.0,0.0,0.0,0.0,0.0,0.0,0.009351193904876709,0.02145284414291382,0.01210165023803711,0.0,0.0,0.0,0.0,0.016516804695129395,0.0071656107902526855,0.0,0.0,0.0,0.0,0.01039731502532959,0.0010461211204528809
qwen2_5_0_5b_base,base,capital,capital:2,capital:3,qa,raw_question,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.15898191928863525,0.1615036129951477,0.002521693706512451,0.0,0.0,0.0,0.0,0.16296207904815674,0.003980159759521484,0.0,0.0,0.0,0.0,0.15900063514709473,1.8715858459472656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.018667221069335938,0.026441991329193115,0.007774770259857178,0.0,0.0,0.0,0.0,0.020418107509613037,0.0017508864402770996,0.0,0.0,0.0,0.0,0.013425469398498535,-0.005241751670837402
qwen2_5_0_5b_base,base,capital,capital:3,capital:4,qa,raw_question,0,21,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.19584810733795166,-0.0659988522529602,-0.26184695959091187,0.6666666666666666,0.0,0.6666666666666666,0.0,-0.01598459482192993,-0.2118327021598816,0.6666666666666666,0.0,0.6666666666666666,0.0,0.19803214073181152,0.0021840333938598633,0.36363636363636365,0.0,-0.36363636363636365,0.36363636363636365,0.0,-0.36363636363636365,0.01595968008041382,-0.0068305134773254395,-0.022790193557739258,0.0,-0.36363636363636365,0.0,-0.36363636363636365,-0.06327074766159058,-0.0792304277420044,0.0,-0.36363636363636365,0.0,-0.36363636363636365,-0.03795522451400757,-0.05391490459442139
qwen2_5_0_5b_base,base,capital,capital:4,capital:5,qa,raw_question,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.2447357177734375,0.24609148502349854,0.0013557672500610352,1.0,0.0,1.0,0.0,0.25320833921432495,0.008472621440887451,1.0,0.0,1.0,0.0,0.2449817657470703,0.0002460479736328125,0.0,0.0,0.0,0.0,0.0,0.0,0.009038209915161133,0.021252453327178955,0.012214243412017822,0.0,0.0,0.0,0.0,0.008836686611175537,-0.0002015233039855957,0.0,0.0,0.0,0.0,0.0217362642288208,0.012698054313659668
qwen2_5_0_5b_base,base,capital,capital:5,capital:6,qa,raw_question,0,21,0.5,0.5,0.0,0.5,0.5,0.0,0.2235526442527771,0.21675372123718262,-0.006798923015594482,0.0,-0.5,0.0,-0.5,0.21604222059249878,-0.00751042366027832,0.5,0.0,0.5,0.0,0.22589999437332153,0.0023473501205444336,0.0,0.0,0.0,0.0,0.0,0.0,0.022160470485687256,-0.0032429099082946777,-0.025403380393981934,0.0,0.0,0.0,0.0,0.04396289587020874,0.021802425384521484,0.0,0.0,0.0,0.0,-0.007300913333892822,-0.029461383819580078
qwen2_5_0_5b_base,base,capital,capital:6,capital:7,qa,raw_question,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.17129158973693848,0.16510438919067383,-0.0061872005462646484,1.0,0.0,1.0,0.0,0.16405200958251953,-0.007239580154418945,1.0,0.0,1.0,0.0,0.16927748918533325,-0.0020141005516052246,1.0,1.0,0.0,1.0,1.0,0.0,0.02528458833694458,0.02599799633026123,0.0007134079933166504,1.0,0.0,1.0,0.0,0.0302698016166687,0.004985213279724121,0.0,-1.0,0.0,-1.0,0.026045501232147217,0.0007609128952026367
qwen2_5_0_5b_base,base,capital,capital:7,capital:8,qa,raw_question,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.22905457019805908,0.22543305158615112,-0.003621518611907959,1.0,0.0,1.0,0.0,0.2276514172554016,-0.0014031529426574707,1.0,0.0,1.0,0.0,0.22837859392166138,-0.0006759762763977051,0.0,0.0,0.0,0.0,0.0,0.0,-0.00650477409362793,0.007507681846618652,0.014012455940246582,0.0,0.0,0.0,0.0,0.007044374942779541,0.01354914903640747,0.0,0.0,0.0,0.0,-0.009318411350250244,-0.0028136372566223145
qwen2_5_0_5b_base,base,capital,capital:8,capital:9,qa,raw_question,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.14899837970733643,0.14657455682754517,-0.0024238228797912598,1.0,0.0,1.0,0.0,0.14366662502288818,-0.005331754684448242,1.0,0.0,1.0,0.0,0.14955133199691772,0.0005529522895812988,0.0,0.0,0.0,0.0,0.0,0.0,0.04400819540023804,0.04192274808883667,-0.002085447311401367,0.0,0.0,0.0,0.0,0.04330253601074219,-0.0007056593894958496,0.0,0.0,0.0,0.0,0.04212397336959839,-0.0018842220306396484
qwen2_5_0_5b_base,base,capital,capital:9,capital:0,qa,raw_question,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.21446478366851807,0.2123032808303833,-0.0021615028381347656,1.0,0.0,1.0,0.0,0.20907539129257202,-0.005389392375946045,1.0,0.0,1.0,0.0,0.21252155303955078,-0.0019432306289672852,1.0,1.0,0.0,1.0,1.0,0.0,0.045796990394592285,0.053040385246276855,0.00724339485168457,1.0,0.0,1.0,0.0,0.05617713928222656,0.010380148887634277,1.0,0.0,1.0,0.0,0.041520535945892334,-0.004276454448699951
