model_name,model_variant,relation,fact_id,relation_control_fact_id,best_family,worst_family,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,projected_best_control_answer_f1,project_best_control_answer_f1_delta,projected_best_control_selectivity,project_best_control_selectivity_delta,projected_best_control_alignment,project_best_control_alignment_delta,projected_best_random_answer_f1,project_best_random_answer_f1_delta,projected_best_random_selectivity,project_best_random_selectivity_delta,projected_best_random_alignment,project_best_random_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta,patched_worst_control_answer_f1,patch_worst_control_answer_f1_delta,patched_worst_control_selectivity,patch_worst_control_selectivity_delta,patched_worst_control_alignment,patch_worst_control_alignment_delta,patched_worst_random_answer_f1,patch_worst_random_answer_f1_delta,patched_worst_random_selectivity,patch_worst_random_selectivity_delta,patched_worst_random_alignment,patch_worst_random_alignment_delta
gemma_270m_base,base,capital,capital:0,capital:1,declarative,qa,0,12,0.2222222222222222,0.0,-0.2222222222222222,0.2222222222222222,0.0,-0.2222222222222222,0.09584182500839233,-0.19634771347045898,-0.2921895384788513,0.0,-0.2222222222222222,0.0,-0.2222222222222222,0.02719801664352417,-0.06864380836486816,0.19999999999999998,-0.022222222222222227,0.19999999999999998,-0.022222222222222227,0.09381777048110962,-0.002024054527282715,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.1259751319885254,0.13341748714447021,0.007442355155944824,0.0,0.0,-0.25,-0.25,0.0426633358001709,-0.08331179618835449,0.0,0.0,0.0,0.0,-0.0136680006980896,-0.139643132686615
gemma_270m_base,base,capital,capital:1,capital:10,declarative,qa,0,12,0.2222222222222222,0.0,-0.2222222222222222,0.2222222222222222,0.0,-0.2222222222222222,0.06917506456375122,-0.23203891515731812,-0.30121397972106934,0.0,-0.2222222222222222,0.0,-0.2222222222222222,-0.028919517993927002,-0.09809458255767822,0.0,-0.2222222222222222,0.0,-0.2222222222222222,0.0683625340461731,-0.000812530517578125,0.0,0.0,0.0,0.0,0.0,0.0,0.14162492752075195,0.16110920906066895,0.019484281539916992,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.10629981756210327,-0.03532510995864868,0.0,0.0,0.0,0.0,0.048550188541412354,-0.0930747389793396
gemma_270m_base,base,capital,capital:2,capital:3,declarative,qa,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0946308970451355,0.02074795961380005,-0.07388293743133545,0.0,0.0,-0.18181818181818182,-0.18181818181818182,0.032993435859680176,-0.06163746118545532,0.0,0.0,0.0,0.0,0.09453999996185303,-9.08970832824707e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.1354801058769226,0.15721207857131958,0.021731972694396973,0.0,0.0,0.0,0.0,0.099967360496521,-0.03551274538040161,0.0,0.0,0.0,0.0,0.005727589130401611,-0.129752516746521
gemma_270m_base,base,capital,capital:3,capital:4,declarative,qa,0,12,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.057085394859313965,0.059121906757354736,0.0020365118980407715,0.0,-0.16666666666666666,0.0,-0.16666666666666666,0.028343021869659424,-0.02874237298965454,0.16666666666666666,0.0,0.16666666666666666,0.0,0.06217467784881592,0.005089282989501953,0.0,0.0,0.0,0.0,0.0,0.0,0.1258133053779602,0.14436548948287964,0.018552184104919434,0.0,0.0,0.0,0.0,0.035425543785095215,-0.09038776159286499,0.0,0.0,0.0,0.0,-0.016213715076446533,-0.14202702045440674
gemma_270m_base,base,capital,capital:4,capital:5,declarative,qa,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.10022169351577759,-0.20388734340667725,-0.30410903692245483,0.0,0.0,0.0,0.0,-0.01669442653656006,-0.11691612005233765,0.0,0.0,0.0,0.0,0.09987396001815796,-0.0003477334976196289,0.0,0.0,0.0,0.0,0.0,0.0,0.1399134397506714,0.15735507011413574,0.017441630363464355,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.12848490476608276,-0.011428534984588623,0.0,0.0,0.0,0.0,-0.0026143789291381836,-0.14252781867980957
gemma_270m_base,base,capital,capital:5,capital:6,declarative,qa,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.027866721153259277,0.028821825981140137,0.0009551048278808594,0.0,0.0,0.0,0.0,0.029305219650268555,0.0014384984970092773,0.0,0.0,0.0,0.0,0.027144789695739746,-0.0007219314575195312,0.0,0.0,0.0,0.0,0.0,0.0,0.11183875799179077,0.11150902509689331,-0.00032973289489746094,0.0,0.0,0.0,0.0,0.11868762969970703,0.00684887170791626,0.0,0.0,0.0,0.0,0.11296814680099487,0.0011293888092041016
gemma_270m_base,base,capital,capital:6,capital:7,declarative,qa,0,12,0.3636363636363636,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.10433727502822876,0.09125852584838867,-0.013078749179840088,0.0,-0.3636363636363636,0.0,-0.3636363636363636,0.07123857736587524,-0.033098697662353516,0.3636363636363636,0.0,0.3636363636363636,0.0,0.10513222217559814,0.0007949471473693848,0.0,0.0,0.0,0.0,0.0,0.0,0.14087748527526855,0.13477832078933716,-0.0060991644859313965,0.0,0.0,0.0,0.0,0.11130201816558838,-0.029575467109680176,0.0,0.0,0.0,0.0,0.027508795261383057,-0.1133686900138855
gemma_270m_base,base,capital,capital:7,capital:8,declarative,qa,0,12,0.19999999999999998,0.0,-0.19999999999999998,0.19999999999999998,0.0,-0.19999999999999998,0.08300310373306274,-0.24004054069519043,-0.3230436444282532,0.19999999999999998,0.0,0.19999999999999998,0.0,0.053128719329833984,-0.02987438440322876,0.19999999999999998,0.0,0.19999999999999998,0.0,0.07264870405197144,-0.010354399681091309,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.13916665315628052,0.1647436022758484,0.02557694911956787,0.0,0.0,0.0,0.0,-0.00037795305252075195,-0.13954460620880127,0.0,0.0,0.0,0.0,-0.03780704736709595,-0.17697370052337646
gemma_270m_base,base,capital,capital:8,capital:9,declarative,qa,0,12,0.0,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998,0.0784643292427063,0.04550081491470337,-0.03296351432800293,0.0,0.0,0.0,0.0,0.06007111072540283,-0.018393218517303467,0.0,0.0,0.0,0.0,0.079678475856781,0.001214146614074707,0.0,0.0,0.0,0.0,0.0,0.0,0.11174488067626953,0.11542737483978271,0.0036824941635131836,0.0,0.0,0.0,0.0,0.06720316410064697,-0.04454171657562256,0.0,0.0,0.0,0.0,0.023854851722717285,-0.08789002895355225
gemma_270m_base,base,capital,capital:9,capital:0,declarative,qa,0,12,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998,0.0,0.09427475929260254,0.09188288450241089,-0.0023918747901916504,0.19999999999999998,0.0,0.19999999999999998,0.0,0.07709288597106934,-0.017181873321533203,0.19999999999999998,0.0,0.19999999999999998,0.0,0.09331566095352173,-0.0009590983390808105,0.0,0.0,0.0,0.0,0.0,0.0,0.13406282663345337,0.168182373046875,0.03411954641342163,0.0,0.0,-0.25,-0.25,0.09799283742904663,-0.03606998920440674,0.0,0.0,0.0,0.0,0.020460903644561768,-0.1136019229888916
