model_name,model_variant,relation,fact_id,best_family,worst_family,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta
gemma_270m_base,base,capital,capital:0,declarative,qa,0,12,0.2222222222222222,0.0,-0.2222222222222222,0.2222222222222222,0.0,-0.2222222222222222,0.09584182500839233,-0.19634771347045898,-0.2921895384788513,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.1259751319885254,0.13341748714447021,0.007442355155944824
gemma_270m_base,base,capital,capital:1,declarative,qa,0,12,0.2222222222222222,0.0,-0.2222222222222222,0.2222222222222222,0.0,-0.2222222222222222,0.06917506456375122,-0.23203891515731812,-0.30121397972106934,0.0,0.0,0.0,0.0,0.0,0.0,0.14162492752075195,0.16110920906066895,0.019484281539916992
gemma_270m_base,base,capital,capital:2,declarative,qa,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0946308970451355,0.02074795961380005,-0.07388293743133545,0.0,0.0,0.0,0.0,0.0,0.0,0.1354801058769226,0.15721207857131958,0.021731972694396973
gemma_270m_base,base,capital,capital:3,declarative,qa,0,12,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.057085394859313965,0.059121906757354736,0.0020365118980407715,0.0,0.0,0.0,0.0,0.0,0.0,0.1258133053779602,0.14436548948287964,0.018552184104919434
gemma_270m_base,base,capital,capital:4,declarative,qa,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.10022169351577759,-0.20388734340667725,-0.30410903692245483,0.0,0.0,0.0,0.0,0.0,0.0,0.1399134397506714,0.15735507011413574,0.017441630363464355
gemma_270m_base,base,capital,capital:5,declarative,qa,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.027866721153259277,0.028821825981140137,0.0009551048278808594,0.0,0.0,0.0,0.0,0.0,0.0,0.11183875799179077,0.11150902509689331,-0.00032973289489746094
gemma_270m_base,base,capital,capital:6,declarative,qa,0,12,0.3636363636363636,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.10433727502822876,0.09125852584838867,-0.013078749179840088,0.0,0.0,0.0,0.0,0.0,0.0,0.14087748527526855,0.13477832078933716,-0.0060991644859313965
gemma_270m_base,base,capital,capital:7,declarative,qa,0,12,0.19999999999999998,0.0,-0.19999999999999998,0.19999999999999998,0.0,-0.19999999999999998,0.08300310373306274,-0.24004054069519043,-0.3230436444282532,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.13916665315628052,0.1647436022758484,0.02557694911956787
gemma_270m_base,base,capital,capital:8,declarative,qa,0,12,0.0,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998,0.0784643292427063,0.04550081491470337,-0.03296351432800293,0.0,0.0,0.0,0.0,0.0,0.0,0.11174488067626953,0.11542737483978271,0.0036824941635131836
gemma_270m_base,base,capital,capital:9,declarative,qa,0,12,0.19999999999999998,0.19999999999999998,0.0,0.19999999999999998,0.19999999999999998,0.0,0.09427475929260254,0.09188288450241089,-0.0023918747901916504,0.0,0.0,0.0,0.0,0.0,0.0,0.13406282663345337,0.168182373046875,0.03411954641342163
gemma_270m_base,base,capital,capital:10,declarative,qa,0,12,0.2222222222222222,0.0,-0.2222222222222222,0.2222222222222222,0.0,-0.2222222222222222,0.07504338026046753,-0.1705409288406372,-0.24558430910110474,0.0,0.0,0.0,0.0,0.0,0.0,0.12223947048187256,0.11865061521530151,-0.003588855266571045
gemma_270m_base,base,capital,capital:11,declarative,qa,0,12,0.19999999999999998,0.0,-0.19999999999999998,0.19999999999999998,0.0,-0.19999999999999998,0.12608259916305542,-0.22883117198944092,-0.35491377115249634,0.0,0.0,0.0,0.0,0.0,0.0,0.1501067876815796,0.15998375415802002,0.00987696647644043
gemma_270m_base,base,official_language,official_language:0,declarative,qa,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.09079509973526001,-0.15231680870056152,-0.24311190843582153,0.2222222222222222,0.0,-0.2222222222222222,0.2222222222222222,0.0,-0.2222222222222222,0.08369910717010498,0.07155066728591919,-0.012148439884185791
gemma_270m_base,base,official_language,official_language:1,declarative,qa,0,12,0.2222222222222222,0.0,-0.2222222222222222,0.2222222222222222,0.0,-0.2222222222222222,0.07163608074188232,-0.12882298231124878,-0.2004590630531311,0.0,0.0,0.0,0.0,0.0,0.0,0.09222900867462158,0.100979745388031,0.008750736713409424
gemma_270m_base,base,official_language,official_language:2,declarative,qa,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.06282615661621094,0.05217009782791138,-0.01065605878829956,0.0,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.07487040758132935,0.0889999270439148,0.01412951946258545
gemma_270m_base,base,official_language,official_language:3,declarative,qa,0,12,0.0,0.0,0.0,-0.18181818181818182,-0.18181818181818182,0.0,0.050733864307403564,0.050516724586486816,-0.00021713972091674805,0.0,0.0,0.0,0.0,0.0,0.0,0.08288824558258057,0.08614981174468994,0.003261566162109375
gemma_270m_base,base,official_language,official_language:4,declarative,qa,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.08988124132156372,-0.1258489489555359,-0.2157301902770996,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.0,0.09676218032836914,0.10893410444259644,0.012171924114227295
gemma_270m_base,base,official_language,official_language:5,declarative,qa,0,12,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.03821146488189697,0.03718465566635132,-0.0010268092155456543,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.05995720624923706,0.059858083724975586,-9.912252426147461e-05
