relation,prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity
birth_place,chat_template,107112.75,-20.130533854166668,0.0,0.3333333333333333,0.2722222222222222,0.4212600789846706
birth_place,declarative,70.58333333333333,-2.9869791666666665,0.0,0.25,0.15734126984126984,0.35577923573953457
birth_place,qa,459.1666666666667,-4.776041666666667,0.08333333333333333,0.25,0.20555555555555557,0.4207070108927083
birth_place,raw_question,3169.75,-8.583571116129557,0.0,0.16666666666666666,0.13333333333333333,0.3409850343685598
capital,chat_template,29794.0,-10.212890625,0.0,0.5833333333333334,0.24166666666666667,0.28391976001121894
capital,declarative,4.666666666666667,-0.3489583333333333,0.0,0.5,0.17474747474747476,0.2923813481187831
capital,qa,1.1666666666666667,1.8229166666666667,0.75,0.75,0.8472222222222222,0.9789968096419709
capital,raw_question,28.416666666666668,-3.9375,0.25,0.3333333333333333,0.30113636363636365,0.39421961607333816
currency,chat_template,12201.916666666666,-6.668619791666667,0.0,0.3333333333333333,0.1574074074074074,0.3567211073404663
currency,declarative,76.83333333333333,-5.841145833333333,0.0,0.5,0.29168470418470416,0.41349187118775804
currency,qa,7.5,-1.1197916666666667,0.0,0.3333333333333333,0.40277777777777785,0.6702593359237526
currency,raw_question,125.33333333333333,-4.138020833333333,0.0,0.16666666666666666,0.14722222222222223,0.36058275302928183
headquarters,chat_template,62244.833333333336,-14.8759765625,0.0,0.6666666666666666,0.2831228956228956,0.33678896568303013
headquarters,declarative,39.0,-2.5052083333333335,0.0,0.3333333333333333,0.167989417989418,0.32044244845158043
headquarters,qa,31.666666666666668,-1.9739583333333333,0.08333333333333333,0.75,0.32634680134680133,0.3770390505811079
headquarters,raw_question,1172.25,-8.205729166666666,0.0,0.5,0.25247113997113996,0.3773627613188775
official_language,chat_template,23386.416666666668,-11.154947916666666,0.0,0.08333333333333333,0.016666666666666666,0.1746214706965311
official_language,declarative,5.75,-0.7708333333333334,0.0,0.8333333333333334,0.2777777777777778,0.4294254698436428
official_language,qa,1.0833333333333333,1.171875,0.5833333333333334,0.6666666666666666,0.6041666666666666,0.8094973161010897
official_language,raw_question,28.166666666666668,-3.828125,0.0,0.3333333333333333,0.05555555555555555,0.20978370104156266
