prompt_family,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity,model_name,model_family,model_variant
chat_template,798.65,-3.409375,0.0,0.3,0.1238888888888889,0.3133064990243294,gemma_270m_base,gemma,base
declarative,69.3,-2.634375,0.0,0.45,0.1769949494949494,0.2911034564756667,gemma_270m_base,gemma,base
qa,122.75,-1.971875,0.0,0.3,0.1586616161616161,0.2898112444428061,gemma_270m_base,gemma,base
raw_question,546.25,-6.0828125,0.0,0.15,0.0783838383838383,0.2370041346436626,gemma_270m_base,gemma,base
chat_template,7148.0,-14.59296875,0.1,0.15,0.2033333333333333,0.5136303897666927,gemma_270m_it,gemma,instruct
declarative,158.25,-4.390625,0.0,0.4,0.1629761904761904,0.3059208814366542,gemma_270m_it,gemma,instruct
qa,864.95,-3.812890625,0.0,0.2,0.1319444444444444,0.2984056557181253,gemma_270m_it,gemma,instruct
raw_question,3257.05,-11.66953125,0.0,0.4,0.2703968253968254,0.4374201087564096,gemma_270m_it,gemma,instruct
chat_template,42080.25,-10.4866943359375,0.0,0.35,0.1974242424242424,0.3141473430142906,qwen2_5_0_5b_base,qwen,base
declarative,45.8,-2.8453125,0.0,0.5,0.1721897546897547,0.3310032491912865,qwen2_5_0_5b_base,qwen,base
qa,195.9,-1.04375,0.4,0.6,0.5033333333333333,0.6043242535673315,qwen2_5_0_5b_base,qwen,base
raw_question,1407.0,-5.000142669677734,0.05,0.2,0.1108766233766233,0.3081000050110497,qwen2_5_0_5b_base,qwen,base
chat_template,922.75,-7.16328125,0.4,0.5,0.5072222222222222,0.6655740154811363,qwen2_5_0_5b_instruct,qwen,instruct
declarative,56.75,-3.7296875,0.0,0.4,0.1555266955266955,0.2897181630165532,qwen2_5_0_5b_instruct,qwen,instruct
qa,183.15,-1.28203125,0.0,0.45,0.1905555555555555,0.3036628935452122,qwen2_5_0_5b_instruct,qwen,instruct
raw_question,782.25,-4.99296875,0.0,0.35,0.1641666666666666,0.3131522849869296,qwen2_5_0_5b_instruct,qwen,instruct
chat_template,189.85,-1.509375,0.15,0.55,0.3313095238095238,0.4673857921057391,smollm2_360m_base,smollm2,base
declarative,50.6,-0.86875,0.0,0.7,0.2833333333333333,0.4044423818596289,smollm2_360m_base,smollm2,base
qa,94.35,-1.0,0.0,0.75,0.323531746031746,0.452498740222426,smollm2_360m_base,smollm2,base
raw_question,505.4,-7.3046875,0.0,0.45,0.1406349206349206,0.3095559648845328,smollm2_360m_base,smollm2,base
chat_template,1552.95,-9.31953125,0.15,0.5,0.2907936507936507,0.4086276086938242,smollm2_360m_instruct,smollm2,instruct
declarative,27.95,-0.584375,0.0,0.7,0.2723088023088023,0.3740694322015496,smollm2_360m_instruct,smollm2,instruct
qa,1124.2,-8.66796875,0.0,0.0,0.0,0.0,smollm2_360m_instruct,smollm2,instruct
raw_question,1634.65,-11.52666015625,0.0,0.0,0.0,0.0169047619047619,smollm2_360m_instruct,smollm2,instruct
