model_name,model_variant,relation,fact_id,relation_control_fact_id,best_family,worst_family,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,projected_best_control_answer_f1,project_best_control_answer_f1_delta,projected_best_control_selectivity,project_best_control_selectivity_delta,projected_best_control_alignment,project_best_control_alignment_delta,projected_best_random_answer_f1,project_best_random_answer_f1_delta,projected_best_random_selectivity,project_best_random_selectivity_delta,projected_best_random_alignment,project_best_random_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta,patched_worst_control_answer_f1,patch_worst_control_answer_f1_delta,patched_worst_control_selectivity,patch_worst_control_selectivity_delta,patched_worst_control_alignment,patch_worst_control_alignment_delta,patched_worst_random_answer_f1,patch_worst_random_answer_f1_delta,patched_worst_random_selectivity,patch_worst_random_selectivity_delta,patched_worst_random_alignment,patch_worst_random_alignment_delta
qwen2_5_0_5b_instruct,instruct,capital,capital:0,capital:1,chat_template,declarative,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.2398563027381897,0.24148327112197876,0.0016269683837890625,1.0,0.0,1.0,0.0,0.24182087182998657,0.001964569091796875,1.0,0.0,1.0,0.0,0.24077939987182617,0.0009230971336364746,0.25,0.25,0.0,0.25,0.25,0.0,0.05797529220581055,0.0649917721748352,0.007016479969024658,0.25,0.0,0.25,0.0,0.059077441692352295,0.001102149486541748,0.25,0.0,0.25,0.0,0.05696660280227661,-0.0010086894035339355
qwen2_5_0_5b_instruct,instruct,capital,capital:1,capital:10,chat_template,declarative,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.22893279790878296,0.2315317988395691,0.002599000930786133,0.0,0.0,0.0,0.0,0.2304028868675232,0.0014700889587402344,0.0,0.0,0.0,0.0,0.22735774517059326,-0.0015750527381896973,0.0,0.0,0.0,0.0,0.0,0.0,0.0025725960731506348,0.008801043033599854,0.006228446960449219,0.0,0.0,0.0,0.0,0.008741140365600586,0.006168544292449951,0.0,0.0,0.0,0.0,-0.00771719217300415,-0.010289788246154785
qwen2_5_0_5b_instruct,instruct,capital,capital:2,capital:3,chat_template,declarative,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.24235200881958008,0.24534642696380615,0.0029944181442260742,0.0,0.0,0.0,0.0,0.24315547943115234,0.0008034706115722656,0.0,0.0,0.0,0.0,0.24230355024337769,-4.845857620239258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.09495735168457031,0.09714281558990479,0.0021854639053344727,0.0,0.0,0.0,0.0,0.08576571941375732,-0.009191632270812988,0.0,0.0,0.0,0.0,0.091164231300354,-0.0037931203842163086
qwen2_5_0_5b_instruct,instruct,capital,capital:3,capital:4,chat_template,declarative,0,21,0.6666666666666666,0.0,-0.6666666666666666,0.6666666666666666,0.0,-0.6666666666666666,0.2759183645248413,-0.16845911741256714,-0.44437748193740845,0.0,-0.6666666666666666,0.0,-0.6666666666666666,-0.12691789865493774,-0.40283626317977905,0.6666666666666666,0.0,0.6666666666666666,0.0,0.2772400975227356,0.0013217329978942871,0.0,0.0,0.0,0.0,0.0,0.0,0.10549157857894897,0.05515259504318237,-0.0503389835357666,0.0,0.0,0.0,0.0,-0.0657275915145874,-0.17121917009353638,0.0,0.0,0.0,0.0,-0.015265464782714844,-0.12075704336166382
qwen2_5_0_5b_instruct,instruct,capital,capital:4,capital:5,chat_template,declarative,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.3364654779434204,0.33957409858703613,0.0031086206436157227,1.0,0.0,1.0,0.0,0.3408004641532898,0.004334986209869385,1.0,0.0,1.0,0.0,0.33634841442108154,-0.00011706352233886719,0.0,0.0,0.0,0.0,0.0,0.0,0.08366948366165161,0.09799820184707642,0.014328718185424805,0.0,0.0,0.0,0.0,0.09527862071990967,0.011609137058258057,0.0,0.0,0.0,0.0,0.08297830820083618,-0.0006911754608154297
qwen2_5_0_5b_instruct,instruct,capital,capital:5,capital:6,chat_template,declarative,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.3025294542312622,0.31345731019973755,0.010927855968475342,0.0,0.0,0.0,0.0,0.30534040927886963,0.002810955047607422,0.0,0.0,0.0,0.0,0.30161482095718384,-0.0009146332740783691,0.0,0.0,0.0,0.0,0.0,0.0,0.09515100717544556,0.06288039684295654,-0.032270610332489014,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.1085861325263977,0.013435125350952148,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.06519663333892822,-0.029954373836517334
qwen2_5_0_5b_instruct,instruct,capital,capital:6,capital:7,chat_template,declarative,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.24120640754699707,0.24329310655593872,0.0020866990089416504,1.0,0.0,1.0,0.0,0.24252837896347046,0.0013219714164733887,1.0,0.0,1.0,0.0,0.2394213080406189,-0.0017850995063781738,0.3636363636363636,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.0,0.09977412223815918,0.09948223829269409,-0.0002918839454650879,0.3636363636363636,0.0,0.3636363636363636,0.0,0.09725219011306763,-0.0025219321250915527,0.4444444444444445,0.08080808080808088,0.4444444444444445,0.08080808080808088,0.11371272802352905,0.013938605785369873
qwen2_5_0_5b_instruct,instruct,capital,capital:7,capital:8,chat_template,declarative,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.2912219762802124,0.2955220341682434,0.004300057888031006,1.0,0.0,1.0,0.0,0.29443299770355225,0.0032110214233398438,1.0,0.0,1.0,0.0,0.2911876440048218,-3.4332275390625e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.08858984708786011,0.07879739999771118,-0.009792447090148926,0.0,0.0,0.0,0.0,0.07994282245635986,-0.008647024631500244,0.0,0.0,0.0,0.0,0.06200087070465088,-0.02658897638320923
qwen2_5_0_5b_instruct,instruct,capital,capital:8,capital:9,chat_template,declarative,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.19912981986999512,0.20098119974136353,0.0018513798713684082,1.0,0.0,1.0,0.0,0.20177942514419556,0.0026496052742004395,1.0,0.0,1.0,0.0,0.19903713464736938,-9.268522262573242e-05,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.09582692384719849,0.09589707851409912,7.015466690063477e-05,0.33333333333333337,0.0,0.33333333333333337,0.0,0.09532815217971802,-0.0004987716674804688,0.33333333333333337,0.0,0.33333333333333337,0.0,0.09219199419021606,-0.003634929656982422
qwen2_5_0_5b_instruct,instruct,capital,capital:9,capital:0,chat_template,declarative,0,21,1.0,1.0,0.0,1.0,1.0,0.0,0.2845408320426941,0.28901445865631104,0.004473626613616943,1.0,0.0,1.0,0.0,0.2871912121772766,0.0026503801345825195,1.0,0.0,1.0,0.0,0.28481197357177734,0.00027114152908325195,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.07692587375640869,0.07603400945663452,-0.0008918642997741699,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0776827335357666,0.0007568597793579102,0.25,-0.0357142857142857,0.25,-0.0357142857142857,0.0804675817489624,0.003541707992553711
