relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.05555555555555555,0.0,0.16666666666666666,18
birth_place,chat_template,contains_expected,0.3333333333333333,0.1111111111111111,0.5555555555555556,18
birth_place,chat_template,answer_f1,0.274074074074074,0.11851851851851852,0.44453703703703695,18
birth_place,chat_template,answer_similarity,0.40242217423856874,0.291420465646305,0.525067821635804,18
birth_place,declarative,full_exact_match,0.0,0.0,0.0,18
birth_place,declarative,contains_expected,0.2222222222222222,0.05555555555555555,0.4444444444444444,18
birth_place,declarative,answer_f1,0.14656084656084656,0.037037037037037035,0.2700132275132275,18
birth_place,declarative,answer_similarity,0.33069422201799514,0.2356755678041371,0.43656018429539056,18
birth_place,qa,full_exact_match,0.1111111111111111,0.0,0.2777777777777778,18
birth_place,qa,contains_expected,0.2777777777777778,0.1111111111111111,0.5,18
birth_place,qa,answer_f1,0.2296296296296296,0.07407407407407407,0.4149999999999998,18
birth_place,qa,answer_similarity,0.4076538802776786,0.2811535898054749,0.5464940983264521,18
birth_place,raw_question,full_exact_match,0.0,0.0,0.0,18
birth_place,raw_question,contains_expected,0.16666666666666666,0.05555555555555555,0.3333333333333333,18
birth_place,raw_question,answer_f1,0.1259259259259259,0.037037037037037035,0.2592592592592593,18
birth_place,raw_question,answer_similarity,0.30257606602527054,0.2167816179088128,0.4191592946491019,18
capital,chat_template,full_exact_match,0.0,0.0,0.0,18
capital,chat_template,contains_expected,0.5555555555555556,0.3333333333333333,0.7777777777777778,18
capital,chat_template,answer_f1,0.2537037037037037,0.15083333333333332,0.35957561728395054,18
capital,chat_template,answer_similarity,0.2916861537833441,0.21447934321932113,0.38065822050210485,18
capital,declarative,full_exact_match,0.0,0.0,0.0,18
capital,declarative,contains_expected,0.5,0.2777777777777778,0.7222222222222222,18
capital,declarative,answer_f1,0.1627946127946128,0.09779250841750842,0.23903619528619527,18
capital,declarative,answer_similarity,0.2763584761408796,0.20127325277299313,0.35989867208038184,18
capital,qa,full_exact_match,0.7777777777777778,0.5555555555555556,0.9444444444444444,18
capital,qa,contains_expected,0.7777777777777778,0.5555555555555556,0.9444444444444444,18
capital,qa,answer_f1,0.8425925925925926,0.6849537037037037,0.9814814814814814,18
capital,qa,answer_similarity,0.9479861771882145,0.8676892811018448,0.9982078853046595,18
capital,raw_question,full_exact_match,0.2222222222222222,0.05555555555555555,0.4444444444444444,18
capital,raw_question,contains_expected,0.2777777777777778,0.1111111111111111,0.5,18
capital,raw_question,answer_f1,0.25631313131313127,0.07575757575757576,0.46464646464646464,18
capital,raw_question,answer_similarity,0.35927635824467624,0.20110301833717906,0.5516613905289853,18
currency,chat_template,full_exact_match,0.0,0.0,0.0,18
currency,chat_template,contains_expected,0.5,0.2777777777777778,0.7222222222222222,18
currency,chat_template,answer_f1,0.25018037518037517,0.1460407647907648,0.35218554593554596,18
