model_name,model_family,model_variant,fact_id,relation,subject,expected_answer,prompt_family,split,generated_text,normalized_generated_text,top_prediction,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity,same_subject_control_fact_id,same_subject_control_answer,same_subject_control_f1,same_subject_control_contains,same_relation_control_answer,same_relation_control_fact_id,same_relation_control_f1,same_relation_control_contains,lexical_distractor,lexical_distractor_f1,lexical_distractor_contains,max_control_f1,max_control_contains,target_selectivity,target_contains_selectivity,dominant_control
gemma_270m_it,gemma,instruct,capital:0,capital,Afghanistan,Kabul,raw_question,analysis,"The capital of Afghanistan is Kabul.
The",kabul the,"

",35,-11.0625,0.0,1.0,0.6666666666666666,0.7142857142857143,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,none
gemma_270m_it,gemma,instruct,capital:0,capital,Afghanistan,Kabul,declarative,analysis,"Kabul.

The capital of Afghanistan is Kabul.",kabul the capital of afghanistan is kabul,Kabul,1,8.5,0.0,1.0,0.25,0.21739130434782608,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.25,1.0,none
gemma_270m_it,gemma,instruct,capital:0,capital,Afghanistan,Kabul,qa,analysis,"Kabul
Q: What is the capital of Pakistan",kabul q what is the capital of pakistan,Kabul,1,3.75,0.0,1.0,0.2222222222222222,0.22727272727272727,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,0.2222222222222222,1.0,none
gemma_270m_it,gemma,instruct,capital:0,capital,Afghanistan,Kabul,chat_template,analysis,Kabul,kabul,Kabul,1,1.5,1.0,1.0,1.0,1.0,official_language:0,Dari,0.0,0.0,Tirana,capital:1,0.0,0.0,Tirana,0.0,0.0,0.0,0.0,1.0,1.0,none
gemma_270m_it,gemma,instruct,capital:1,capital,Albania,Tirana,raw_question,analysis,"The capital of Albania is Berat.
The",berat the,"

",54,-12.0,0.0,0.0,0.0,0.26666666666666666,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_it,gemma,instruct,capital:1,capital,Albania,Tirana,declarative,analysis,"Tirja, and the capital of Albania is Berat",tirja and the capital of albania is berat,Tir,1,3.75,0.0,0.0,0.0,0.2553191489361702,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_it,gemma,instruct,capital:1,capital,Albania,Tirana,qa,analysis,"Tirja
Q: What is the capital of",tirja q what is the capital of,Tir,1,1.0,0.0,0.0,0.0,0.2777777777777778,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_it,gemma,instruct,capital:1,capital,Albania,Tirana,chat_template,analysis,Berat,berat,Berat,75,-9.75,0.0,0.0,0.0,0.36363636363636365,official_language:1,Albanian,0.0,0.0,Kabul,capital:0,0.0,0.0,Kabul,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_it,gemma,instruct,capital:2,capital,Algeria,Algiers,raw_question,analysis,The capital of Algeria is Algiers.,lgiers,"

",21,-10.5625,0.0,0.0,0.0,0.9230769230769231,official_language:2,Arabic,0.0,0.0,Kabul,capital:0,0.0,0.0,Andorra la Vella,0.0,0.0,0.0,0.0,0.0,0.0,none
gemma_270m_it,gemma,instruct,capital:2,capital,Algeria,Algiers,declarative,analysis,"Algiers.
The capital of Algeria is Al",lgiers the capital of algeria is al,Al,1,2.375,0.0,0.0,0.0,0.2857142857142857,official_language:2,Arabic,0.0,0.0,Kabul,capital:0,0.0,0.0,Andorra la Vella,0.0,0.0,0.0,0.0,0.0,0.0,none
