relation,prompt_family,answer_f1,target_selectivity,same_subject_control_f1,same_relation_control_f1,lexical_distractor_f1,max_control_f1
birth_place,chat_template,0.35374149659863946,0.30612244897959184,0.0,0.047619047619047616,0.0,0.047619047619047616
birth_place,declarative,0.09166666666666666,0.06309523809523808,0.0,0.028571428571428574,0.0,0.028571428571428574
birth_place,qa,0.0,0.0,0.0,0.0,0.0,0.0
birth_place,raw_question,0.0,0.0,0.0,0.0,0.0,0.0
capital,chat_template,0.6333333333333334,0.6333333333333334,0.0,0.0,0.0,0.0
capital,declarative,0.2708049886621315,0.2708049886621315,0.0,0.0,0.0,0.0
capital,qa,0.0,0.0,0.0,0.0,0.0,0.0
capital,raw_question,0.0,0.0,0.0,0.0,0.0,0.0
currency,chat_template,0.19921150278293134,0.17540197897340756,0.0,0.0,0.02380952380952381,0.02380952380952381
currency,declarative,0.23134920634920636,0.21349206349206348,0.0,0.0,0.017857142857142856,0.017857142857142856
currency,qa,0.0,0.0,0.0,0.0,0.0,0.0
currency,raw_question,0.0,0.0,0.0,0.0,0.0,0.0
headquarters,chat_template,0.38692022263450837,0.2453617810760668,0.0,0.14155844155844158,0.14155844155844158,0.14155844155844158
headquarters,declarative,0.5499999999999999,0.3708616780045351,0.0,0.17913832199546484,0.17913832199546484,0.17913832199546484
headquarters,qa,0.0,0.0,0.0,0.0,0.0,0.0
headquarters,raw_question,0.0,0.0,0.0,0.0,0.0,0.0
official_language,chat_template,0.1488095238095238,0.09523809523809525,0.0,0.0,0.05357142857142857,0.05357142857142857
official_language,declarative,0.13270975056689344,0.08270975056689342,0.0,0.0,0.049999999999999996,0.049999999999999996
official_language,qa,0.0,0.0,0.0,0.0,0.0,0.0
official_language,raw_question,0.015873015873015872,0.0,0.0,0.0,0.015873015873015872,0.015873015873015872
