relation,prompt_family,metric,mean,ci_low,ci_high,count
capital,chat_template,full_exact_match,0.5,0.0,1.0,2
capital,chat_template,contains_expected,0.5,0.0,1.0,2
capital,chat_template,answer_f1,0.5,0.0,1.0,2
capital,chat_template,answer_similarity,0.5789473684210527,0.15789473684210525,1.0,2
capital,declarative,full_exact_match,0.0,0.0,0.0,2
capital,declarative,contains_expected,1.0,1.0,1.0,2
capital,declarative,answer_f1,0.2857142857142857,0.2857142857142857,0.2857142857142857,2
capital,declarative,answer_similarity,0.30180180180180183,0.2702702702702703,0.3333333333333333,2
capital,qa,full_exact_match,0.0,0.0,0.0,2
capital,qa,contains_expected,0.0,0.0,0.0,2
capital,qa,answer_f1,0.0,0.0,0.0,2
capital,qa,answer_similarity,0.1431818181818182,0.13636363636363635,0.15,2
capital,raw_question,full_exact_match,0.0,0.0,0.0,2
capital,raw_question,contains_expected,0.0,0.0,0.0,2
capital,raw_question,answer_f1,0.0,0.0,0.0,2
capital,raw_question,answer_similarity,0.14375,0.1,0.1875,2
official_language,chat_template,full_exact_match,0.0,0.0,0.0,2
official_language,chat_template,contains_expected,0.0,0.0,0.0,2
official_language,chat_template,answer_f1,0.0,0.0,0.0,2
official_language,chat_template,answer_similarity,0.38541666666666663,0.3333333333333333,0.4375,2
official_language,declarative,full_exact_match,0.0,0.0,0.0,2
official_language,declarative,contains_expected,0.5,0.0,1.0,2
official_language,declarative,answer_f1,0.125,0.0,0.25,2
official_language,declarative,answer_similarity,0.21507064364207223,0.12244897959183673,0.3076923076923077,2
official_language,qa,full_exact_match,0.0,0.0,0.0,2
official_language,qa,contains_expected,0.5,0.0,1.0,2
official_language,qa,answer_f1,0.125,0.0,0.25,2
official_language,qa,answer_similarity,0.24242424242424243,0.16666666666666666,0.3181818181818182,2
official_language,raw_question,full_exact_match,0.0,0.0,0.0,2
official_language,raw_question,contains_expected,0.0,0.0,0.0,2
official_language,raw_question,answer_f1,0.0,0.0,0.0,2
official_language,raw_question,answer_similarity,0.2544444444444445,0.12,0.3888888888888889,2
