model_name,model_family,model_variant,fact_id,relation,subject,expected_answer,prompt_family,split,generated_text,normalized_generated_text,top_prediction,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity,same_subject_control_fact_id,same_relation_control_fact_id,lexical_distractor
gemma_270m_it,gemma,instruct,capital:0,capital,Afghanistan,Kabul,raw_question,analysis,"The capital of Afghanistan is Kabul.
The",kabul the,"

",35,-11.0625,0.0,1.0,0.6666666666666666,0.7142857142857143,official_language:0,capital:1,Tirana
gemma_270m_it,gemma,instruct,capital:0,capital,Afghanistan,Kabul,declarative,analysis,"Kabul.

The capital of Afghanistan is Kabul.",kabul the capital of afghanistan is kabul,Kabul,1,8.5,0.0,1.0,0.25,0.21739130434782608,official_language:0,capital:1,Tirana
gemma_270m_it,gemma,instruct,capital:0,capital,Afghanistan,Kabul,qa,analysis,"Kabul
Q: What is the capital of Pakistan",kabul q what is the capital of pakistan,Kabul,1,3.75,0.0,1.0,0.2222222222222222,0.22727272727272727,official_language:0,capital:1,Tirana
gemma_270m_it,gemma,instruct,capital:0,capital,Afghanistan,Kabul,chat_template,analysis,Kabul,kabul,Kabul,1,1.5,1.0,1.0,1.0,1.0,official_language:0,capital:1,Tirana
gemma_270m_it,gemma,instruct,capital:1,capital,Albania,Tirana,raw_question,analysis,"The capital of Albania is Berat.
The",berat the,"

",54,-12.0,0.0,0.0,0.0,0.26666666666666666,official_language:1,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:1,capital,Albania,Tirana,declarative,analysis,"Tirja, and the capital of Albania is Berat",tirja and the capital of albania is berat,Tir,1,3.75,0.0,0.0,0.0,0.2553191489361702,official_language:1,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:1,capital,Albania,Tirana,qa,analysis,"Tirja
Q: What is the capital of",tirja q what is the capital of,Tir,1,1.0,0.0,0.0,0.0,0.2777777777777778,official_language:1,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:1,capital,Albania,Tirana,chat_template,analysis,Berat,berat,Berat,75,-9.75,0.0,0.0,0.0,0.36363636363636365,official_language:1,capital:0,Kabul
gemma_270m_it,gemma,instruct,capital:2,capital,Algeria,Algiers,raw_question,analysis,The capital of Algeria is Algiers.,lgiers,"

",21,-10.5625,0.0,0.0,0.0,0.9230769230769231,official_language:2,capital:0,Andorra la Vella
gemma_270m_it,gemma,instruct,capital:2,capital,Algeria,Algiers,declarative,analysis,"Algiers.
The capital of Algeria is Al",lgiers the capital of algeria is al,Al,1,2.375,0.0,0.0,0.0,0.2857142857142857,official_language:2,capital:0,Andorra la Vella
gemma_270m_it,gemma,instruct,capital:2,capital,Algeria,Algiers,qa,analysis,"The capital of Algeria is Algiers.

Q",lgiers q,The,6,-2.625,0.0,0.0,0.0,0.8,official_language:2,capital:0,Andorra la Vella
gemma_270m_it,gemma,instruct,capital:2,capital,Algeria,Algiers,chat_template,analysis,Algeria,lgeria,Alger,6441,-21.875,0.0,0.0,0.0,0.6153846153846154,official_language:2,capital:0,Andorra la Vella
gemma_270m_it,gemma,instruct,capital:3,capital,Andorra,Andorra la Vella,raw_question,holdout,"A) Barcelona
B) Madrid
C",barcelona b madrid c,"

",3,-5.75,0.0,0.0,0.0,0.2777777777777778,official_language:3,capital:0,Algiers
gemma_270m_it,gemma,instruct,capital:3,capital,Andorra,Andorra la Vella,declarative,holdout,Andorra la Vella. Andorra la Vella is,ndorra la vella andorra la vella is,Andorra,1,0.25,0.0,1.0,0.6,0.6274509803921569,official_language:3,capital:0,Algiers
gemma_270m_it,gemma,instruct,capital:3,capital,Andorra,Andorra la Vella,qa,holdout,Andorra is the capital of the Kingdom of Andorra.,ndorra is the capital of the kingdom of andorra,Andorra,1,4.0,0.0,0.0,0.16666666666666666,0.31746031746031744,official_language:3,capital:0,Algiers
gemma_270m_it,gemma,instruct,capital:3,capital,Andorra,Andorra la Vella,chat_template,holdout,Andorra,ndorra,And,3,-2.75,0.0,0.0,0.0,0.5454545454545454,official_language:3,capital:0,Algiers
gemma_270m_it,gemma,instruct,official_language:0,official_language,Afghanistan,Dari,raw_question,analysis,"A)  Pakistan
B)  India",pakistan b india,"

",1375,-15.96875,0.0,0.0,0.0,0.36363636363636365,capital:0,official_language:1,Albanian
gemma_270m_it,gemma,instruct,official_language:0,official_language,Afghanistan,Dari,declarative,analysis,denied access to the internet and is unable to access,denied access to the internet and is unable to access,denied,14750,-17.03125,0.0,0.0,0.0,0.13559322033898305,capital:0,official_language:1,Albanian
gemma_270m_it,gemma,instruct,official_language:0,official_language,Afghanistan,Dari,qa,analysis,"The Taliban.
Q: What is the capital",the taliban q what is the capital,The,60,-6.1875,0.0,0.0,0.0,0.15,capital:0,official_language:1,Albanian
gemma_270m_it,gemma,instruct,official_language:0,official_language,Afghanistan,Dari,chat_template,analysis,Arabic,rabic,Arabic,188,-11.0,0.0,0.0,0.0,0.4444444444444444,capital:0,official_language:1,Albanian
gemma_270m_it,gemma,instruct,official_language:1,official_language,Albania,Albanian,raw_question,analysis,"A)  Albanian
B)",albanian b,"

",17,-9.25,0.0,1.0,0.6666666666666666,0.8888888888888888,capital:1,official_language:0,Arabic
gemma_270m_it,gemma,instruct,official_language:1,official_language,Albania,Albanian,declarative,analysis,a state that has been in power for over,state that has been in power for over,a,526,-7.875,0.0,0.0,0.0,0.17777777777777778,capital:1,official_language:0,Arabic
gemma_270m_it,gemma,instruct,official_language:1,official_language,Albania,Albanian,qa,analysis,The Albanian language is the official language of Albania.,the albanian language is the official language of albania,The,3,-0.5625,0.0,1.0,0.19999999999999998,0.24615384615384617,capital:1,official_language:0,Arabic
gemma_270m_it,gemma,instruct,official_language:1,official_language,Albania,Albanian,chat_template,analysis,Albanian,lbanian,Alban,8,-10.125,0.0,0.0,0.0,0.9333333333333333,capital:1,official_language:0,Arabic
gemma_270m_it,gemma,instruct,official_language:2,official_language,Algeria,Arabic,raw_question,analysis,"A)  French
B)  Arabic",french b arabic,"

",105,-12.0,0.0,1.0,0.5,0.5714285714285714,capital:2,official_language:0,Albanian
gemma_270m_it,gemma,instruct,official_language:2,official_language,Algeria,Arabic,declarative,analysis,required to be a member of the Algerian National Council,required to be a member of the algerian national council,required,1532,-10.125,0.0,0.0,0.0,0.0967741935483871,capital:2,official_language:0,Albanian
gemma_270m_it,gemma,instruct,official_language:2,official_language,Algeria,Arabic,qa,analysis,The Algerian government is the official language of Algeria.,the algerian government is the official language of algeria,The,10,-3.5625,0.0,0.0,0.0,0.15384615384615385,capital:2,official_language:0,Albanian
