model_name,fact_id,relation,prompt_family,layer,hidden_norm,attention_norm,mlp_mean_abs
qwen2_5_0_5b_base,capital:0,capital,raw_question,0,4.4340386390686035,0.455009400844574,0.13321547210216522
qwen2_5_0_5b_base,capital:0,capital,raw_question,1,7.977333068847656,2.8642308712005615,0.16925139725208282
qwen2_5_0_5b_base,capital:0,capital,raw_question,2,8.101463317871094,1.6038490533828735,0.17229002714157104
qwen2_5_0_5b_base,capital:0,capital,raw_question,3,9.495121955871582,1.870081901550293,0.19229303300380707
qwen2_5_0_5b_base,capital:0,capital,raw_question,4,10.74051284790039,2.6926681995391846,0.210548996925354
qwen2_5_0_5b_base,capital:0,capital,raw_question,5,11.720569610595703,2.998232364654541,0.21241584420204163
qwen2_5_0_5b_base,capital:0,capital,raw_question,6,13.165923118591309,1.698213815689087,0.2182886153459549
qwen2_5_0_5b_base,capital:0,capital,raw_question,7,14.317687034606934,2.3258156776428223,0.2184544801712036
qwen2_5_0_5b_base,capital:0,capital,raw_question,8,14.475484848022461,3.419740676879883,0.2072070986032486
qwen2_5_0_5b_base,capital:0,capital,raw_question,9,15.260260581970215,2.7249867916107178,0.20344392955303192
qwen2_5_0_5b_base,capital:0,capital,raw_question,10,15.213622093200684,3.8698835372924805,0.19772019982337952
qwen2_5_0_5b_base,capital:0,capital,raw_question,11,15.617897033691406,2.5672876834869385,0.20276279747486115
qwen2_5_0_5b_base,capital:0,capital,raw_question,12,16.314496994018555,2.907060384750366,0.20528683066368103
qwen2_5_0_5b_base,capital:0,capital,raw_question,13,17.31184959411621,3.063096523284912,0.204107865691185
qwen2_5_0_5b_base,capital:0,capital,raw_question,14,17.80659294128418,3.51047420501709,0.222270667552948
qwen2_5_0_5b_base,capital:0,capital,raw_question,15,19.825788497924805,3.6197190284729004,0.2432035207748413
qwen2_5_0_5b_base,capital:0,capital,raw_question,16,24.319610595703125,1.2765251398086548,0.2735153138637543
qwen2_5_0_5b_base,capital:0,capital,raw_question,17,28.977371215820312,3.976938247680664,0.2516244947910309
qwen2_5_0_5b_base,capital:0,capital,raw_question,18,32.81214141845703,1.7460131645202637,0.24561485648155212
qwen2_5_0_5b_base,capital:0,capital,raw_question,19,36.47304916381836,3.5880565643310547,0.2749229073524475
qwen2_5_0_5b_base,capital:0,capital,raw_question,20,50.79338455200195,9.937812805175781,0.2866000533103943
qwen2_5_0_5b_base,capital:0,capital,raw_question,21,72.16809844970703,13.700319290161133,0.2575136423110962
qwen2_5_0_5b_base,capital:0,capital,raw_question,22,77.55488586425781,3.8329100608825684,0.28173694014549255
qwen2_5_0_5b_base,capital:0,capital,raw_question,23,283.788818359375,11.190020561218262,0.3701811730861664
qwen2_5_0_5b_base,capital:0,capital,declarative,0,4.944603443145752,0.43150386214256287,0.13831788301467896
qwen2_5_0_5b_base,capital:0,capital,declarative,1,8.043105125427246,2.7747859954833984,0.16468816995620728
qwen2_5_0_5b_base,capital:0,capital,declarative,2,8.519231796264648,1.7231107950210571,0.17736834287643433
qwen2_5_0_5b_base,capital:0,capital,declarative,3,9.911443710327148,2.3465240001678467,0.1927511841058731
qwen2_5_0_5b_base,capital:0,capital,declarative,4,11.175664901733398,3.6050546169281006,0.22117511928081512
qwen2_5_0_5b_base,capital:0,capital,declarative,5,13.51577377319336,3.7918314933776855,0.22119811177253723
qwen2_5_0_5b_base,capital:0,capital,declarative,6,13.758054733276367,2.482290029525757,0.23045256733894348
qwen2_5_0_5b_base,capital:0,capital,declarative,7,14.058483123779297,3.3521180152893066,0.2240307778120041
qwen2_5_0_5b_base,capital:0,capital,declarative,8,14.448482513427734,4.400452613830566,0.2158176451921463
qwen2_5_0_5b_base,capital:0,capital,declarative,9,14.84259033203125,2.3867952823638916,0.20743219554424286
qwen2_5_0_5b_base,capital:0,capital,declarative,10,15.395757675170898,3.9812560081481934,0.20639558136463165
qwen2_5_0_5b_base,capital:0,capital,declarative,11,15.623034477233887,2.7163312435150146,0.20614716410636902
qwen2_5_0_5b_base,capital:0,capital,declarative,12,16.550922393798828,3.086529016494751,0.2049684077501297
qwen2_5_0_5b_base,capital:0,capital,declarative,13,17.716991424560547,2.276315927505493,0.19644606113433838
qwen2_5_0_5b_base,capital:0,capital,declarative,14,18.83234977722168,3.764854669570923,0.2184750884771347
qwen2_5_0_5b_base,capital:0,capital,declarative,15,21.340045928955078,4.6060919761657715,0.2392212152481079
qwen2_5_0_5b_base,capital:0,capital,declarative,16,25.290586471557617,1.3192222118377686,0.27024194598197937
qwen2_5_0_5b_base,capital:0,capital,declarative,17,29.617156982421875,4.59418249130249,0.24356596171855927
qwen2_5_0_5b_base,capital:0,capital,declarative,18,35.43959045410156,4.309262275695801,0.2470935732126236
qwen2_5_0_5b_base,capital:0,capital,declarative,19,38.468448638916016,4.285584926605225,0.27601251006126404
qwen2_5_0_5b_base,capital:0,capital,declarative,20,51.03115463256836,10.44123649597168,0.2904606759548187
qwen2_5_0_5b_base,capital:0,capital,declarative,21,72.44274139404297,19.622547149658203,0.2887183725833893
qwen2_5_0_5b_base,capital:0,capital,declarative,22,82.854736328125,4.384829521179199,0.3559649884700775
qwen2_5_0_5b_base,capital:0,capital,declarative,23,280.7184753417969,10.43950366973877,0.3814432621002197
qwen2_5_0_5b_base,capital:0,capital,qa,0,4.097570896148682,0.5525761842727661,0.14079049229621887
qwen2_5_0_5b_base,capital:0,capital,qa,1,6.902932167053223,2.88383150100708,0.17588095366954803
qwen2_5_0_5b_base,capital:0,capital,qa,2,8.778909683227539,2.3399229049682617,0.23059596121311188
qwen2_5_0_5b_base,capital:0,capital,qa,3,9.570292472839355,3.1356310844421387,0.21969135105609894
qwen2_5_0_5b_base,capital:0,capital,qa,4,10.394917488098145,2.5516624450683594,0.21221336722373962
qwen2_5_0_5b_base,capital:0,capital,qa,5,10.953608512878418,3.24377703666687,0.21099872887134552
qwen2_5_0_5b_base,capital:0,capital,qa,6,12.112862586975098,2.2365972995758057,0.22254519164562225
qwen2_5_0_5b_base,capital:0,capital,qa,7,12.219047546386719,2.5388317108154297,0.2193727046251297
qwen2_5_0_5b_base,capital:0,capital,qa,8,12.973812103271484,3.2221291065216064,0.19868481159210205
qwen2_5_0_5b_base,capital:0,capital,qa,9,14.097810745239258,2.9396867752075195,0.2084500640630722
qwen2_5_0_5b_base,capital:0,capital,qa,10,13.165901184082031,3.163287401199341,0.1967148631811142
qwen2_5_0_5b_base,capital:0,capital,qa,11,14.70279312133789,2.3981399536132812,0.2079629898071289
qwen2_5_0_5b_base,capital:0,capital,qa,12,14.968743324279785,3.086662769317627,0.21121561527252197
qwen2_5_0_5b_base,capital:0,capital,qa,13,15.670083045959473,2.682004451751709,0.2131987065076828
qwen2_5_0_5b_base,capital:0,capital,qa,14,19.144878387451172,6.072359561920166,0.24166493117809296
qwen2_5_0_5b_base,capital:0,capital,qa,15,21.785484313964844,4.4093337059021,0.26059916615486145
qwen2_5_0_5b_base,capital:0,capital,qa,16,24.230457305908203,1.8343629837036133,0.28166091442108154
qwen2_5_0_5b_base,capital:0,capital,qa,17,28.881174087524414,6.254147052764893,0.2519509792327881
qwen2_5_0_5b_base,capital:0,capital,qa,18,36.14805221557617,3.618147373199463,0.24117404222488403
qwen2_5_0_5b_base,capital:0,capital,qa,19,39.0048828125,4.331151485443115,0.28694748878479004
qwen2_5_0_5b_base,capital:0,capital,qa,20,49.96245574951172,13.079723358154297,0.30050012469291687
qwen2_5_0_5b_base,capital:0,capital,qa,21,69.78229522705078,21.9024600982666,0.30808305740356445
qwen2_5_0_5b_base,capital:0,capital,qa,22,81.44377136230469,4.068900108337402,0.431479811668396
qwen2_5_0_5b_base,capital:0,capital,qa,23,244.67318725585938,12.512346267700195,0.4360070526599884
qwen2_5_0_5b_base,capital:0,capital,chat_template,0,3.5879902839660645,0.5916925668716431,0.10485677421092987
qwen2_5_0_5b_base,capital:0,capital,chat_template,1,6.834245681762695,2.844451665878296,0.1680883914232254
qwen2_5_0_5b_base,capital:0,capital,chat_template,2,7.317770481109619,1.5090395212173462,0.1488318294286728
qwen2_5_0_5b_base,capital:0,capital,chat_template,3,8.337271690368652,2.303764820098877,0.17078717052936554
qwen2_5_0_5b_base,capital:0,capital,chat_template,4,9.5709228515625,2.8294949531555176,0.19418500363826752
qwen2_5_0_5b_base,capital:0,capital,chat_template,5,10.410428047180176,3.853135585784912,0.21115900576114655
qwen2_5_0_5b_base,capital:0,capital,chat_template,6,11.645099639892578,3.0786306858062744,0.21881389617919922
qwen2_5_0_5b_base,capital:0,capital,chat_template,7,13.031037330627441,3.7814557552337646,0.22317087650299072
qwen2_5_0_5b_base,capital:0,capital,chat_template,8,12.68327808380127,4.287534236907959,0.20379142463207245
qwen2_5_0_5b_base,capital:0,capital,chat_template,9,13.175671577453613,2.928600549697876,0.20654542744159698
qwen2_5_0_5b_base,capital:0,capital,chat_template,10,14.436787605285645,3.990995168685913,0.20482735335826874
qwen2_5_0_5b_base,capital:0,capital,chat_template,11,16.08820915222168,2.3670549392700195,0.22180978953838348
qwen2_5_0_5b_base,capital:0,capital,chat_template,12,15.661500930786133,4.034919261932373,0.22444963455200195
qwen2_5_0_5b_base,capital:0,capital,chat_template,13,16.014860153198242,2.9475951194763184,0.22416754066944122
qwen2_5_0_5b_base,capital:0,capital,chat_template,14,19.727123260498047,5.354383945465088,0.2487860471010208
qwen2_5_0_5b_base,capital:0,capital,chat_template,15,20.81812858581543,4.624073028564453,0.25712698698043823
qwen2_5_0_5b_base,capital:0,capital,chat_template,16,23.340415954589844,2.651219606399536,0.28664472699165344
qwen2_5_0_5b_base,capital:0,capital,chat_template,17,30.05149269104004,5.33081579208374,0.2580045461654663
qwen2_5_0_5b_base,capital:0,capital,chat_template,18,33.7193717956543,3.289558172225952,0.24967123568058014
qwen2_5_0_5b_base,capital:0,capital,chat_template,19,37.47517776489258,3.365068197250366,0.2815459370613098
qwen2_5_0_5b_base,capital:0,capital,chat_template,20,50.731727600097656,10.65837287902832,0.28991633653640747
qwen2_5_0_5b_base,capital:0,capital,chat_template,21,66.39278411865234,25.524127960205078,0.252814382314682
qwen2_5_0_5b_base,capital:0,capital,chat_template,22,71.44023132324219,10.632990837097168,0.3175605237483978
qwen2_5_0_5b_base,capital:0,capital,chat_template,23,246.28562927246094,16.152063369750977,0.3940950036048889
qwen2_5_0_5b_base,capital:1,capital,raw_question,0,4.513335704803467,0.4491795599460602,0.13359981775283813
qwen2_5_0_5b_base,capital:1,capital,raw_question,1,8.037501335144043,2.8485891819000244,0.1689603477716446
