relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,0.020282186948853625,-0.1349206349206349,0.15873015873015875,0.625,18
birth_place,answer_f1,chat_template,qa,0.03580246913580246,-0.13114197530864197,0.1914197530864197,0.625,18
birth_place,answer_f1,chat_template,raw_question,-0.01851851851851852,-0.16666666666666666,0.09259259259259259,1.0,18
birth_place,answer_f1,declarative,qa,0.015520282186948849,-0.09647266313932983,0.15961199294532627,0.625,18
birth_place,answer_f1,declarative,raw_question,-0.038800705467372146,-0.16402116402116404,0.07407407407407407,0.625,18
birth_place,answer_f1,qa,raw_question,-0.054320987654320994,-0.20762345679012348,0.07407407407407407,0.625,18
capital,answer_f1,chat_template,declarative,-0.594656886323553,-0.77302088343755,-0.4427709636042971,0.000244140625,18
capital,answer_f1,chat_template,qa,-0.49894179894179896,-0.6906757054673721,-0.32299823633156977,0.049041748046875,18
capital,answer_f1,chat_template,raw_question,-0.3499999999999999,-0.5371759259259259,-0.1748379629629631,0.021270751953125,18
capital,answer_f1,declarative,qa,0.09571508738175405,0.03211199294532627,0.1466058401475068,0.1795654296875,18
capital,answer_f1,declarative,raw_question,0.2446568863235529,0.13660453743787077,0.35258327320827315,0.0001220703125,18
capital,answer_f1,qa,raw_question,0.14894179894179893,0.06543209876543211,0.23151234567901235,0.00738525390625,18
currency,answer_f1,chat_template,declarative,-0.09305355138688474,-0.25932038640371974,0.05857824274490934,0.4239501953125,18
currency,answer_f1,chat_template,qa,-0.01423761423761425,-0.20518618726952056,0.1586554032387366,0.7744140625,18
currency,answer_f1,chat_template,raw_question,-0.030679814013147358,-0.20092231842231847,0.10810225268558586,1.0,18
currency,answer_f1,declarative,qa,0.0788159371492705,-0.009213664421997732,0.17644781144781146,0.5810546875,18
currency,answer_f1,declarative,raw_question,0.06237373737373739,-0.04783389450056114,0.17977342873176205,1.0,18
currency,answer_f1,qa,raw_question,-0.01644219977553312,-0.1367676767676768,0.11358024691358024,1.0,18
headquarters,answer_f1,chat_template,declarative,-0.3211720378387045,-0.5306082651915986,-0.0968646785313452,0.057373046875,18
headquarters,answer_f1,chat_template,qa,-0.29983164983164984,-0.4726921997755333,-0.10009539842873187,0.11846923828125,18
headquarters,answer_f1,chat_template,raw_question,-0.34058040724707395,-0.5031262025012024,-0.16563351771685111,0.0224609375,18
headquarters,answer_f1,declarative,qa,0.021340388007054678,-0.1293025493025493,0.1643358185024851,1.0,18
headquarters,answer_f1,declarative,raw_question,-0.019408369408369416,-0.15547097963764625,0.11829755892255893,0.5810546875,18
headquarters,answer_f1,qa,raw_question,-0.04074875741542408,-0.12907136844636843,0.03405633718133714,1.0,18
official_language,answer_f1,chat_template,declarative,-0.23915343915343915,-0.4511044973544973,-0.00573412698412706,0.1795654296875,18
official_language,answer_f1,chat_template,qa,-0.33425925925925926,-0.5322376543209878,-0.12000000000000006,0.1795654296875,18
official_language,answer_f1,chat_template,raw_question,-0.3854938271604938,-0.6025617283950618,-0.15915123456790137,0.09228515625,18
official_language,answer_f1,declarative,qa,-0.09510582010582011,-0.1706172839506173,-0.01881723985890658,0.076812744140625,18
official_language,answer_f1,declarative,raw_question,-0.1463403880070547,-0.2232153880070547,-0.06264109347442687,0.00738525390625,18
official_language,answer_f1,qa,raw_question,-0.05123456790123457,-0.10652006172839507,0.0027854938271604907,0.1796875,18
