relation,metric,family_a,family_b,mean_diff,ci_low,ci_high,sign_test_pvalue,num_pairs
birth_place,answer_f1,chat_template,declarative,0.017857142857142877,-0.3709821428571428,0.28571428571428575,1.0,8
birth_place,answer_f1,chat_template,qa,-0.06944444444444445,-0.375,0.16666666666666669,1.0,8
birth_place,answer_f1,chat_template,raw_question,-0.125,-0.375,0.0,1.0,8
birth_place,answer_f1,declarative,qa,-0.08730158730158732,-0.23015873015873023,0.0,0.5,8
birth_place,answer_f1,declarative,raw_question,-0.14285714285714288,-0.28571428571428575,0.0,0.5,8
birth_place,answer_f1,qa,raw_question,-0.05555555555555556,-0.16666666666666669,0.0,1.0,8
capital,answer_f1,chat_template,declarative,-0.5066287878787878,-0.8025804924242425,-0.17708333333333331,0.0625,8
capital,answer_f1,chat_template,qa,-0.38472222222222224,-0.6908159722222222,-0.05182291666666658,0.453125,8
capital,answer_f1,chat_template,raw_question,-0.22916666666666669,-0.45833333333333337,0.020833333333333325,0.21875,8
capital,answer_f1,declarative,qa,0.12190656565656566,0.029717487373737382,0.19697758838383841,0.21875,8
capital,answer_f1,declarative,raw_question,0.2774621212121212,0.10343276515151517,0.4470643939393939,0.0625,8
capital,answer_f1,qa,raw_question,0.15555555555555556,0.0035590277777777716,0.3088541666666667,0.21875,8
currency,answer_f1,chat_template,declarative,-0.23310786435786437,-0.48039457070707076,-0.005710227272727195,0.2890625,8
currency,answer_f1,chat_template,qa,-0.1514790764790765,-0.4381804653679654,0.07097222222222226,0.453125,8
currency,answer_f1,chat_template,raw_question,-0.10097402597402601,-0.4161228354978356,0.12947781385281387,1.0,8
currency,answer_f1,declarative,qa,0.0816287878787879,-0.08869002525252524,0.24343434343434345,1.0,8
currency,answer_f1,declarative,raw_question,0.1321338383838384,-0.08595328282828282,0.31792929292929295,1.0,8
currency,answer_f1,qa,raw_question,0.05050505050505048,-0.17251262626262628,0.24789141414141422,1.0,8
headquarters,answer_f1,chat_template,declarative,-0.3944444444444445,-0.7885416666666666,-0.11486111111111101,0.21875,8
headquarters,answer_f1,chat_template,qa,-0.19696969696969702,-0.44905303030303034,0.03355429292929314,1.0,8
headquarters,answer_f1,chat_template,raw_question,-0.21681096681096684,-0.4673656204906205,-0.042316017316017265,0.6875,8
headquarters,answer_f1,declarative,qa,0.19747474747474747,0.03479797979797979,0.3815656565656566,0.453125,8
headquarters,answer_f1,declarative,raw_question,0.17763347763347764,0.03138528138528138,0.3386634199134199,0.6875,8
headquarters,answer_f1,qa,raw_question,-0.019841269841269844,-0.12842712842712842,0.05303030303030301,1.0,8
official_language,answer_f1,chat_template,declarative,-0.0017857142857142794,-0.3938392857142857,0.2926339285714286,0.6875,8
official_language,answer_f1,chat_template,qa,-0.11597222222222223,-0.4381944444444445,0.13124999999999998,1.0,8
official_language,answer_f1,chat_template,raw_question,-0.19722222222222224,-0.563125,0.05555555555555555,1.0,8
official_language,answer_f1,declarative,qa,-0.11418650793650796,-0.22258184523809527,0.03292162698412706,0.453125,8
official_language,answer_f1,declarative,raw_question,-0.19543650793650796,-0.31241071428571426,-0.0758630952380952,0.03125,8
official_language,answer_f1,qa,raw_question,-0.08124999999999999,-0.16527777777777775,-0.020069444444444424,0.625,8
