relation,prompt_family,metric,mean,ci_low,ci_high,count
birth_place,chat_template,full_exact_match,0.2777777777777778,0.1111111111111111,0.5,18
birth_place,chat_template,contains_expected,0.3888888888888889,0.2222222222222222,0.6111111111111112,18
birth_place,chat_template,answer_f1,0.3306878306878307,0.16402116402116404,0.5529100529100528,18
birth_place,chat_template,answer_similarity,0.4177706046127099,0.26138574303047984,0.6100000455921509,18
birth_place,declarative,full_exact_match,0.0,0.0,0.0,18
birth_place,declarative,contains_expected,0.1111111111111111,0.0,0.2777777777777778,18
birth_place,declarative,answer_f1,0.11296296296296296,0.018518518518518517,0.2379629629629629,18
birth_place,declarative,answer_similarity,0.2759149227911783,0.19394053099217065,0.38058494295840684,18
birth_place,qa,full_exact_match,0.0,0.0,0.0,18
birth_place,qa,contains_expected,0.0,0.0,0.0,18
birth_place,qa,answer_f1,0.0,0.0,0.0,18
birth_place,qa,answer_similarity,0.0,0.0,0.0,18
birth_place,raw_question,full_exact_match,0.0,0.0,0.0,18
birth_place,raw_question,contains_expected,0.0,0.0,0.0,18
birth_place,raw_question,answer_f1,0.0,0.0,0.0,18
birth_place,raw_question,answer_similarity,0.0,0.0,0.0,18
capital,chat_template,full_exact_match,0.5,0.2777777777777778,0.7222222222222222,18
capital,chat_template,contains_expected,0.6666666666666666,0.4444444444444444,0.8888888888888888,18
capital,chat_template,answer_f1,0.6037037037037037,0.4222222222222222,0.8,18
capital,chat_template,answer_similarity,0.7053498346013831,0.5414768846870499,0.8664861758611758,18
capital,declarative,full_exact_match,0.0,0.0,0.0,18
capital,declarative,contains_expected,0.8888888888888888,0.7222222222222222,1.0,18
capital,declarative,answer_f1,0.2819223985890653,0.2170734126984127,0.34924162257495583,18
capital,declarative,answer_similarity,0.34809781541895585,0.29010704377416097,0.40884920572809125,18
capital,qa,full_exact_match,0.0,0.0,0.0,18
capital,qa,contains_expected,0.0,0.0,0.0,18
capital,qa,answer_f1,0.0,0.0,0.0,18
capital,qa,answer_similarity,0.0,0.0,0.0,18
capital,raw_question,full_exact_match,0.0,0.0,0.0,18
capital,raw_question,contains_expected,0.0,0.0,0.0,18
capital,raw_question,answer_f1,0.0,0.0,0.0,18
capital,raw_question,answer_similarity,0.0,0.0,0.0,18
currency,chat_template,full_exact_match,0.0,0.0,0.0,18
currency,chat_template,contains_expected,0.2222222222222222,0.05555555555555555,0.4444444444444444,18
