model_name,model_family,model_variant,fact_id,relation,subject,expected_answer,prompt_family,split,generated_text,normalized_generated_text,top_prediction,target_rank,target_margin,full_exact_match,contains_expected,answer_f1,answer_similarity,same_subject_control_fact_id,same_relation_control_fact_id,lexical_distractor
qwen2_5_0_5b_instruct,qwen,instruct,capital:0,capital,Afghanistan,Kabul,raw_question,analysis,"The capital of Afghanistan is Kabul. 

Kab",kabul kab,The,4,-1.3125,0.0,1.0,0.6666666666666666,0.7142857142857143,official_language:0,capital:1,Tirana
qwen2_5_0_5b_instruct,qwen,instruct,capital:0,capital,Afghanistan,Kabul,declarative,analysis,"located in the province of:

A) Kabul",located in the province of a kabul,located,6,-1.5625,0.0,1.0,0.25,0.2564102564102564,official_language:0,capital:1,Tirana
qwen2_5_0_5b_instruct,qwen,instruct,capital:0,capital,Afghanistan,Kabul,qa,analysis,"Kabul
Is the question answered in a satisfactory fashion",kabul is the question answered in a satisfactory fashion,Kabul,1,1.875,0.0,1.0,0.19999999999999998,0.16393442622950818,official_language:0,capital:1,Tirana
qwen2_5_0_5b_instruct,qwen,instruct,capital:0,capital,Afghanistan,Kabul,chat_template,analysis,Kabul,kabul,K,2,-0.5,1.0,1.0,1.0,1.0,official_language:0,capital:1,Tirana
qwen2_5_0_5b_instruct,qwen,instruct,capital:1,capital,Albania,Tirana,raw_question,analysis,The capital of Albania is Tirana. It is,tirana it is,The,5,-2.8125,0.0,1.0,0.5,0.6666666666666666,official_language:1,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:1,capital,Albania,Tirana,declarative,analysis,"located in the ____.
A. South
B",located in the ____ a south b,located,5,-2.0625,0.0,0.0,0.0,0.17142857142857143,official_language:1,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:1,capital,Albania,Tirana,qa,analysis,"Tirana
What is a good question to ask",tirana what is a good question to ask,Tir,1,1.3125,0.0,1.0,0.2222222222222222,0.27906976744186046,official_language:1,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:1,capital,Albania,Tirana,chat_template,analysis,Bishkek,bishkek,B,3,-0.75,0.0,0.0,0.0,0.15384615384615385,official_language:1,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:2,capital,Algeria,Algiers,raw_question,analysis,"The capital of Algeria is Algiers. 

To",lgiers to,Algeria,9,-3.6875,0.0,0.0,0.0,0.75,official_language:2,capital:0,Andorra la Vella
qwen2_5_0_5b_instruct,qwen,instruct,capital:2,capital,Algeria,Algiers,declarative,analysis,Algiers. It is the largest city in North,lgiers it is the largest city in north,Alg,1,0.0625,0.0,0.0,0.0,0.26666666666666666,official_language:2,capital:0,Andorra la Vella
qwen2_5_0_5b_instruct,qwen,instruct,capital:2,capital,Algeria,Algiers,qa,analysis,"Algiers
What is a good question to ask",lgiers what is a good question to ask,Alg,1,4.5,0.0,0.0,0.0,0.2727272727272727,official_language:2,capital:0,Andorra la Vella
qwen2_5_0_5b_instruct,qwen,instruct,capital:2,capital,Algeria,Algiers,chat_template,analysis,Algiers,lgiers,Alg,2,-4.0,0.0,0.0,0.0,0.9230769230769231,official_language:2,capital:0,Andorra la Vella
qwen2_5_0_5b_instruct,qwen,instruct,capital:3,capital,Andorra,Andorra la Vella,raw_question,analysis,Andorra is a sovereign state located in Europe.,ndorra is a sovereign state located in europe,And,1,1.75,0.0,0.0,0.0,0.39344262295081966,official_language:3,capital:0,Algiers
qwen2_5_0_5b_instruct,qwen,instruct,capital:3,capital,Andorra,Andorra la Vella,declarative,analysis,the town of Gourdon. The town has,the town of gourdon the town has,the,7,-2.375,0.0,0.0,0.0,0.25,official_language:3,capital:0,Algiers
qwen2_5_0_5b_instruct,qwen,instruct,capital:3,capital,Andorra,Andorra la Vella,qa,analysis,"Girona
What is the significance of this",girona what is the significance of this,G,3,-0.6875,0.0,0.0,0.0,0.2545454545454545,official_language:3,capital:0,Algiers
qwen2_5_0_5b_instruct,qwen,instruct,capital:3,capital,Andorra,Andorra la Vella,chat_template,analysis,Andorra la Vella,ndorra la vella,And,21,-7.6875,0.0,0.0,0.6666666666666666,0.967741935483871,official_language:3,capital:0,Algiers
qwen2_5_0_5b_instruct,qwen,instruct,capital:4,capital,Angola,Luanda,raw_question,analysis,The capital of Angola is Luanda. It is,luanda it is,Angola,35,-7.0,0.0,1.0,0.5,0.6666666666666666,official_language:4,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:4,capital,Angola,Luanda,declarative,analysis,located in the province of Cabo Delgado.,located in the province of cabo delgado,located,7,-2.1875,0.0,0.0,0.0,0.17777777777777778,official_language:4,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:4,capital,Angola,Luanda,qa,analysis,"Luanda
What is the most logical conclusion of",luanda what is the most logical conclusion of,Lu,1,1.3125,0.0,1.0,0.2222222222222222,0.23529411764705882,official_language:4,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:4,capital,Angola,Luanda,chat_template,analysis,Luanda,luanda,Lu,3,-3.875,1.0,1.0,1.0,1.0,official_language:4,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:5,capital,Antigua and Barbuda,Saint John's,raw_question,analysis,The capital of Antigua and Barbuda is St,st,Ant,35,-6.9375,0.0,0.0,0.0,0.2857142857142857,official_language:5,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:5,capital,Antigua and Barbuda,Saint John's,declarative,analysis,"the city of St. John’s, which was",the city of st john’s which was,the,47,-3.8125,0.0,0.0,0.0,0.37209302325581395,official_language:5,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:5,capital,Antigua and Barbuda,Saint John's,qa,analysis,"St. John's
What is the answer?",st john's what is the answer?,St,3,-1.125,0.0,0.0,0.25,0.43902439024390244,official_language:5,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:5,capital,Antigua and Barbuda,Saint John's,chat_template,analysis,Kingston,kingston,King,83,-5.9375,0.0,0.0,0.0,0.3,official_language:5,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:6,capital,Argentina,Buenos Aires,raw_question,holdout,"Buenos Aires

Buenos Aires, officially known",buenos aires buenos aires officially known,Buenos,1,0.25,0.0,1.0,0.5,0.4444444444444444,official_language:6,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:6,capital,Argentina,Buenos Aires,declarative,holdout,located in the province of Buenos Aires. The provincial,located in the province of buenos aires the provincial,located,2,-0.125,0.0,1.0,0.3636363636363636,0.36363636363636365,official_language:6,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:6,capital,Argentina,Buenos Aires,qa,holdout,"Buenos Aires
Is this question correct? Yes,",buenos aires is this question correct? yes,Buenos,1,4.0,0.0,1.0,0.4444444444444445,0.4444444444444444,official_language:6,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:6,capital,Argentina,Buenos Aires,chat_template,holdout,Buenos Aires,buenos aires,B,2,0.0,1.0,1.0,1.0,1.0,official_language:6,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:7,capital,Armenia,Yerevan,raw_question,holdout,The capital of Armenia is Yerevan. It,yerevan it,The,35,-6.25,0.0,1.0,0.6666666666666666,0.8235294117647058,official_language:7,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:7,capital,Armenia,Yerevan,declarative,holdout,"located in the city of Atrani, which",located in the city of atrani which,located,10,-2.5625,0.0,0.0,0.0,0.19047619047619047,official_language:7,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:7,capital,Armenia,Yerevan,qa,holdout,"Yerevan
What is a good question to",yerevan what is a good question to,Y,1,1.6875,0.0,1.0,0.25,0.34146341463414637,official_language:7,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,capital:7,capital,Armenia,Yerevan,chat_template,holdout,Yerevan,yerevan,Y,93,-7.9375,1.0,1.0,1.0,1.0,official_language:7,capital:0,Kabul
qwen2_5_0_5b_instruct,qwen,instruct,official_language:0,official_language,Afghanistan,Dari,raw_question,analysis,Afghanistan has no official language. The country uses the,fghanistan has no official language the country uses the,Afghanistan,87,-7.125,0.0,0.0,0.0,0.0967741935483871,capital:0,official_language:1,Albanian
qwen2_5_0_5b_instruct,qwen,instruct,official_language:0,official_language,Afghanistan,Dari,declarative,analysis,______. A: English B: Arabic C:,______ a english b arabic c,______,34,-3.875,0.0,0.0,0.0,0.1935483870967742,capital:0,official_language:1,Albanian
qwen2_5_0_5b_instruct,qwen,instruct,official_language:0,official_language,Afghanistan,Dari,qa,analysis,"Pashto
What is the relationship between Afghanistan",pashto what is the relationship between afghanistan,Pas,1,2.125,0.0,1.0,0.25,0.21052631578947367,capital:0,official_language:1,Albanian
qwen2_5_0_5b_instruct,qwen,instruct,official_language:0,official_language,Afghanistan,Dari,chat_template,analysis,Afghanistan's official language is the Afgh,fghanistan's official language is the afgh,Af,89,-8.25,0.0,0.0,0.0,0.125,capital:0,official_language:1,Albanian
qwen2_5_0_5b_instruct,qwen,instruct,official_language:1,official_language,Albania,Albanian,raw_question,analysis,Albanian is the only official language of Albania.,lbanian is the only official language of albania,Albania,2,-1.25,0.0,0.0,0.0,0.25,capital:1,official_language:0,Arabic
qwen2_5_0_5b_instruct,qwen,instruct,official_language:1,official_language,Albania,Albanian,declarative,analysis,"____.
A. Albanian
B. Maced",____ a albanian b maced,____,5,-0.625,0.0,1.0,0.33333333333333337,0.5161290322580645,capital:1,official_language:0,Arabic
qwen2_5_0_5b_instruct,qwen,instruct,official_language:1,official_language,Albania,Albanian,qa,analysis,"Albanian
What is the answer? (Available",lbanian what is the answer? available,Alban,1,4.5,0.0,0.0,0.0,0.3111111111111111,capital:1,official_language:0,Arabic
qwen2_5_0_5b_instruct,qwen,instruct,official_language:1,official_language,Albania,Albanian,chat_template,analysis,Albanian Language,lbanian language,Al,2,-1.625,0.0,0.0,0.0,0.5833333333333334,capital:1,official_language:0,Arabic
qwen2_5_0_5b_instruct,qwen,instruct,official_language:2,official_language,Algeria,Arabic,raw_question,analysis,"Algeria has three official languages: French, Arabic and",lgeria has three official languages french arabic and,Algeria,10,-3.8125,0.0,1.0,0.2222222222222222,0.2033898305084746,capital:2,official_language:0,Albanian
qwen2_5_0_5b_instruct,qwen,instruct,official_language:2,official_language,Algeria,Arabic,declarative,analysis,______. A. French B. Arabic C.,______ a french b arabic c,______,4,-0.25,0.0,1.0,0.2857142857142857,0.375,capital:2,official_language:0,Albanian
